
[00:00:00.000 --> 00:00:04.000]  捉到老鼠就是好貓 這些叫實用主義
[00:00:04.000 --> 00:00:07.000]  不管你多少分 用什麼方式
[00:00:07.000 --> 00:00:10.000]  拿到100分就是好學生 對不對
[00:00:10.000 --> 00:00:12.000]  當然不對 所以有些東西不是太好的
[00:00:12.000 --> 00:00:15.000]  不過他一次去美國訪問的時候
[00:00:15.000 --> 00:00:21.000]  他不是很會英文 他在留學法國可以發文
[00:00:21.000 --> 00:00:26.000]  那些人見那個翻譯走開了
[00:00:26.000 --> 00:00:28.000]  就作弄鄧小平
[00:00:28.000 --> 00:00:33.000]  他就問他 你從哪裏來到美國 哪個城市
[00:00:33.000 --> 00:00:35.000]  鄧小平就這樣想
[00:00:35.000 --> 00:00:39.000]  第一條問題問我 肯定是問我姓什麼
[00:00:39.000 --> 00:00:41.000]  他還姓川華
[00:00:41.000 --> 00:00:45.000]  Washington Washington
[00:00:45.000 --> 00:00:46.000]  即是去哪裏
[00:00:46.000 --> 00:00:49.000]  華盛頓 美國首府叫華盛頓
[00:00:49.000 --> 00:00:52.000]  所以這些人這麼厲害 鄧小平
[00:00:52.000 --> 00:00:54.000]  再問你來美國做什麼
[00:00:54.000 --> 00:00:58.000]  他就問 這個人問我姓什麼
[00:00:58.000 --> 00:01:02.000]  第二個問題問我叫什麼名字
[00:01:02.000 --> 00:01:06.000]  Shopping Shopping
[00:01:06.000 --> 00:01:08.000]  即是Shopping
[00:01:08.000 --> 00:01:14.000]  接着再問 因爲中國那時候和臺灣都比較緊張
[00:01:14.000 --> 00:01:17.000]  他就問 你知不知道當他用英文問他
[00:01:17.000 --> 00:01:20.000]  你認爲下一屆臺灣的總統是誰呢
[00:01:20.000 --> 00:01:22.000]  鄧小平那時候慌了
[00:01:22.000 --> 00:01:24.000]  第三條問題是什麼呢
[00:01:24.000 --> 00:01:26.000]  左看右看 知不知道看什麼
[00:01:26.000 --> 00:01:28.000]  他那個翻譯去了哪裏
[00:01:28.000 --> 00:01:30.000]  都不見你
[00:01:30.000 --> 00:01:33.000]  他就說 你得去 你得去
[00:01:33.000 --> 00:01:35.000]  即是李登輝 哇 這些人更厲害
[00:01:35.000 --> 00:01:37.000]  哇 鄧小平這麼厲害
[00:01:37.000 --> 00:01:41.000]  接着再問 你知不知道下一任的總統是誰
[00:01:41.000 --> 00:01:43.000]  即是臺灣之後
[00:01:43.000 --> 00:01:46.000]  他就 哇 很不開心
[00:01:46.000 --> 00:01:48.000]  隨便隨便
[00:01:48.000 --> 00:01:50.000]  即是陳水扁
[00:01:50.000 --> 00:01:51.000]  哇 這些人這麼厲害
[00:01:51.000 --> 00:01:53.000]  接着再問 其實《星球大戰》之後
[00:01:53.000 --> 00:01:55.000]  很小的字方不讓你看
[00:01:55.000 --> 00:01:57.000]  他就TMD
[00:01:57.000 --> 00:01:59.000]  他媽的
[00:01:59.000 --> 00:02:01.000]  其實這個是講粗口的
[00:02:01.000 --> 00:02:03.000]  不過想不教你們
[00:02:03.000 --> 00:02:05.000]  不過都要讓你知道
[00:02:05.000 --> 00:02:07.000]  在這個對話當中
[00:02:07.000 --> 00:02:09.000]  問得很奇怪
[00:02:09.000 --> 00:02:11.000]  因爲答一問 答什麼
[00:02:11.000 --> 00:02:13.000]  都答得很聰明
[00:02:13.000 --> 00:02:15.000]  鄧小平叔叔
[00:02:15.000 --> 00:02:17.000]  OK 今天想和大家看看經文
[00:02:17.000 --> 00:02:19.000]  同樣在聖經
[00:02:19.000 --> 00:02:21.000]  嚴肅很多
[00:02:21.000 --> 00:02:23.000]  看看怎麼問怎麼答
[00:02:23.000 --> 00:02:25.000]  下一張powerpoint 我們多讀這個經文
[00:02:25.000 --> 00:02:27.000]  一起讀一讀
[00:02:27.000 --> 00:02:29.000]  你們有沒有帽子
[00:02:29.000 --> 00:02:31.000]  不要緊 等下好了
[00:02:31.000 --> 00:02:33.000]  回到上一章 謝謝你
[00:02:33.000 --> 00:02:35.000]  好了 問得好 答得妙
[00:02:35.000 --> 00:02:37.000]  會問 會答
[00:02:37.000 --> 00:02:39.000]  是我們今天要去學求主耶穌給智慧的
[00:02:39.000 --> 00:02:41.000]  好 那我們就來吧
[00:02:41.000 --> 00:02:43.000]  下一張powerpoint 我們有兩段經文讀
[00:02:43.000 --> 00:02:45.000]  這張powerpoint就看着
[00:02:45.000 --> 00:02:47.000]  藍色的字
[00:02:47.000 --> 00:02:49.000]  有一個人叫尼哥底姆
[00:02:49.000 --> 00:02:51.000]  他問耶穌
[00:02:51.000 --> 00:02:53.000]  紅色的字
[00:02:53.000 --> 00:02:55.000]  就是耶穌答他的
[00:02:55.000 --> 00:02:57.000]  我們就會看
[00:02:57.000 --> 00:02:59.000]  這次有兩個問題
[00:02:59.000 --> 00:03:01.000]  有兩個答案
[00:03:01.000 --> 00:03:03.000]  我們預備找到 好 一起來讀
[00:03:03.000 --> 00:03:05.000]  在預航福音 三章一至八節
[00:03:05.000 --> 00:03:07.000]  預備 123 來
[00:03:17.000 --> 00:03:19.000]  耶穌回答說
[00:03:19.000 --> 00:03:27.000]  尼哥底姆說
[00:03:27.000 --> 00:03:29.000]  人已經老了
[00:03:29.000 --> 00:03:31.000]  如何能重新呢
[00:03:31.000 --> 00:03:33.000]  豈能再進武福
[00:03:33.000 --> 00:03:35.000]  新出來嗎
[00:03:35.000 --> 00:03:37.000]  耶穌回答說
[00:03:37.000 --> 00:03:39.000]  尼哥底姆說
[00:03:39.000 --> 00:03:41.000]  人已經老了
[00:03:41.000 --> 00:03:43.000]  如何能重新呢
[00:03:43.000 --> 00:03:45.000]  豈能再進武福
[00:03:45.000 --> 00:03:47.000]  新出來嗎
[00:03:47.000 --> 00:03:49.000]  耶穌說
[00:03:49.000 --> 00:03:51.000]  我實實在在的告訴你
[00:03:51.000 --> 00:03:53.000]  人若不是從水和聖靈生的
[00:03:53.000 --> 00:03:55.000]  就不能進神的國
[00:03:55.000 --> 00:03:57.000]  從肉生生的
[00:03:57.000 --> 00:03:59.000]  就是肉生
[00:03:59.000 --> 00:04:01.000]  從靈生的
[00:04:01.000 --> 00:04:03.000]  就是靈
[00:04:03.000 --> 00:04:05.000]  我說 你們必須重生
[00:04:05.000 --> 00:04:07.000]  你不要以爲稀奇
[00:04:07.000 --> 00:04:09.000]  風隨着意思吹
[00:04:09.000 --> 00:04:11.000]  你聽見風的聲音
[00:04:11.000 --> 00:04:13.000]  卻不曉得從哪裏來
[00:04:13.000 --> 00:04:15.000]  往哪裏去
[00:04:15.000 --> 00:04:17.000]  凡從聖靈生的
[00:04:17.000 --> 00:04:19.000]  也是如此
[00:04:19.000 --> 00:04:21.000]  你會覺得是什麼
[00:04:21.000 --> 00:04:23.000]  這幾句經文關乎一個信仰
[00:04:23.000 --> 00:04:25.000]  裏面很重點的
[00:04:25.000 --> 00:04:27.000]  出過幾次
[00:04:27.000 --> 00:04:29.000]  答案就在第七節
[00:04:29.000 --> 00:04:31.000]  第七節裏面有幾個字
[00:04:31.000 --> 00:04:33.000]  二 四 六 八 十 十二 十四 十六
[00:04:33.000 --> 00:04:35.000]  多十四個字
[00:04:35.000 --> 00:04:37.000]  最重要的是今次經文裏面
[00:04:37.000 --> 00:04:39.000]  兩個字叫做重生
[00:04:39.000 --> 00:04:41.000]  好 我不知大家覺得什麼叫重生
[00:04:41.000 --> 00:04:43.000]  即是重生一至生
[00:04:43.000 --> 00:04:45.000]  重生
[00:04:45.000 --> 00:04:47.000]  尼哥底目和我們一樣問
[00:04:47.000 --> 00:04:49.000]  哎呀 是不是回到媽媽的肚子裏面再生一次呢
[00:04:49.000 --> 00:04:51.000]  這個很正常
[00:04:51.000 --> 00:04:53.000]  這個是當時
[00:04:53.000 --> 00:04:55.000]  兩個問題 兩個答案
[00:04:55.000 --> 00:04:57.000]  我們回到上一章
[00:04:57.000 --> 00:04:59.000]  上一章
[00:04:59.000 --> 00:05:01.000]  藍色那裏
[00:05:01.000 --> 00:05:03.000]  這個人是法利塞人
