
[00:00:00.000 --> 00:00:04.660]  今天講的是越過困局的視野
[00:00:04.660 --> 00:00:06.320]  越過困局我們很多時候都會想
[00:00:06.320 --> 00:00:07.240]  有什麼工具
[00:00:07.240 --> 00:00:08.460]  有什麼方法
[00:00:08.460 --> 00:00:09.320]  有什麼想法
[00:00:09.320 --> 00:00:13.960]  但是今天我很想集中在一個視野
[00:00:13.960 --> 00:00:18.840]  你看到什麼是非常重要的
[00:00:18.840 --> 00:00:21.040]  好,我想先問一下大家這個問題
[00:00:21.040 --> 00:00:22.000]  我想問一下大家知不知道
[00:00:22.000 --> 00:00:24.000]  我最喜歡吃的水果是什麼?
[00:00:24.000 --> 00:00:25.160]  水果
[00:00:25.160 --> 00:00:26.240]  說得好
[00:00:26.240 --> 00:00:29.540]  我最喜歡吃的豬肉是怎麼做的?
[00:00:29.540 --> 00:00:31.400]  梅菜羹肉
[00:00:31.400 --> 00:00:32.900]  真是我的好朋友
[00:00:32.900 --> 00:00:36.700]  今天再告訴大家我最喜歡吃的東西
[00:00:36.700 --> 00:00:37.620]  是什麼?
[00:00:37.620 --> 00:00:39.660]  就是栗子,知道嗎?
[00:00:39.660 --> 00:00:41.040]  現在開始冷了
[00:00:41.040 --> 00:00:43.080]  大家有沒有吃過栗子了?
[00:00:43.080 --> 00:00:44.040]  有沒有人喜歡吃栗子?
[00:00:44.040 --> 00:00:44.940]  舉手一下
[00:00:44.940 --> 00:00:46.120]  都很多
[00:00:46.120 --> 00:00:47.440]  我很有趣的
[00:00:47.440 --> 00:00:51.540]  我一聽到栗子車炒栗子的聲音
[00:00:51.540 --> 00:00:53.620]  我開始很興奮,知道嗎?
[00:00:53.620 --> 00:00:55.240]  就是腎上腺上升
[00:00:55.240 --> 00:00:57.240]  多巴胺又會提升
[00:00:57.240 --> 00:01:01.080]  接著口水就會開始滲透出來
[00:01:01.080 --> 00:01:04.160]  我記得很多年前有一次的經驗
[00:01:04.160 --> 00:01:06.360]  就是我下班了
[00:01:06.360 --> 00:01:08.540]  很滿足,就回小組
[00:01:08.540 --> 00:01:10.660]  回來小組又很滿足
[00:01:10.660 --> 00:01:13.540]  完了的時候都已經十點了
[00:01:13.540 --> 00:01:16.960]  很不期待會看到的東西又出現了
[00:01:16.960 --> 00:01:20.040]  就是看到一個栗子車
[00:01:20.040 --> 00:01:21.120]  在遠處
[00:01:21.120 --> 00:01:23.160]  我覺得如果今天
[00:01:23.160 --> 00:01:23.780]  就是當天
[00:01:23.780 --> 00:01:26.080]  如果今天吃完栗子
[00:01:26.080 --> 00:01:29.200]  完結我那一天就真的美好了
[00:01:29.200 --> 00:01:31.500]  於是我就追過去
[00:01:31.500 --> 00:01:34.460]  離遠的看到就追過去追過去
[00:01:34.460 --> 00:01:36.780]  到那一刻我發現真的奇妙了
[00:01:36.780 --> 00:01:38.420]  原來這不是栗子車
[00:01:38.420 --> 00:01:40.420]  是垃圾車
[00:01:40.420 --> 00:01:43.160]  我看看
[00:01:43.160 --> 00:01:44.320]  哇,真的
[00:01:44.320 --> 00:01:47.040]  當然我也是很期待是栗子
[00:01:47.040 --> 00:01:49.200]  上帝那一刻就提醒我
[00:01:49.200 --> 00:01:52.780]  叫我人生不要亂追東西
[00:01:52.780 --> 00:01:54.960]  有時候不值得追的東西追
[00:01:54.960 --> 00:01:56.960]  最後發現都是一空的
[00:01:56.960 --> 00:02:00.540]  當然我很尊重倒垃圾的姐姐哥哥
[00:02:00.540 --> 00:02:02.540]  剛剛那次的體驗就是這樣
[00:02:02.540 --> 00:02:03.580]  很特別
[00:02:03.580 --> 00:02:07.500]  開始那一刻我就開始懷疑人生了
[00:02:07.500 --> 00:02:10.500]  究竟我的視力是不是有問題呢
[00:02:10.500 --> 00:02:11.740]  我覺得很明白的
[00:02:11.740 --> 00:02:15.460]  有時候我們看的東西是因為你想想是那樣東西
[00:02:15.460 --> 00:02:16.540]  你就想看到了
[00:02:16.540 --> 00:02:20.040]  我們叫做自我滿足的心理學
[00:02:20.040 --> 00:02:21.040]  我都明白的
[00:02:21.040 --> 00:02:23.200]  但是有時候我們看的東西未必真的是這樣
[00:02:23.200 --> 00:02:25.660]  我們看到的東西未必真是真實
[00:02:25.660 --> 00:02:27.660]  或者我們看不到的東西未必不是看到
[00:02:27.660 --> 00:02:28.960]  但是很複雜的東西
[00:02:28.960 --> 00:02:31.700]  今天這段聖經正正說
[00:02:31.700 --> 00:02:35.160]  我們看到了些什麼
[00:02:35.160 --> 00:02:38.540]  有幾節的聖經我交代背景之後
[00:02:38.540 --> 00:02:41.000]  我們今天將會學幾點
[00:02:41.000 --> 00:02:42.080]  三點,可以嗎?
[00:02:42.080 --> 00:02:44.080]  跟別人說,今天學到三點
[00:02:44.080 --> 00:02:46.280]  學三點而已,好嗎?
[00:02:46.280 --> 00:02:48.000]  好,我們先看看背景
[00:02:48.000 --> 00:02:50.420]  今天的主角總要有三個
[00:02:50.420 --> 00:02:52.420]  一個是阿蘭王
[00:02:52.420 --> 00:02:54.420]  一個是以色列王
[00:02:54.420 --> 00:02:56.420]  一個是以利沙
[00:02:56.420 --> 00:02:58.420]  就是神的僕人,神人
[00:02:58.420 --> 00:03:00.420]  我們先讀六章第八節
[00:03:00.420 --> 00:03:01.420]  一二三
[00:03:01.420 --> 00:03:04.420]  阿蘭王與以色列人爭戰
[00:03:04.420 --> 00:03:06.420]  和泰臣服上義士
[00:03:06.420 --> 00:03:09.420]  可以在某處某處安寧
[00:03:09.420 --> 00:03:11.420]  他們兩個又打起來
[00:03:11.420 --> 00:03:12.420]  待會我交代阿蘭王
[00:03:12.420 --> 00:03:15.420]  某處某處安寧的意思就是說
[00:03:15.420 --> 00:03:17.420]  他想設下陷阱
[00:03:17.420 --> 00:03:18.920]  某處某處不告訴你
[00:03:18.920 --> 00:03:20.420]  安寧設下陷阱
[00:03:20.420 --> 00:03:22.420]  就捕捉以色列王
