
[00:00:00.000 --> 00:00:02.000]  莫定展會平安
[00:00:02.000 --> 00:00:06.000]  多謝屎班為我們獻唱一首詩歌
[00:00:06.000 --> 00:00:08.000]  萬物都有定時
[00:00:08.000 --> 00:00:10.000]  對我們香港人來說是特別深刻
[00:00:10.000 --> 00:00:12.000]  在過去一個禮拜裏
[00:00:12.000 --> 00:00:14.000]  我們經常說
[00:00:14.000 --> 00:00:16.000]  好像這首詩歌裏面都說
[00:00:16.000 --> 00:00:18.000]  打風有時 曬到窿都有時
[00:00:18.000 --> 00:00:20.000]  可能在我們的場景裏
[00:00:20.000 --> 00:00:22.000]  很常我們都會
[00:00:22.000 --> 00:00:24.000]  特別在近期
[00:00:24.000 --> 00:00:26.000]  大家一定很關心
[00:00:26.000 --> 00:00:28.000]  這個風暴的一些影響
[00:00:28.000 --> 00:00:30.000]  一些消息
[00:00:30.000 --> 00:00:32.000]  香港特別在這次
[00:00:32.000 --> 00:00:34.000]  刮這麼大風的裏面
[00:00:34.000 --> 00:00:36.000]  我想大家都很關心這些新聞
[00:00:36.000 --> 00:00:38.000]  我都很喜歡每次在風暴裏面
[00:00:38.000 --> 00:00:40.000]  都特別去留心一些新聞
[00:00:40.000 --> 00:00:42.000]  或者一些和風暴有關的消息
[00:00:42.000 --> 00:00:44.000]  我相信我們當中
[00:00:44.000 --> 00:00:46.000]  很多都會周不時看一看電視
[00:00:46.000 --> 00:00:48.000]  當然其中一個
[00:00:48.000 --> 00:00:50.000]  最深刻的 或者最容易
[00:00:50.000 --> 00:00:52.000]  人家會去留心的就是
[00:00:52.000 --> 00:00:54.000]  行花村 那個浪有多大
[00:00:54.000 --> 00:00:56.000]  一定會遇到
[00:00:56.000 --> 00:00:58.000]  因為每次風暴的時候
[00:00:58.000 --> 00:01:00.000]  電視一定會出這個
[00:01:00.000 --> 00:01:02.000]  所謂的新聞
[00:01:02.000 --> 00:01:04.000]  另一個可能你想到的
[00:01:04.000 --> 00:01:06.000]  都是一些倒樹的新聞
[00:01:06.000 --> 00:01:08.000]  應該都會有 香港這麼多棵樹
[00:01:08.000 --> 00:01:10.000]  每次刮大風的時候
[00:01:10.000 --> 00:01:12.000]  都會倒樹 但是有一個新聞
[00:01:12.000 --> 00:01:14.000]  是我怎麼猜都猜不到的
[00:01:14.000 --> 00:01:16.000]  可能你還會猜
[00:01:16.000 --> 00:01:18.000]  是誰家裏的屋頂飛了
[00:01:18.000 --> 00:01:20.000]  或者是窗戶爆了等等
[00:01:20.000 --> 00:01:22.000]  但是你怎麼猜
