
[00:00:00.000 --> 00:00:05.080]  我們繼續看我們這個跨月的系列
[00:00:05.080 --> 00:00:08.320]  我們說過我們要看聖經裏面有一本書
[00:00:08.320 --> 00:00:10.320]  叫做《士堂傳》Book of Acts
[00:00:10.320 --> 00:00:12.320]  如果你未接觸過聖經的話
[00:00:12.320 --> 00:00:14.800]  你只需要打開新約聖經第五本書
[00:00:14.800 --> 00:00:19.800]  裏面記載了一本書叫做《士堂傳》
[00:00:19.800 --> 00:00:23.960]  《士堂傳》講到初代教會的故事
[00:00:23.960 --> 00:00:26.600]  即是說耶穌基督死而復活
[00:00:26.600 --> 00:00:29.600]  升天之後有什麼事發生呢?
[00:00:29.600 --> 00:00:31.600]  初代的教會、第一代的教會
[00:00:31.600 --> 00:00:33.600]  到底有什麼經歷呢?等等
[00:00:33.600 --> 00:00:39.000]  我們在《士堂傳》當中已經講了好幾章
[00:00:39.000 --> 00:00:41.400]  今次我們跳到第九章
[00:00:41.400 --> 00:00:43.200]  第九章有什麼事發生呢?
[00:00:43.200 --> 00:00:46.200]  就是一個人信主的故事
[00:00:46.200 --> 00:00:50.600]  我相信我們在座百分之九十以上吧
[00:00:50.600 --> 00:00:52.600]  我想我們都已經信了主
[00:00:52.600 --> 00:00:54.600]  你記不記得你信主的時候是怎樣的?
[00:00:54.600 --> 00:00:56.600]  記不記得誰帶你信主?
[00:00:56.600 --> 00:00:58.600]  或者什麼情形、什麼情景信主?
[00:00:58.600 --> 00:01:01.600]  多少年前?或者最近?
[00:01:01.600 --> 00:01:03.600]  無論什麼時間、什麼情況都好
[00:01:03.600 --> 00:01:06.600]  我們都需要謹記我們怎樣信主
[00:01:06.600 --> 00:01:08.600]  或者可能你還沒有信主
[00:01:08.600 --> 00:01:10.600]  可能你都應該想一想
[00:01:10.600 --> 00:01:12.600]  到底教會是什麼一回事呢?
[00:01:12.600 --> 00:01:14.600]  或者我們所講的耶穌基督的福音
[00:01:14.600 --> 00:01:16.600]  是一回什麼事呢?
[00:01:16.600 --> 00:01:20.600]  你的朋友信主或者你的家人信主
[00:01:20.600 --> 00:01:22.600]  他們是基督徒
[00:01:22.600 --> 00:01:24.600]  他們到底經歷過什麼呢?
[00:01:24.600 --> 00:01:28.600]  為什麼他們會覺得這件事是這麼大一件事呢?
[00:01:28.600 --> 00:01:30.600]  今次我們來到第九章
[00:01:30.600 --> 00:01:32.600]  就是講到一個人叫做蘇羅
[00:01:32.600 --> 00:01:34.600]  或者叫做保羅
[00:01:34.600 --> 00:01:36.600]  他信主的經歷
[00:01:36.600 --> 00:01:38.600]  我們先看這段聖經
[00:01:38.600 --> 00:01:40.600]  就講到這位叫做蘇羅
[00:01:40.600 --> 00:01:42.600]  或者他的羅馬的名字
[00:01:42.600 --> 00:01:44.600]  蘇羅
[00:01:44.600 --> 00:01:46.600]  就是希伯來的名字
[00:01:46.600 --> 00:01:49.600]  保羅就是羅馬的名字
[00:01:49.600 --> 00:01:51.600]  好像我們今天有很多人有中文名
[00:01:51.600 --> 00:01:54.600]  有西班牙名或者有台山話名
[00:01:54.600 --> 00:01:56.600]  Whatever
[00:01:56.600 --> 00:01:58.600]  有幾個名字
[00:01:58.600 --> 00:02:00.600]  蘇羅和保羅都是指同一個人
[00:02:00.600 --> 00:02:04.600]  第九章就講到他信主的經歷是怎麼樣
[00:02:04.600 --> 00:02:06.600]  我們先看第九章第一節
[00:02:06.600 --> 00:02:08.600]  直到第九節
[00:02:08.600 --> 00:02:12.600]  這段故事是講到他怎樣遇上這位基督
[00:02:12.600 --> 00:02:14.600]  第九章第一節
[00:02:14.600 --> 00:02:17.600]  蘇羅不斷用威嚇凶悍的口氣
[00:02:17.600 --> 00:02:19.600]  向主的門徒說話
[00:02:19.600 --> 00:02:21.600]  他去見大祭司
