
[00:00:00.000 --> 00:00:04.360]  今天的題目是教會有多厲害
[00:00:04.360 --> 00:00:07.560]  不過講教會之前
[00:00:07.560 --> 00:00:10.000]  我們先講一下厲害
[00:00:10.000 --> 00:00:13.120]  不知道如果我們講厲害的時候
[00:00:13.120 --> 00:00:15.680]  你們通常會想起什麼
[00:00:15.680 --> 00:00:19.800]  會不會想起力量
[00:00:19.800 --> 00:00:21.400]  力的表現
[00:00:21.400 --> 00:00:25.240]  過氣的拳王泰臣
[00:00:25.240 --> 00:00:28.320]  又不知道你們會不會想起
[00:00:28.320 --> 00:00:31.280]  智力爆棚的愛因斯坦
[00:00:31.280 --> 00:00:33.800]  都頗厲害的
[00:00:33.800 --> 00:00:38.000]  最近很多人愛游
[00:00:38.000 --> 00:00:39.600]  復常之後
[00:00:39.600 --> 00:00:42.040]  愛游的時候要搭什麼
[00:00:42.040 --> 00:00:42.960]  飛機
[00:00:42.960 --> 00:00:45.640]  飛機也是一個偉大的發明
[00:00:45.640 --> 00:00:48.520]  不知道你們會想起很多偉大的發明家
[00:00:48.520 --> 00:00:50.680]  包括我們的飛機發明家
[00:00:50.680 --> 00:00:52.120]  萊特兄弟
[00:00:52.120 --> 00:00:54.920]  這些人都頗厲害的
[00:00:54.920 --> 00:00:56.360]  這麼大隻金屬的東西
[00:00:56.360 --> 00:00:59.160]  都可以飛上天空還載著這麼多人
[00:00:59.160 --> 00:01:03.560]  不過厲害又不僅是醫技方面
[00:01:03.560 --> 00:01:06.360]  最近有一個很熱門的題目
[00:01:06.360 --> 00:01:10.520]  那個題目原來叫做人工智能
[00:01:10.520 --> 00:01:11.560]  厲害嗎
[00:01:11.560 --> 00:01:12.480]  厲害吧
[00:01:12.480 --> 00:01:13.880]  CHECK CPT
[00:01:13.880 --> 00:01:17.760]  全球都在說這個很厲害的新科技
[00:01:17.760 --> 00:01:19.480]  不過我在想
[00:01:19.480 --> 00:01:23.760]  是不是只是這些科技的發明
[00:01:23.760 --> 00:01:27.160]  才是厲害的表現
[00:01:27.160 --> 00:01:29.120]  不知道你們會不會想起一些
[00:01:29.120 --> 00:01:33.480]  毅力和堅持很厲害的人
[00:01:33.480 --> 00:01:35.920]  網上就有這個新聞
[00:01:35.920 --> 00:01:37.760]  70歲的老人家
[00:01:37.760 --> 00:01:40.320]  看不看得到是傷殘的
[00:01:40.320 --> 00:01:42.600]  原來他還患了癌症
[00:01:42.600 --> 00:01:47.400]  竟然成功登陸珠穆朗瑪峰
[00:01:47.400 --> 00:01:48.680]  厲害嗎
[00:01:48.680 --> 00:01:50.320]  真的厲害
[00:01:50.320 --> 00:01:53.000]  原來厲害有很多層面
[00:01:53.000 --> 00:01:55.320]  廣東話很厲害
[00:01:55.320 --> 00:01:57.440]  其實有很多表達的方法
[00:01:57.440 --> 00:01:59.600]  很厲害、很了不起
[00:01:59.600 --> 00:02:02.920]  很厲害、很棒
[00:02:02.920 --> 00:02:06.000]  那些都是很厲害的表現
[00:02:06.000 --> 00:02:07.240]  不過我再想
[00:02:07.240 --> 00:02:10.400]  厲害與否有時是因人而異
[00:02:10.400 --> 00:02:12.200]  對很多人來說
[00:02:12.200 --> 00:02:14.040]  我看下去應該有多少人
[00:02:14.040 --> 00:02:15.600]  可能很擅長下廚
[00:02:15.600 --> 00:02:18.160]  煮五餐一湯厲害什麼
[00:02:18.160 --> 00:02:20.120]  沒有難度
[00:02:20.120 --> 00:02:24.000]  但是老闆開始在那邊笑了
[00:02:24.000 --> 00:02:27.560]  但是大家如果比較認識我這個人
