
[00:00:00.000 --> 00:00:03.340]  你不信的話 我給你看一些聖經
[00:00:03.340 --> 00:00:07.340]  這是保羅在《哥倫多前書》裡說的
[00:00:07.340 --> 00:00:10.820]  舊約是末世的尷尬
[00:00:10.820 --> 00:00:12.820]  保羅之前說過一些舊約
[00:00:12.820 --> 00:00:15.940]  他說以色列人過紅海等等
[00:00:15.940 --> 00:00:17.060]  和我們今天一樣
[00:00:17.060 --> 00:00:19.520]  那時候他們也聽了他們的福音
[00:00:19.520 --> 00:00:22.460]  他說這些是舊約裡的事
[00:00:22.460 --> 00:00:24.740]  都是我們的尷尬
[00:00:24.740 --> 00:00:27.460]  使我們不要貪戀惡事
[00:00:27.460 --> 00:00:29.940]  因為舊約聖經裡的就是貪戀惡事
[00:00:29.940 --> 00:00:33.300]  不要拜偶像 仗他們
[00:00:33.300 --> 00:00:35.880]  這些事發生在他們身上
[00:00:35.880 --> 00:00:40.840]  要作尷尬 要警戒我們這末世的人
[00:00:40.840 --> 00:00:42.040]  什麼叫末世呢
[00:00:42.040 --> 00:00:44.380]  就不是說最後那幾年
[00:00:44.380 --> 00:00:46.900]  所謂末世就是耶穌來了之後
[00:00:46.900 --> 00:00:49.300]  到耶穌再來就叫末世了
[00:00:49.300 --> 00:00:51.140]  現在已經二千多年了
[00:00:51.140 --> 00:00:52.980]  還是末世
[00:00:52.980 --> 00:00:54.980]  還有多久呢 不知道
[00:00:54.980 --> 00:00:57.780]  但是我們由耶穌第一次來了之後
[00:00:57.780 --> 00:00:59.780]  就是末世的開始了
[00:00:59.780 --> 00:01:01.780]  所以他告訴我們
[00:01:01.780 --> 00:01:04.060]  舊約裡的故事是用來做什麼的
[00:01:04.060 --> 00:01:06.580]  要警惕我們不要像舊約裡
[00:01:06.580 --> 00:01:08.340]  因為他們貪戀惡事
[00:01:08.340 --> 00:01:09.700]  因為他們拜偶像
[00:01:09.700 --> 00:01:11.420]  而他們的死亡
[00:01:11.420 --> 00:01:14.060]  他們上帝的憤怒在舊約人身上
[00:01:14.060 --> 00:01:16.060]  其實是彰顯著
[00:01:16.060 --> 00:01:17.460]  如果我們不背改
[00:01:17.460 --> 00:01:19.460]  我們繼續像他們那樣的時候
[00:01:19.460 --> 00:01:21.460]  我們的結局和他們沒有一樣
[00:01:21.460 --> 00:01:23.700]  你不要以為
[00:01:23.700 --> 00:01:25.580]  只是我們才回教會
[00:01:25.580 --> 00:01:27.580]  舊約人也回教會
[00:01:27.580 --> 00:01:30.700]  還將耶和華的聖殿變成了
[00:01:30.700 --> 00:01:32.700]  賊窩
[00:01:32.700 --> 00:01:34.700]  是吧 很興旺的
[00:01:34.700 --> 00:01:36.700]  所以如果舊約的人
[00:01:36.700 --> 00:01:39.700]  不可以因為他這個賊窩而得救的話
[00:01:39.700 --> 00:01:42.700]  你和我除非我們真的從心裡面
[00:01:42.700 --> 00:01:44.700]  去悔改的話 我們沒辦法的
[00:01:44.700 --> 00:01:46.700]  這件事很重要
[00:01:46.700 --> 00:01:48.700]  我再說一件事
[00:01:48.700 --> 00:01:50.700]  就是你做牧師久了
[00:01:50.700 --> 00:01:52.700]  經常久不久
[00:01:52.700 --> 00:01:54.700]  有些人讀舊約就說
[00:01:54.700 --> 00:01:57.700]  我們真的好像舊約那些人一樣
[00:01:57.700 --> 00:02:00.700]  我說大吉利是 我當然不和你一起
[00:02:00.700 --> 00:02:02.700]  我怎會和你一樣
[00:02:02.700 --> 00:02:05.700]  他說我們好像舊約那些人一樣
[00:02:05.700 --> 00:02:06.700]  不過感謝主我們有耶穌
[00:02:06.700 --> 00:02:08.700]  他只是說耶穌是免洗金牌
