
[00:00:00.000 --> 00:00:02.640]  有些人說已經不見了幾年了
[00:00:02.640 --> 00:00:04.640]  是嗎 我說這麼久了
[00:00:04.640 --> 00:00:07.680]  其實在Pleasanton這個Campus
[00:00:07.680 --> 00:00:09.680]  真的看到很多的恩典
[00:00:09.680 --> 00:00:11.680]  跟大家分享一下
[00:00:11.680 --> 00:00:14.240]  有一個弟兄
[00:00:14.240 --> 00:00:17.920]  他來了我們會點很多年
[00:00:17.920 --> 00:00:21.280]  我們會點明年20週年
[00:00:21.280 --> 00:00:25.040]  我想他來了有十七八年這麼久
[00:00:25.040 --> 00:00:27.360]  但他一直都沒有信耶穌
[00:00:27.360 --> 00:00:30.080]  這是一個紀錄 來了會點這麼久
[00:00:30.080 --> 00:00:32.080]  十幾年沒有信耶穌
[00:00:32.080 --> 00:00:34.080]  應該沒有人能打破他
[00:00:34.080 --> 00:00:37.360]  他大概幾年前
[00:00:37.360 --> 00:00:41.280]  由Muperius開始去到Pleasanton
[00:00:41.280 --> 00:00:43.280]  他從沒有小孩到現在有小孩
[00:00:43.280 --> 00:00:46.560]  我的女兒都長大了
[00:00:46.560 --> 00:00:49.680]  他最後幾年前兩年前
[00:00:49.680 --> 00:00:51.680]  在Pleasanton信耶穌
[00:00:51.680 --> 00:00:53.680]  接著在那裡受浸
[00:00:53.680 --> 00:00:55.680]  當我見到這個情景的時候
[00:00:55.680 --> 00:00:59.120]  我覺得這個神給我一個恩典
[00:00:59.120 --> 00:01:01.120]  能夠去見證一個
[00:01:01.120 --> 00:01:03.120]  這麼久這麼多難處
[00:01:03.120 --> 00:01:05.120]  但最後給神感動
[00:01:05.120 --> 00:01:07.120]  他信了耶穌
[00:01:07.120 --> 00:01:09.120]  當日他受浸的時候我還記得
[00:01:09.120 --> 00:01:11.120]  很多尖叫聲
[00:01:11.120 --> 00:01:14.080]  很多眼淚很多擁抱在當中
[00:01:14.080 --> 00:01:16.080]  信耶穌 見到別人信耶穌
[00:01:16.080 --> 00:01:18.080]  是一件這麼快樂的事情
[00:01:18.080 --> 00:01:21.600]  除了見到別人信耶穌
[00:01:21.600 --> 00:01:26.560]  我們2016年開始的時候
[00:01:26.560 --> 00:01:28.560]  就進了一個新的堂子
[00:01:28.560 --> 00:01:30.560]  在堂子當中我們開了一個
[00:01:30.560 --> 00:01:32.560]  國語的崇拜
[00:01:32.560 --> 00:01:34.560]  開始國語事供
[00:01:34.560 --> 00:01:36.560]  在這個事供當中
[00:01:36.560 --> 00:01:38.560]  我又見到神很多的
[00:01:38.560 --> 00:01:40.560]  作為在當中
[00:01:40.560 --> 00:01:42.560]  很多的安排
[00:01:42.560 --> 00:01:44.560]  你知道我們一開Ministry的時候
[00:01:44.560 --> 00:01:46.560]  都很多outreach 很多活動
[00:01:46.560 --> 00:01:48.560]  在中國大陸下來的朋友
[00:01:48.560 --> 00:01:52.560]  參與我們這些活動的人不少
[00:01:52.560 --> 00:01:54.560]  通常都是家庭
[00:01:54.560 --> 00:01:56.560]  但不是小朋友
[00:01:56.560 --> 00:01:58.560]  我記得有一個家庭
[00:01:58.560 --> 00:02:00.560]  你知道我們通常都是聚餐
[00:02:00.560 --> 00:02:02.560]  打火鍋
[00:02:02.560 --> 00:02:04.560]  和國內的火鍋
[00:02:04.560 --> 00:02:06.560]  四川麻辣
[00:02:06.560 --> 00:02:08.560]  你喜歡什麼辣都可以
[00:02:08.560 --> 00:02:10.560]  什麼料都可以
[00:02:10.560 --> 00:02:12.560]  他來了一兩次
[00:02:12.560 --> 00:02:14.560]  後來我們做follow
[00:02:14.560 --> 00:02:16.560]  突然間不見了他
[00:02:16.560 --> 00:02:18.560]  說怎麼找都找不到
[00:02:18.560 --> 00:02:22.560]  WhatsApp 群組
[00:02:22.560 --> 00:02:24.560]  WeChat 他們用WeChat
[00:02:24.560 --> 00:02:26.560]  全部失蹤
[00:02:26.560 --> 00:02:28.560]  後來發現他回了中國大陸幾年
[00:02:28.560 --> 00:02:30.560]  帶了兩個小朋友
[00:02:30.560 --> 00:02:32.560]  整家人回去了幾年
[00:02:32.560 --> 00:02:34.560]  後來為什麼會知道呢
[00:02:34.560 --> 00:02:36.560]  因為原來幾年後
[00:02:36.560 --> 00:02:38.560]  大概去年
[00:02:38.560 --> 00:02:40.560]  突然在Playhouse 見到他
[00:02:40.560 --> 00:02:42.560]  見到他的時候大家就聊
[00:02:42.560 --> 00:02:44.560]  你原來去哪了
[00:02:44.560 --> 00:02:46.560]  我意思是當我們
[00:02:46.560 --> 00:02:48.560]  做這個小組的時候
[00:02:48.560 --> 00:02:50.560]  發覺很多時候接觸
[00:02:50.560 --> 00:02:52.560]  當地的中國大陸朋友
[00:02:52.560 --> 00:02:54.560]  他會突然間消失
[00:02:54.560 --> 00:02:56.560]  他突然間消失了
[00:02:56.560 --> 00:02:58.560]  又會出現
[00:02:58.560 --> 00:03:00.560]  這個夫婦這一家人
[00:03:00.560 --> 00:03:02.560]  很感謝主
[00:03:02.560 --> 00:03:04.560]  他回來之後來到Playhouse
[00:03:04.560 --> 00:03:06.560]  我們就和他繼續聯絡
[00:03:06.560 --> 00:03:08.560]  所謂聯絡就是繼續吃飯
[00:03:08.560 --> 00:03:10.560]  繼續打火鍋
[00:03:10.560 --> 00:03:12.560]  打著打著
[00:03:12.560 --> 00:03:14.560]  到了報道會
[00:03:14.560 --> 00:03:16.560]  他信耶穌
[00:03:16.560 --> 00:03:18.560]  其實最主要是他太太
[00:03:18.560 --> 00:03:20.560]  對信仰很有反應
[00:03:20.560 --> 00:03:22.560]  很有興趣很多問題
[00:03:22.560 --> 00:03:24.560]  學者來的
