
[00:00:00.000 --> 00:00:06.000]  路加呼音一共有二十四章
[00:00:06.000 --> 00:00:10.000]  那麼這個二十四章就給分幾個大段
[00:00:10.000 --> 00:00:16.000]  第一段是從第一章開始到第二章
[00:00:16.000 --> 00:00:19.000]  是講到耶穌的降生
[00:00:19.000 --> 00:00:21.000]  救主的降生
[00:00:21.000 --> 00:00:26.000]  然後從第三章開始
[00:00:26.000 --> 00:00:29.000]  從第三章到第九章
[00:00:29.000 --> 00:00:33.000]  講到主耶穌祂所做的事情
[00:00:33.000 --> 00:00:35.000]  第三章到第九章
[00:00:35.000 --> 00:00:39.000]  然後從九章到十九章
[00:00:39.000 --> 00:00:41.000]  這段是比較長的
[00:00:41.000 --> 00:00:45.000]  就是耶穌所說的話
[00:00:45.000 --> 00:00:48.000]  那麼先說祂所行的事情
[00:00:48.000 --> 00:00:53.000]  然後到九章到十九章
[00:00:53.000 --> 00:00:55.000]  最長的這一段
[00:00:55.000 --> 00:00:57.000]  講到耶穌所說的話
[00:00:57.000 --> 00:01:00.000]  最後這四章
[00:01:00.000 --> 00:01:02.000]  二十章到二十四章
[00:01:02.000 --> 00:01:05.000]  就講到主耶穌的釋子駕
[00:01:05.000 --> 00:01:09.000]  所以這個路加呼音的分段是比較清楚
[00:01:09.000 --> 00:01:11.000]  先講到祂的降生
[00:01:11.000 --> 00:01:14.000]  然後說到祂所行的
[00:01:14.000 --> 00:01:17.000]  然後說到祂所說的
[00:01:17.000 --> 00:01:21.000]  最後說到主耶穌的釋子駕
[00:01:21.000 --> 00:01:27.000]  這個就是路加呼音是比較清楚的
[00:01:27.000 --> 00:01:31.000]  因為作者路加就說過
[00:01:31.000 --> 00:01:36.000]  他要對齊阿非羅大人所說的話
[00:01:36.000 --> 00:01:38.000]  他要把他所知道的
[00:01:38.000 --> 00:01:40.000]  耶穌所說所行的
[00:01:40.000 --> 00:01:44.000]  都寫在路加呼音裡頭
[00:01:44.000 --> 00:01:47.000]  那我們就看看
[00:01:47.000 --> 00:01:53.000]  我們現在先就到了第二個段落了
[00:01:53.000 --> 00:01:58.000]  就是耶穌第三個段落了
[00:01:58.000 --> 00:02:00.000]  就耶穌所說的話
[00:02:00.000 --> 00:02:03.000]  一開始耶穌所說的話
[00:02:03.000 --> 00:02:08.000]  就從第九章的五十一節開始
[00:02:08.000 --> 00:02:13.000]  就講到主耶穌所說的話
[00:02:13.000 --> 00:02:18.000]  這個就是說耶穌被接上升的論子講到
[00:02:18.000 --> 00:02:22.000]  這是一個來到一個新的階段
[00:02:22.000 --> 00:02:26.000]  就是他就定義向耶路撒冷去
[00:02:26.000 --> 00:02:30.000]  因為在前面可能在加布隆、在加利利
[00:02:30.000 --> 00:02:34.000]  但是最後他知道自己要到釋子駕的話
[00:02:34.000 --> 00:02:39.000]  這釋子駕一定是在耶路撒冷的
[00:02:39.000 --> 00:02:43.000]  因為舊約也說過
[00:02:43.000 --> 00:02:45.000]  新約也說過
[00:02:45.000 --> 00:02:48.000]  路加呼音第十三章曾經說過
[00:02:48.000 --> 00:02:52.000]  他說因為先知在耶路撒冷之外
[00:02:52.000 --> 00:02:55.000]  上命是不能的
[00:02:55.000 --> 00:02:58.000]  就是凡要先知要上命的話
[00:02:58.000 --> 00:03:00.000]  都是到耶路撒冷
[00:03:00.000 --> 00:03:03.000]  在耶路撒冷的地方
[00:03:03.000 --> 00:03:05.000]  人把他殺了
[00:03:05.000 --> 00:03:06.000]  他為了主的緣故
[00:03:06.000 --> 00:03:08.000]  他們為了主的緣故
[00:03:08.000 --> 00:03:10.000]  把自己的性命放上了
[00:03:10.000 --> 00:03:13.000]  所以主耶穌這一生降生在玻利恆
[00:03:13.000 --> 00:03:17.000]  但是他最終是在什麼地方呢?
[00:03:17.000 --> 00:03:20.000]  是在耶路撒冷被釋子駕
[00:03:20.000 --> 00:03:22.000]  所以在耶穌的壽死
[00:03:22.000 --> 00:03:26.000]  是在耶穌知道是在耶路撒冷
[00:03:26.000 --> 00:03:28.000]  所以這裡說
[00:03:28.000 --> 00:03:32.000]  耶穌被接上升的日子到了
[00:03:32.000 --> 00:03:35.000]  被接上升就是他要被釋子駕
[00:03:35.000 --> 00:03:37.000]  然後他被埋葬
[00:03:37.000 --> 00:03:40.000]  他復活然後他升天
[00:03:40.000 --> 00:03:42.000]  這幾件大事情
[00:03:42.000 --> 00:03:44.000]  都是在耶路撒冷發生的
[00:03:44.000 --> 00:03:46.000]  所以他知道這個日子到了
[00:03:46.000 --> 00:03:49.000]  他就定義向耶路撒冷去
