
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹,早晨!
[00:00:02.000 --> 00:00:05.000]  新的一年又開始了
[00:00:05.000 --> 00:00:09.000]  祝願大家有一個新的心靈
[00:00:09.000 --> 00:00:14.000]  過去的一年,有成有敗,有得有失
[00:00:14.000 --> 00:00:18.000]  大家都可以想想,如果是成功的
[00:00:18.000 --> 00:00:22.000]  這個成功的事情,會不會使你走歪路呢?
[00:00:22.000 --> 00:00:26.000]  還是能夠讓你更加敬畏神?
[00:00:27.000 --> 00:00:30.000]  如果你過去有些事情是失敗的
[00:00:30.000 --> 00:00:33.000]  大家可以想想,失敗的事情
[00:00:33.000 --> 00:00:36.000]  會不會讓你心懷怨憤
[00:00:36.000 --> 00:00:41.000]  還是能夠教你更加謙厚待人呢?
[00:00:41.000 --> 00:00:48.000]  事情在上主的手裡,生命也在神的手裡
[00:00:48.000 --> 00:00:50.000]  讓我們常常懷著感恩
[00:00:50.000 --> 00:00:54.000]  將過去一年以感恩的心交給神
[00:00:55.000 --> 00:00:59.000]  從今年的開始,讓我們用感恩的心開始
[00:00:59.000 --> 00:01:04.000]  希望從歲首到年終,都在上主的恩典下生活
[00:01:04.000 --> 00:01:09.000]  今天講到的經文是今天的書信經課
[00:01:09.000 --> 00:01:13.000]  希伯來書第二章十至第十八節
[00:01:13.000 --> 00:01:17.000]  各位兄弟姐妹,如果可以的話,請打開聖經
[00:01:17.000 --> 00:01:22.000]  希伯來書第二章十至第十八節
[00:01:23.000 --> 00:01:25.000]  我再讀一次經文
[00:01:25.000 --> 00:01:29.000]  希伯來書第二章十至第十八節
[00:01:29.000 --> 00:01:35.000]  原來那為萬物所屬,為萬物所本的
[00:01:35.000 --> 00:01:39.000]  要令許多的兒子盡榮耀裡去
[00:01:39.000 --> 00:01:46.000]  使救他們的元帥因受苦難得以完全本事合宜的
[00:01:46.000 --> 00:01:50.000]  因那使人成性的,和那些得以成性的
[00:01:51.000 --> 00:01:57.000]  都是出於一,所以他稱他們為弟兄也不以為恥
[00:01:57.000 --> 00:02:02.000]  說:我要將你的名傳於我的弟兄
[00:02:02.000 --> 00:02:04.000]  在會中我要重揚你
[00:02:04.000 --> 00:02:07.000]  又說:我要倚靠他
[00:02:07.000 --> 00:02:11.000]  又說:看,我與神所給我的兒女
[00:02:11.000 --> 00:02:14.000]  兒女既然同有血肉之體
[00:02:14.000 --> 00:02:17.000]  他也照樣親自成了血肉之體
[00:02:18.000 --> 00:02:22.000]  但要藉著死敗壞那掌死權的就是魔鬼
[00:02:22.000 --> 00:02:26.000]  並要釋放那些一生因怕死而為奴隸的人
[00:02:26.000 --> 00:02:31.000]  他並不詬拔天使,乃是詬拔阿伯拉罕的後裔
[00:02:31.000 --> 00:02:35.000]  所以他凡事該與他的弟兄相同
[00:02:35.000 --> 00:02:39.000]  為要在神的事上成為慈悲忠信的大祭司
[00:02:39.000 --> 00:02:42.000]  為百姓的罪獻上挽回祭
[00:02:42.000 --> 00:02:46.000]  他自己既然被試探而受苦
[00:02:47.000 --> 00:02:49.000]  也不妨答救被試探的人
[00:02:49.000 --> 00:02:52.000]  短短的經文
[00:02:52.000 --> 00:02:57.000]  有點像一篇很短的神學論文
[00:02:57.000 --> 00:03:01.000]  他也接觸了很多神學主題
[00:03:01.000 --> 00:03:04.000]  例如他講解人生
[00:03:04.000 --> 00:03:07.000]  作為一個人最大的問題在哪裡呢?
[00:03:07.000 --> 00:03:11.000]  我們活在一個怎樣的世界裡呢?
[00:03:11.000 --> 00:03:13.000]  耶穌又是誰呢?
[00:03:13.000 --> 00:03:15.000]  祂做了什麼呢?
[00:03:16.000 --> 00:03:17.000]  祂想做什麼呢?
[00:03:17.000 --> 00:03:20.000]  祂做了之後又帶來什麼效果呢?
[00:03:20.000 --> 00:03:23.000]  他處理了很多這樣的主題
[00:03:23.000 --> 00:03:27.000]  我們今天就很簡單的看看
[00:03:27.000 --> 00:03:33.000]  他對這些主題有什麼交代
[00:03:33.000 --> 00:03:36.000]  我將經文分開三個段落
[00:03:36.000 --> 00:03:39.000]  第一個段落的主題是
