
[00:00:00.000 --> 00:00:02.360]  上次講約翰福音
[00:00:02.360 --> 00:00:03.880]  都是在最後提到的
[00:00:03.880 --> 00:00:05.760]  所以我仍然很想
[00:00:05.760 --> 00:00:08.000]  由一個從天降下
[00:00:08.000 --> 00:00:10.160]  營救在天的人子
[00:00:10.160 --> 00:00:12.240]  繼續開始下去
[00:00:12.240 --> 00:00:15.200]  繼續研讀約翰福音的下半部分
[00:00:15.200 --> 00:00:17.720]  大家繼續看經文
[00:00:17.720 --> 00:00:20.280]  第十一節仍是耶穌所說的
[00:00:20.280 --> 00:00:22.600]  他當時對著尼哥底姆
[00:00:22.600 --> 00:00:24.400]  繼續宣講
[00:00:24.400 --> 00:00:26.200]  大家要留意
[00:00:26.200 --> 00:00:28.960]  其實耶穌是很肉緊的
[00:00:28.960 --> 00:00:31.600]  耶穌在這裡多次說
[00:00:31.600 --> 00:00:34.400]  「我實實在在」
[00:00:34.400 --> 00:00:35.840]  其實這個「實實在在」
[00:00:35.840 --> 00:00:37.280]  就類似我們經常描述的
[00:00:37.280 --> 00:00:41.200]  耶穌是一位誠信真實在見證
[00:00:41.200 --> 00:00:43.120]  祂是沒有假話
[00:00:43.120 --> 00:00:46.200]  祂說的是無謊言
[00:00:46.200 --> 00:00:49.480]  為什麼有時候耶穌要這麼肉緊說呢
[00:00:49.480 --> 00:00:51.240]  其實祂說下去你就知道
[00:00:51.240 --> 00:00:54.800]  因為根本很難領受
[00:00:54.800 --> 00:00:55.920]  祂為什麼要這麼肉緊說
[00:00:55.920 --> 00:00:57.400]  就是說是真的
[00:00:57.400 --> 00:01:00.040]  不過領受的人是少的
[00:01:00.040 --> 00:01:01.800]  這個才是重點
[00:01:01.800 --> 00:01:04.880]  第一點是耶穌說的話沒有假話
[00:01:04.880 --> 00:01:07.600]  耶穌說的話是真實誠信作見證
[00:01:07.600 --> 00:01:08.400]  因為祂這麼說
[00:01:08.400 --> 00:01:11.680]  祂說「我實實在在告訴你」
[00:01:11.680 --> 00:01:15.000]  「我們所說的是我們知道的」
[00:01:15.000 --> 00:01:19.960]  「我們所見證的是我們見過的」
[00:01:19.960 --> 00:01:23.880]  「但是你們卻不領受我們的見證」
