
[00:00:00.000 --> 00:00:05.640]  各位聽眾好,今天主要讓我們回到崇拜的當中
[00:00:05.640 --> 00:00:09.380]  去敬拜,去聽神的話語
[00:00:09.380 --> 00:00:13.640]  今天講到的題目叫做「神聽見呼聲」
[00:00:13.640 --> 00:00:19.500]  不知道大家這兩個星期,幾個星期有什麼感受
[00:00:19.500 --> 00:00:24.100]  有什麼對香港社會所發生的狀況
[00:00:24.100 --> 00:00:30.500]  有什麼最深刻的印象,或者體會
[00:00:30.500 --> 00:00:36.220]  我都很關心的,過往有些時間不在香港
[00:00:36.220 --> 00:00:39.360]  覺得香港發生很多事跟我們其實很切身
[00:00:39.360 --> 00:00:43.560]  有不同的角度,有不同的看法
[00:00:43.560 --> 00:00:46.820]  特首有一天在記者招待會講到
[00:00:46.820 --> 00:00:49.820]  「I have heard you loud and clear」
[00:00:49.820 --> 00:00:53.340]  她說「我聽到你很清楚,很清晰地聽到你說話」
[00:00:53.340 --> 00:00:57.060]  這個特首曾經在記者招待會講過一句話
[00:00:57.060 --> 00:00:59.260]  跟我說的經文都有些關係
[00:00:59.260 --> 00:01:02.260]  因為在聖經裏面
[00:01:02.260 --> 00:01:06.860]  「聽見」是一個很簡單,但也很重要的字眼
[00:01:06.860 --> 00:01:10.600]  出現過一千一百五十次左右在舊約聖經裏面
[00:01:10.600 --> 00:01:13.820]  大部份都是講到人聽到神的話
[00:01:13.820 --> 00:01:17.360]  而有些回應,去信服,去跟從
[00:01:17.360 --> 00:01:20.660]  不過剛才所讀的經文講到
[00:01:20.660 --> 00:01:24.060]  從另一個角度,神都是聽到人的聲音
[00:01:24.060 --> 00:01:28.740]  特別在以色列文的遺牢幾百年裏面
[00:01:28.740 --> 00:01:32.740]  神是聽到他的聲音
[00:01:32.740 --> 00:01:37.060]  不知道大家對聽東西有甚麼的體會
[00:01:37.060 --> 00:01:39.060]  我們每天聽到很多的聲音
[00:01:39.060 --> 00:01:41.260]  現在有了手提電話,智能電話之外
[00:01:41.260 --> 00:01:45.580]  我們每天都很繁忙,有些人聽,有些人看
[00:01:45.580 --> 00:01:49.060]  但很多的聲音是傳入我們的耳朵當中
[00:01:49.060 --> 00:01:52.260]  甚至在教會裏有很多不同的聲音
[00:01:52.260 --> 00:01:55.260]  有些人說「去玩,去飲茶,去吃東西」
[00:01:55.260 --> 00:01:57.260]  這些聲音都很大的
[00:01:57.260 --> 00:02:00.260]  有時說飲茶,很多人都很熱心
[00:02:00.260 --> 00:02:02.260]  侍奉的人就比較少
[00:02:02.260 --> 00:02:07.660]  你聽甚麼聲音,可能跟你個人的興趣有很大的分別
[00:02:07.660 --> 00:02:10.660]  有時敬拜,呼籲甚麼
[00:02:10.660 --> 00:02:13.660]  我們聽到甚麼聲音呢?
[00:02:13.660 --> 00:02:17.860]  我相信今天講到經文,牽涉到春加及記有很多的經文
[00:02:17.860 --> 00:02:22.060]  所以不單止講了幾節,是講到神如何拯救他的百姓
[00:02:22.060 --> 00:02:27.860]  大家看聖經對春加及的故事都有很多印象
[00:02:27.860 --> 00:02:32.860]  故此今天講到會用這個記載
[00:02:32.860 --> 00:02:37.860]  第一方面我想講的是人因為有罪的緣故
