
[00:00:00.000 --> 00:00:04.680]  好,今天我跟各位来讲一个约翰福音的信使
[00:00:04.680 --> 00:00:09.240]  这个是我觉得在我们今天所面对的这个时代
[00:00:09.240 --> 00:00:12.920]  是一个需要我们继续在我们的信仰上
[00:00:12.920 --> 00:00:14.820]  多认识我们的神
[00:00:14.820 --> 00:00:17.280]  祂是一位无所不知的神
[00:00:17.280 --> 00:00:20.560]  这也是我们今天在社会里面我们有
[00:00:20.560 --> 00:00:24.680]  我觉得是无论是今天或者说未来
[00:00:24.680 --> 00:00:26.920]  都是一个很重要的
[00:00:26.920 --> 00:00:31.300]  或者说对我们的生命或者我们的人生生活里面都有很多的冲击
[00:00:31.300 --> 00:00:34.920]  所以我想跟各位来讲这个约翰福音这一段
[00:00:34.920 --> 00:00:39.320]  有可能有些弟兄姐妹在教会比较已经很久的话
[00:00:39.320 --> 00:00:40.760]  你都听过这段经文
[00:00:40.760 --> 00:00:46.040]  但我想更是让我们去从这段经文里面来
[00:00:46.040 --> 00:00:47.480]  多认识我们的神
[00:00:47.480 --> 00:00:51.160]  就是那位全知的神
[00:00:51.160 --> 00:00:58.040]  好,我们是从约翰福音21章
[00:00:58.040 --> 00:01:00.360]  这个经文的背景大概是这样
[00:01:00.360 --> 00:01:02.520]  是耶稣复活以后
[00:01:02.520 --> 00:01:07.480]  祂跟门徒一起的相聚也好
[00:01:07.480 --> 00:01:10.360]  或者说祂去跟门徒见面也好
[00:01:10.360 --> 00:01:14.360]  这就是在这个耶稣复活以后的一个背景里面
[00:01:14.360 --> 00:01:18.720]  这个就是发生了一些事情
[00:01:18.720 --> 00:01:20.320]  好,我还是邀请弟兄姐妹
[00:01:20.320 --> 00:01:23.480]  我们可以的话一起来读这段的经文
[00:01:23.480 --> 00:01:26.600]  约翰福音21章25到19节
[00:01:26.600 --> 00:01:29.480]  看到的我们一起来读完这段经文
[00:01:29.480 --> 00:01:32.520]  你大概会听到或者说你读到一些是比较熟悉的
[00:01:32.520 --> 00:01:34.000]  或者说重复的话
[00:01:34.000 --> 00:01:36.480]  这个就是一个蛮重要的
[00:01:36.480 --> 00:01:39.600]  就是这段经文里面很重复的
[00:01:39.600 --> 00:01:43.400]  所以你觉得这个经文其实重重复复讲了三次以后
[00:01:43.400 --> 00:01:46.080]  你大概都记得这段经文是讲什么的
[00:01:46.080 --> 00:01:49.680]  好,我们试试看我们吃完早饭以后的事情
[00:01:49.680 --> 00:01:51.680]  刚好我们今天也吃完早饭了
[00:01:51.680 --> 00:01:53.560]  好,预备我们来看到一起来读
[00:01:53.560 --> 00:01:54.800]  预备来
[00:01:54.800 --> 00:01:56.880]  他们吃完了早饭
[00:01:56.880 --> 00:01:59.560]  耶稣对西门彼得说
[00:01:59.560 --> 00:02:01.600]  约翰的儿子西门
[00:02:01.600 --> 00:02:04.600]  你爱我比这些更深吗
[00:02:04.600 --> 00:02:05.560]  彼得说
[00:02:05.560 --> 00:02:08.840]  主啊,是的,你知道我爱你
[00:02:08.840 --> 00:02:10.280]  耶稣对他说
[00:02:10.280 --> 00:02:12.600]  你喂养我的小羊
[00:02:12.600 --> 00:02:16.000]  耶稣第二次又对他说
[00:02:16.000 --> 00:02:16.880]  哦,sorry
