
[00:00:00.000 --> 00:00:02.000]  主要是我們等了很久
[00:00:02.000 --> 00:00:05.000]  可以回到十屆的系列
[00:00:05.000 --> 00:00:09.000]  我今天鼓勵大家用心去聽
[00:00:09.000 --> 00:00:11.000]  因為我這個演繹
[00:00:11.000 --> 00:00:17.000]  不單止是跟平時外面教會的演繹
[00:00:17.000 --> 00:00:18.000]  可能有點出入
[00:00:18.000 --> 00:00:24.000]  甚至是跟五百年以來
[00:00:24.000 --> 00:00:32.000]  改革之後很多歷代的神樂家的演繹
[00:00:32.000 --> 00:00:34.000]  都有一定的出入
[00:00:34.000 --> 00:00:38.000]  今個星期我病了幾天
[00:00:38.000 --> 00:00:42.000]  在病的過程中寫了這篇稿
[00:00:42.000 --> 00:00:46.000]  當時我跟太太分享我的取向
[00:00:46.000 --> 00:00:48.000]  當時我太太聽了之後
[00:00:48.000 --> 00:00:50.000]  就問我是否病得瘋了
[00:00:50.000 --> 00:00:54.000]  我說你聽了之後其實是合理的
[00:00:54.000 --> 00:00:58.000]  昨天她有機會聽了整篇稿
[00:00:58.000 --> 00:01:00.000]  我問是否合理
[00:01:00.000 --> 00:01:02.000]  她說是合理的
[00:01:02.000 --> 00:01:05.000]  所以希望大家用心去聽
[00:01:05.000 --> 00:01:11.000]  可能跟你平時對不可殺人的印象有點不同
[00:01:11.000 --> 00:01:13.000]  但希望你可以看到
[00:01:13.000 --> 00:01:21.000]  為什麼我用這個角度去明白這個解釋
[00:01:21.000 --> 00:01:24.000]  歡迎大家來到我們的主日崇拜
[00:01:24.000 --> 00:01:29.000]  去年五月我們開始了一個新的講道系列
[00:01:29.000 --> 00:01:31.000]  耶和華的十誡
[00:01:31.000 --> 00:01:33.000]  耶穌基督的十誡
[00:01:33.000 --> 00:01:37.000]  聖經中的十誡是哪十誡呢
[00:01:37.000 --> 00:01:39.000]  十誡一開始的時候
[00:01:39.000 --> 00:01:43.000]  是一組關於上帝的三胞胎
[00:01:43.000 --> 00:01:48.000]  別無他神 別無他長 別無他名
[00:01:48.000 --> 00:01:51.000]  接著有兩個正面的誡命
[00:01:51.000 --> 00:01:53.000]  只有這兩個才是正面的
[00:01:53.000 --> 00:01:55.000]  當紀念安息日
[00:01:55.000 --> 00:01:58.000]  接著當孝敬父母
[00:01:58.000 --> 00:02:05.000]  接著有另外一組有關愛倫社的三胞胎
[00:02:05.000 --> 00:02:09.000]  不可殺人 不可姦淫 不可偷渡
[00:02:09.000 --> 00:02:14.000]  最後再加上兩個比較特殊的負面誡命
[00:02:14.000 --> 00:02:16.000]  不可作假見證
[00:02:16.000 --> 00:02:19.000]  最後是不可貪戀
[00:02:19.000 --> 00:02:24.000]  我們可以在聖經的哪裏找到十誡呢
[00:02:24.000 --> 00:02:26.000]  十誡出現的第一次
[00:02:26.000 --> 00:02:30.000]  是在舊約裏面的出埃及記
[00:02:30.000 --> 00:02:32.000]  不過一講起出埃及記
[00:02:32.000 --> 00:02:35.000]  我們必須要再追問
[00:02:35.000 --> 00:02:39.000]  究竟我們講的是哪一個出埃及記
[00:02:39.000 --> 00:02:44.000]  原來我們本聖經裏面有兩個出埃及記
[00:02:44.000 --> 00:02:46.000]  一個發生在舊約裏面
[00:02:46.000 --> 00:02:48.000]  一個發生在新約裏面
[00:02:48.000 --> 00:02:50.000]  一個是摩西做主角
[00:02:50.000 --> 00:02:52.000]  另外一個是耶穌做主角
[00:02:52.000 --> 00:02:55.000]  一個是愉悅高揚的故事
[00:02:55.000 --> 00:02:58.000]  另外一個是上帝高揚的故事
[00:02:58.000 --> 00:03:02.000]  一個是影子 另一個是實體
[00:03:02.000 --> 00:03:07.000]  一個是喻表 另一個是承傳
[00:03:07.000 --> 00:03:11.000]  因此我設計了一個《誡命三部曲》
[00:03:11.000 --> 00:03:14.000]  來幫助大家清楚明白
[00:03:14.000 --> 00:03:19.000]  正確應用耶和華及耶穌基督的十誡
[00:03:19.000 --> 00:03:22.000]  我們所講的第一部曲是舊約篇
[00:03:22.000 --> 00:03:24.000]  第二部曲是新約篇
[00:03:24.000 --> 00:03:28.000]  第三部曲是綜合形容篇
[00:03:28.000 --> 00:03:35.000]  我們之所以繁複地演繹 研讀每一條誡命
[00:03:35.000 --> 00:03:40.000]  是因為上帝給了我們一個宏偉響亮的鋼琴
[00:03:40.000 --> 00:03:42.000]  A Grand Piano
[00:03:42.000 --> 00:03:45.000]  這個鋼琴裏面有低音的部份
[00:03:45.000 --> 00:03:47.000]  又有高音的部份
[00:03:47.000 --> 00:03:51.000]  中間有一個極其重要的Middle C
[00:03:51.000 --> 00:03:54.000]  其實是Double C Christ Crucified
[00:03:54.000 --> 00:03:58.000]  而就是這個Christ Crucified Double C
[00:03:58.000 --> 00:04:03.000]  將低音的部份和高音的部份連成一體
[00:04:03.000 --> 00:04:08.000]  於是我們必須要先講舊約部份 低音的部份
[00:04:08.000 --> 00:04:11.000]  再講新約的部份 高音的部份
[00:04:11.000 --> 00:04:14.000]  然後再整合第一和第二部曲
[00:04:14.000 --> 00:04:18.000]  伸延到今日世界的應用
[00:04:18.000 --> 00:04:22.000]  於是我們最後彈奏一首貼近聖經
[00:04:22.000 --> 00:04:26.000]  又切合現代的福音樂章
[00:04:26.000 --> 00:04:29.000]  上一年我們用了七個月的時間
[00:04:29.000 --> 00:04:31.000]  完成了頭五屆
[00:04:31.000 --> 00:04:33.000]  今年我們要繼續
[00:04:33.000 --> 00:04:37.000]  今天我開始繼續講第六屆
[00:04:37.000 --> 00:04:40.000]  但我們進入今日的主要經文
[00:04:40.000 --> 00:04:45.000]  蔡卓記第20章第13節
[00:04:45.000 --> 00:04:48.000]  不可殺人
[00:04:48.000 --> 00:04:50.000]  這個就是十屆裏面的第六屆
[00:04:50.000 --> 00:04:53.000]  如此的簡單 如此的直接
[00:04:53.000 --> 00:04:57.000]  但我們要問究竟這句說話有甚麼含意
[00:04:57.000 --> 00:05:00.000]  其實是很複雜的一件事
[00:05:00.000 --> 00:05:05.000]  於是有人引用創世紀第九章五節六節
[00:05:05.000 --> 00:05:07.000]  作為一個解說
[00:05:07.000 --> 00:05:11.000]  創世紀第九章第五節第六節這樣說
[00:05:11.000 --> 00:05:16.000]  留你們血害你們命的 我必要向他追討
[00:05:16.000 --> 00:05:18.000]  我是耶和華上帝
[00:05:18.000 --> 00:05:22.000]  凡留人血的 他的血也被別人所留
[00:05:22.000 --> 00:05:28.000]  因為上帝造人 是照自己的形象所造的
[00:05:28.000 --> 00:05:32.000]  簡單來說 人是按照上帝的形象所造
[00:05:32.000 --> 00:05:39.000]  所以人的命 人的血是非常之 非常之寶貝
