
[00:00:00.000 --> 00:00:04.000]  今日會同弟兄姊妹睇一個舊約人物
[00:00:04.000 --> 00:00:06.000]  繼續盼望能夠從
[00:00:06.000 --> 00:00:08.000]  呢啲唔同嘅人物當中
[00:00:08.000 --> 00:00:10.000]  我哋有所學習
[00:00:10.000 --> 00:00:14.000]  呢個可能對弟兄姊妹嚟講都係一個
[00:00:14.000 --> 00:00:16.000]  返嚟教會
[00:00:16.000 --> 00:00:18.000]  聽一啲同
[00:00:18.000 --> 00:00:20.000]  即係創造或者係
[00:00:20.000 --> 00:00:22.000]  聖經開始嘅時候有關嘅
[00:00:22.000 --> 00:00:25.000]  故事或者係一個嘅經文嘅時候
[00:00:25.000 --> 00:00:28.000]  都話多或少有聽過認識到
[00:00:28.000 --> 00:00:30.000]  就係阿當同夏娃
[00:00:30.000 --> 00:00:33.000]  即係佢哋生兒育女開始嘅時候
[00:00:33.000 --> 00:00:35.000]  佢哋生咗兩個兒子
[00:00:35.000 --> 00:00:37.000]  第一個就叫做該隱
[00:00:37.000 --> 00:00:40.000]  第二個就叫做阿伯
[00:00:40.000 --> 00:00:42.000]  我今日就好想同大家嚟到去
[00:00:42.000 --> 00:00:45.000]  從該隱嚟到去學習
[00:00:45.000 --> 00:00:48.000]  反省下反思下我哋嘅生命
[00:00:48.000 --> 00:00:50.000]  可能對大家嚟講
[00:00:50.000 --> 00:00:54.000]  阿伯即係比較一個正面啲嘅影響
[00:00:54.000 --> 00:00:58.000]  阿伯亦係響一啲嘅
[00:00:58.000 --> 00:01:01.000]  新約裏面提到點樣嚟到成為一個嘅
[00:01:01.000 --> 00:01:04.000]  信心嘅榜樣有關
[00:01:04.000 --> 00:01:07.000]  該隱其實可以算係一個
[00:01:07.000 --> 00:01:09.000]  即係響聖經裏面嘅小人物
[00:01:09.000 --> 00:01:11.000]  但係我又覺得
[00:01:11.000 --> 00:01:13.000]  即係小人物當中
[00:01:13.000 --> 00:01:17.000]  從佢生命可能亦都係俾我哋一個好嘅提醒
[00:01:17.000 --> 00:01:20.000]  甚至可能正正就係一啲響當中
[00:01:20.000 --> 00:01:22.000]  有啲人嘅軟弱
[00:01:22.000 --> 00:01:25.000]  即係佢哋嘅跌倒
[00:01:25.000 --> 00:01:28.000]  都更加成為我哋作為一個基督徒
[00:01:28.000 --> 00:01:33.000]  響我哋熟齡生命裏面一個好重要嘅警號
[00:01:33.000 --> 00:01:35.000]  所以該隱呢個小人物
[00:01:35.000 --> 00:01:40.000]  係可以成為我哋多做一啲生命嘅醒覺覺醒
[00:01:40.000 --> 00:01:43.000]  同埋承擔嘅提醒
[00:01:43.000 --> 00:01:46.000]  該隱嘅記載主要響創世紀四章裏面
[00:01:46.000 --> 00:01:48.000]  新約都稍為有啲記載嘅
[00:01:48.000 --> 00:01:53.000]  我哋主要睇創世紀呢一段經文線
[00:01:53.000 --> 00:01:54.000]  呢度講到
[00:01:54.000 --> 00:01:57.000]  該隱同阿伯佢哋有唔同嘅職業
[00:01:57.000 --> 00:02:01.000]  如果大家可以慢慢去睇返呢段經文
[00:02:01.000 --> 00:02:02.000]  創世紀四章嘅時候
[00:02:02.000 --> 00:02:05.000]  你就會大致上都捉得到
[00:02:05.000 --> 00:02:09.000]  所以該隱有一日佢哋獻祭
