
[00:00:00.000 --> 00:00:03.000]  願夢人口中的言語
[00:00:03.000 --> 00:00:06.000]  弟兄姊妹的心思意念
[00:00:06.000 --> 00:00:08.000]  夢聖靈的啟迪
[00:00:08.000 --> 00:00:10.000]  夢主的月立
[00:00:10.000 --> 00:00:12.000]  禱告藉主耶穌基督的聖名而求
[00:00:12.000 --> 00:00:14.000]  阿門
[00:00:14.000 --> 00:00:21.000]  在過去的超過一百天當中
[00:00:21.000 --> 00:00:25.000]  我相信不少弟兄姊妹
[00:00:25.000 --> 00:00:30.000]  和我也有同樣的感受和反應
[00:00:30.000 --> 00:00:34.000]  我們有恐懼
[00:00:34.000 --> 00:00:37.000]  我們有悲傷
[00:00:37.000 --> 00:00:40.000]  我們有擔心
[00:00:40.000 --> 00:00:43.000]  我們不知道該怎麼辦
[00:00:43.000 --> 00:00:48.000]  究竟這樣的情況還要維持多久
[00:00:48.000 --> 00:00:52.000]  何時才會有停止的一天
[00:00:52.000 --> 00:00:54.000]  如果真的停止了
[00:00:54.000 --> 00:00:56.000]  是暫時的停止
[00:00:56.000 --> 00:00:59.000]  還是斷斷續續
[00:00:59.000 --> 00:01:02.000]  困難仍然會出現呢?
[00:01:02.000 --> 00:01:06.000]  我不知道這是否大家的情況
[00:01:06.000 --> 00:01:10.000]  作為基督徒我們還會再問一個問題
[00:01:10.000 --> 00:01:12.000]  在這樣的情形下
[00:01:12.000 --> 00:01:15.000]  基督徒可以做些什麼呢?
[00:01:15.000 --> 00:01:19.000]  教會可以做些什麼呢?
[00:01:19.000 --> 00:01:23.000]  當然,祈禱是不能夠缺少的
[00:01:23.000 --> 00:01:26.000]  但也有些弟兄姊妹覺得
[00:01:26.000 --> 00:01:29.000]  我們不能只祈禱
[00:01:29.000 --> 00:01:31.000]  除了祈禱之外
[00:01:31.000 --> 00:01:34.000]  還可以做些什麼呢?
[00:01:34.000 --> 00:01:36.000]  不同的人有不同的想法
[00:01:36.000 --> 00:01:39.000]  而老實說,我也沒有答案
[00:01:39.000 --> 00:01:44.000]  在過去的這麼多個星期當中
[00:01:44.000 --> 00:01:46.000]  其實差不多每一個星期
[00:01:46.000 --> 00:01:48.000]  我都在不同的教會講道
[00:01:48.000 --> 00:01:51.000]  原因是因為有些是我的學生
[00:01:51.000 --> 00:01:53.000]  或者一些校友
[00:01:53.000 --> 00:01:55.000]  他們的教會
[00:01:55.000 --> 00:01:58.000]  都是面對很多很多的困難
[00:01:58.000 --> 00:02:00.000]  而作為傳道人
[00:02:00.000 --> 00:02:02.000]  是非常的不容易
[00:02:02.000 --> 00:02:04.000]  大家可以想像有多不容易
[00:02:04.000 --> 00:02:07.000]  每個星期站上去講壇的時候
[00:02:07.000 --> 00:02:09.000]  我有些什麼可以講呢?
[00:02:09.000 --> 00:02:11.000]  我講這一邊中聽的說話
[00:02:11.000 --> 00:02:13.000]  這一邊不滿意
[00:02:13.000 --> 00:02:15.000]  講這一邊滿意的
[00:02:15.000 --> 00:02:17.000]  這一邊又不滿意
[00:02:17.000 --> 00:02:20.000]  講中間的兩邊都不滿意
[00:02:20.000 --> 00:02:23.000]  所以你想想還可以怎麼講呢?
[00:02:23.000 --> 00:02:25.000]  還有每一天
[00:02:25.000 --> 00:02:27.000]  其實面對很大的壓力
[00:02:27.000 --> 00:02:29.000]  一起床第一個時間
[00:02:29.000 --> 00:02:31.000]  打開手機
[00:02:31.000 --> 00:02:33.000]  數以百計未讀的訊息
[00:02:33.000 --> 00:02:35.000]  在你的面前
[00:02:35.000 --> 00:02:37.000]  為什麼會這樣呢?
[00:02:37.000 --> 00:02:39.000]  因為很多弟兄姊妹很擔心
[00:02:39.000 --> 00:02:41.000]  牧師會收到假消息
[00:02:41.000 --> 00:02:44.000]  所以他們又將收到的真消息
[00:02:44.000 --> 00:02:46.000]  傳給我
[00:02:46.000 --> 00:02:48.000]  群組又傳,個別又傳
[00:02:48.000 --> 00:02:50.000]  所以一晚醒來的時候
[00:02:50.000 --> 00:02:52.000]  就發現數以百計
[00:02:52.000 --> 00:02:54.000]  未讀的訊息
[00:02:54.000 --> 00:02:56.000]  那麼
[00:02:56.000 --> 00:02:58.000]  怎麼去分辨真
[00:02:58.000 --> 00:03:00.000]  怎麼去分辨假
[00:03:00.000 --> 00:03:02.000]  有些人告訴我們
[00:03:02.000 --> 00:03:04.000]  他的分析很準確
[00:03:04.000 --> 00:03:06.000]  但也有可能
[00:03:06.000 --> 00:03:08.000]  只不過他拿到一些
[00:03:08.000 --> 00:03:10.000]  所謂的內幕的消息
[00:03:10.000 --> 00:03:13.000]  就當是消息來分析
[00:03:13.000 --> 00:03:16.000]  辯論爭吵
[00:03:16.000 --> 00:03:18.000]  謊言
[00:03:18.000 --> 00:03:20.000]  荒謬的說話
[00:03:20.000 --> 00:03:22.000]  正直的說話
[00:03:22.000 --> 00:03:24.000]  都在我們的身邊出現
[00:03:24.000 --> 00:03:26.000]  我們感覺到
[00:03:26.000 --> 00:03:28.000]  混亂
[00:03:28.000 --> 00:03:30.000]  心痛
[00:03:30.000 --> 00:03:32.000]  不知道這樣的情況
[00:03:32.000 --> 00:03:34.000]  繼續下去
[00:03:34.000 --> 00:03:36.000]  我們還受得住嗎?
[00:03:36.000 --> 00:03:38.000]  每一天都好像擔驚
[00:03:38.000 --> 00:03:40.000]  受怕,究竟怎麼辦呢?
[00:03:40.000 --> 00:03:42.000]  去到禮拜日的時候
[00:03:42.000 --> 00:03:44.000]  大家有沒有想過
[00:03:44.000 --> 00:03:46.000]  穿什麼顏色的衣服
[00:03:46.000 --> 00:03:48.000]  穿黑色的衣服
[00:03:48.000 --> 00:03:50.000]  看起來比較年輕,可能怕被捕
[00:03:50.000 --> 00:03:52.000]  穿白色的衣服
[00:03:52.000 --> 00:03:54.000]  走到元朗,可能有圍村的人
[00:03:54.000 --> 00:03:56.000]  以為你是自己人,招呼你進去
[00:03:56.000 --> 00:03:58.000]  怎麼辦呢?
[00:03:58.000 --> 00:04:00.000]  在聖經裡面
[00:04:00.000 --> 00:04:02.000]  有什麼讓我們提醒呢?
[00:04:02.000 --> 00:04:06.000]  耶律米先知在
[00:04:06.000 --> 00:04:08.000]  耶律米書第29章第7節
[00:04:08.000 --> 00:04:10.000]  提醒我們
[00:04:10.000 --> 00:04:12.000]  要為這個城
[00:04:12.000 --> 00:04:14.000]  求平安
[00:04:14.000 --> 00:04:16.000]  這個
[00:04:16.000 --> 00:04:18.000]  城得平安的話
[00:04:18.000 --> 00:04:20.000]  我們同樣會得到平安
[00:04:20.000 --> 00:04:22.000]  耶律米先知不單止
[00:04:22.000 --> 00:04:24.000]  提出我們要為這個城
[00:04:24.000 --> 00:04:26.000]  求平安
[00:04:26.000 --> 00:04:28.000]  其實他告訴我們
[00:04:28.000 --> 00:04:30.000]  當我們見到一個困難的局面
[00:04:30.000 --> 00:04:32.000]  在我們面前,我們自己的地方
[00:04:32.000 --> 00:04:34.000]  我們自己的同胞,百姓
[00:04:34.000 --> 00:04:36.000]  面對困難的時候
[00:04:36.000 --> 00:04:38.000]  我們會和他們
[00:04:38.000 --> 00:04:40.000]  一起哀哭
[00:04:40.000 --> 00:04:42.000]  所以除了耶律米書
[00:04:42.000 --> 00:04:44.000]  在舊約聖經裡面
[00:04:44.000 --> 00:04:46.000]  也有耶律米的哀歌
[00:04:46.000 --> 00:04:48.000]  因為先知就是面對
[00:04:48.000 --> 00:04:50.000]  一個艱難的情況
[00:04:50.000 --> 00:04:52.000]  以往我們讀這些聖經的時候
[00:04:52.000 --> 00:04:54.000]  可能我們只能夠去想像
[00:04:54.000 --> 00:04:56.000]  究竟當時的
[00:04:56.000 --> 00:04:58.000]  作者他們面對的是一個什麼
[00:04:58.000 --> 00:05:00.000]  的境況,他有些什麼的感受
[00:05:00.000 --> 00:05:02.000]  但今時今日我們再去讀
[00:05:02.000 --> 00:05:04.000]  這些經文的時候,我們不需要再想像
[00:05:04.000 --> 00:05:06.000]  因為我們就
[00:05:06.000 --> 00:05:08.000]  置身在其中
[00:05:08.000 --> 00:05:10.000]  我們很清楚那個感受是怎麼樣的
[00:05:10.000 --> 00:05:12.000]  我們很明白那個困擾
[00:05:12.000 --> 00:05:14.000]  是怎麼樣的
[00:05:14.000 --> 00:05:16.000]  當我們要
[00:05:16.000 --> 00:05:18.000]  來到去了解我們今天
[00:05:18.000 --> 00:05:20.000]  所讀的這段經文,耶律米書
[00:05:20.000 --> 00:05:22.000]  第八章的十八節
[00:05:22.000 --> 00:05:24.000]  去到第九章第一節
[00:05:24.000 --> 00:05:26.000]  我們就嘗試去
[00:05:26.000 --> 00:05:28.000]  找出
[00:05:28.000 --> 00:05:30.000]  有什麼地方我們可以和
