
[00:00:00.000 --> 00:00:04.020]  轉眼間 《使徒行傳》的講章就來到第九章了
[00:00:04.020 --> 00:00:09.340]  今天我講的第九章 我只選擇一節的經文
[00:00:09.340 --> 00:00:14.160]  題目是「神聖使命 從蝙蝠開始」
[00:00:14.160 --> 00:00:18.080]  如果我們說《使徒行傳》是一章八節
[00:00:18.080 --> 00:00:20.920]  基本上是整個福音藍圖
[00:00:20.920 --> 00:00:23.040]  即是宣傳的福音藍圖
[00:00:23.040 --> 00:00:27.980]  從耶路撒冷 猶太傳遞 撒瑪利亞 直到地極
[00:00:27.980 --> 00:00:32.840]  一至七章就是從耶路撒冷開始到猶太傳遞
[00:00:32.840 --> 00:00:36.420]  第八章就是進入撒瑪利亞
[00:00:36.420 --> 00:00:39.540]  然後向周邊的地區抗殺
[00:00:39.540 --> 00:00:45.480]  第九章是福音破牆如出的歷史轉捩點
[00:00:45.480 --> 00:00:49.160]  可以說起點是基於
[00:00:49.160 --> 00:00:53.080]  因為一個迫害教會的人 掃羅
[00:00:53.080 --> 00:00:57.000]  被復活的主 神聖的擒獲
[00:00:57.000 --> 00:01:01.280]  使徒行傳的焦點由此開始
[00:01:01.280 --> 00:01:06.300]  從彼得的身上慢慢轉移到掃羅的身上
[00:01:06.300 --> 00:01:10.200]  十三章更加掃羅又名保羅
[00:01:10.200 --> 00:01:14.980]  由那時開始 福音傳到地極的宣教旅程
[00:01:14.980 --> 00:01:17.560]  就轟轟烈烈地展開了
[00:01:17.560 --> 00:01:22.280]  所以可以說第九章就是新主角登場
[00:01:22.280 --> 00:01:26.160]  所以第九章我們看到的是掃羅登場
[00:01:26.160 --> 00:01:31.440]  不過這一章不只是記錄掃羅歸主
[00:01:31.440 --> 00:01:32.740]  更加重要的
[00:01:32.740 --> 00:01:34.880]  我透過今天的經文選讀
[00:01:34.880 --> 00:01:36.560]  希望大家明白
[00:01:36.560 --> 00:01:41.160]  能夠看見神如何揭開這個序幕
[00:01:41.160 --> 00:01:44.840]  同時顛覆人的想像
[00:01:44.840 --> 00:01:50.800]  啟動一個跨越種族文化權威的救贖計劃
[00:01:50.800 --> 00:01:52.840]  讓我們在聆聽主導之前
[00:01:52.840 --> 00:01:57.260]  我們先預備好自己的心迎接從上而來的恩怨
[00:01:57.260 --> 00:02:01.020]  讓我們同心同意
[00:02:01.020 --> 00:02:02.560]  親愛的巴夫
[00:02:02.560 --> 00:02:04.360]  我們來到你面前
[00:02:04.360 --> 00:02:06.840]  需要承認我們的心思意念
[00:02:06.840 --> 00:02:10.320]  需要被你更新和被你顛覆
[00:02:10.320 --> 00:02:15.040]  求主你此刻用你的靈運行在我們內心
[00:02:15.040 --> 00:02:19.240]  破碎我們固有的思想框架
[00:02:19.240 --> 00:02:21.680]  除去我們內心的懼怕
[00:02:21.680 --> 00:02:24.360]  與我們單單定正於你
[00:02:24.360 --> 00:02:28.840]  向你的聖潔而周全
[00:02:28.840 --> 00:02:33.260]  良善而純全的心理而完全的敞開
[00:02:33.260 --> 00:02:37.040]  預備我們的心來領受你的話語
[00:02:37.040 --> 00:02:38.520]  我們如此祈禱
[00:02:38.520 --> 00:02:41.040]  乃奉我主耶穌基督的聖名而求
[00:02:41.040 --> 00:02:42.640]  阿們
[00:02:42.640 --> 00:02:43.560]  我剛才說過
[00:02:43.560 --> 00:02:46.240]  今天我只會選擇一節經文
[00:02:46.240 --> 00:02:51.320]  這節經文就是主對阿蘭尼亞說
[00:02:51.320 --> 00:02:53.320]  你只管去
[00:02:53.320 --> 00:02:56.200]  它是我所揀選的器皿
[00:02:56.200 --> 00:02:58.880]  要在愛邦人和君王
[00:02:58.880 --> 00:03:02.360]  並以色列人面前宣揚我的名
[00:03:02.360 --> 00:03:03.760]  剛才我們說了
[00:03:03.760 --> 00:03:06.120]  第九章這章非常重要
[00:03:06.120 --> 00:03:08.240]  因為前面和後面
[00:03:08.240 --> 00:03:10.280]  這個新主角的登場
[00:03:10.280 --> 00:03:13.040]  所以我們很多時候集中在什麼呢?
[00:03:13.040 --> 00:03:15.840]  第九章一聽就記得
[00:03:15.840 --> 00:03:18.840]  蘇羅被大光擊倒
[00:03:18.840 --> 00:03:20.640]  然後核彈
[00:03:20.640 --> 00:03:23.400]  然後他戲劇性的歸主
[00:03:23.400 --> 00:03:26.160]  最後他這個迫害者
[00:03:26.160 --> 00:03:27.720]  迫害傳道者
[00:03:27.720 --> 00:03:29.520]  結果他傳道
[00:03:29.520 --> 00:03:31.840]  然後弔詭的
[00:03:31.840 --> 00:03:33.360]  諷刺的
[00:03:33.360 --> 00:03:35.360]  他都被迫害
[00:03:35.360 --> 00:03:35.960]  是不是?
[00:03:35.960 --> 00:03:38.600]  所以你一定是這樣記得的
[00:03:38.600 --> 00:03:41.000]  大部分記得第九章都是這樣的
[00:03:41.000 --> 00:03:42.680]  不過我想告訴你
[00:03:42.680 --> 00:03:44.800]  經文的結構
[00:03:44.800 --> 00:03:46.360]  第十五節
[00:03:46.360 --> 00:03:50.120]  才是這一章的神學約時
[00:03:50.120 --> 00:03:53.440]  甚至可以說是行動的樞紐
[00:03:53.440 --> 00:03:55.160]  充分地說明
[00:03:55.160 --> 00:03:58.800]  神聖使命是從顛覆開始
[00:03:58.800 --> 00:04:00.680]  而最顛覆的
[00:04:00.680 --> 00:04:02.960]  他不是從蘇羅開始
[00:04:02.960 --> 00:04:05.720]  他是從一個默默無援
[00:04:05.720 --> 00:04:08.080]  完全容易被忽略
[00:04:08.080 --> 00:04:10.240]  甚至讀聖經的時候很容易
[00:04:10.240 --> 00:04:12.280]  就讀過、跳過了的
[00:04:12.280 --> 00:04:14.320]  一個關鍵的角色
[00:04:14.320 --> 00:04:16.520]  阿娜尼亞
[00:04:16.520 --> 00:04:18.560]  如果巴拿巴
[00:04:18.560 --> 00:04:20.800]  被稱為或者被我們譽為
[00:04:20.800 --> 00:04:22.960]  他是保羅的拍檔
[00:04:22.960 --> 00:04:25.560]  或者他是保羅的師傅
[00:04:25.560 --> 00:04:28.400]  阿娜尼亞就是蘇羅
[00:04:28.400 --> 00:04:30.720]  就是保羅的啟蒙者
[00:04:30.720 --> 00:04:32.080]  施浸者
[00:04:32.080 --> 00:04:34.840]  領路人
[00:04:34.840 --> 00:04:36.680]  聖經是這樣介紹他的
[00:04:36.680 --> 00:04:41.600]  他說他是大馬士革的門徒
[00:04:41.600 --> 00:04:43.880]  阿娜尼亞這個名字
[00:04:43.880 --> 00:04:44.880]  其實意思就是
[00:04:44.880 --> 00:04:46.360]  耶和華是因為
[00:04:46.360 --> 00:04:48.000]  耶和華以私恩
[00:04:48.000 --> 00:04:51.880]  其實這個名字非常普羅大眾
[00:04:51.880 --> 00:04:55.080]  在那個年代非常多
[00:04:55.080 --> 00:04:57.320]  阿娜尼亞你怎麼知道
[00:04:57.320 --> 00:04:59.600]  讀史行傳的人就知道
[00:04:59.600 --> 00:05:02.760]  讀史行傳前面第五章
[00:05:02.760 --> 00:05:07.240]  有一個阿娜尼亞因貪婪而滅亡
[00:05:07.240 --> 00:05:08.240]  是不是
[00:05:08.240 --> 00:05:09.440]  記得吧
[00:05:09.440 --> 00:05:11.720]  然後你知不知道後面還有一個
[00:05:11.720 --> 00:05:15.200]  還有一個是第23章
[00:05:15.200 --> 00:05:18.440]  迫害保羅的大祭司
[00:05:18.440 --> 00:05:20.120]  他的名字叫什麼
[00:05:20.120 --> 00:05:21.560]  阿娜尼亞
[00:05:21.560 --> 00:05:24.040]  你說這三個人是不是同一個人
[00:05:24.040 --> 00:05:27.720]  第五章那個已經死了
[00:05:27.720 --> 00:05:29.160]  第23章那個
[00:05:29.160 --> 00:05:30.880]  如果是大祭司
[00:05:30.880 --> 00:05:32.440]  當時住在哪裏
[00:05:32.440 --> 00:05:33.760]  耶路撒冷
[00:05:33.760 --> 00:05:35.880]  這個住在哪裏
[00:05:35.880 --> 00:05:37.200]  大馬士革
[00:05:37.200 --> 00:05:38.480]  所以我們很清楚知道
[00:05:38.480 --> 00:05:40.040]  是三個不同的人
[00:05:40.040 --> 00:05:41.280]  同一個名字
[00:05:41.280 --> 00:05:43.760]  有人走向滅亡
[00:05:43.760 --> 00:05:47.840]  有人變成一個逼迫者
[00:05:47.840 --> 00:05:49.320]  同一個名字
[00:05:49.320 --> 00:05:51.880]  一個這麼普通的人
[00:05:51.880 --> 00:05:53.560]  一個普通的名字
[00:05:53.560 --> 00:05:55.480]  今天在這節經文
[00:05:55.480 --> 00:06:00.280]  卻成為傳遞恩典的樞紐
[00:06:00.280 --> 00:06:03.720]  上帝的恩典就是如此奇妙
[00:06:03.720 --> 00:06:07.440]  如果我們說神聖使命從顛覆開始
[00:06:07.440 --> 00:06:11.920]  首先顛覆的是你個人的主權
[00:06:11.920 --> 00:06:13.960]  超越抗拒
[00:06:13.960 --> 00:06:17.480]  看見神沉覓與差遣
[00:06:17.480 --> 00:06:19.200]  我們很清楚
[00:06:19.200 --> 00:06:20.680]  每一個屬主的人
[00:06:20.680 --> 00:06:23.600]  我們都說我將我的主權交給耶穌
[00:06:23.600 --> 00:06:26.600]  祂坐在我生命的寶座上面
[00:06:26.600 --> 00:06:28.760]  以後祂說了算
[00:06:28.760 --> 00:06:30.120]  不過很多時候
[00:06:30.120 --> 00:06:31.160]  這節經文
[00:06:31.160 --> 00:06:33.600]  或者很多時候你和我生命寫照
[00:06:33.600 --> 00:06:35.120]  並不是這樣
[00:06:35.120 --> 00:06:36.600]  主對阿娜尼亞說
[00:06:36.600 --> 00:06:40.240]  你只管去
[00:06:40.240 --> 00:06:43.720]  命令動詞斬釘截鐵
[00:06:43.720 --> 00:06:45.120]  你可能奇怪
[00:06:45.120 --> 00:06:46.920]  耶穌為甚麼呢
[00:06:46.920 --> 00:06:49.520]  很容易讀聖經的人很清楚
[00:06:49.520 --> 00:06:51.080]  既然這裡沒有答案
[00:06:51.080 --> 00:06:53.200]  那你就向前看
[00:06:53.200 --> 00:06:56.720]  所以十一至十四節是有答案的
[00:06:56.720 --> 00:06:59.400]  我們回到阿娜尼亞的處境
[00:06:59.400 --> 00:07:02.320]  耶穌的吩咐和祂的反應
[00:07:02.320 --> 00:07:04.160]  復活的主指示他
[00:07:04.160 --> 00:07:05.520]  你去找訴羅
[00:07:05.520 --> 00:07:06.800]  祂在祈禱
[00:07:06.800 --> 00:07:10.040]  然後祂有意象知道你會來
[00:07:10.040 --> 00:07:12.400]  你知道阿娜尼亞的反應是甚麼
[00:07:12.400 --> 00:07:15.360]  阿娜尼亞立即反駁
[00:07:15.360 --> 00:07:17.880]  不過他駁嘴駁得很高明
