
[00:00:00.000 --> 00:00:03.980]  格林多前書十二章第二十七節
[00:00:03.980 --> 00:00:06.160]  這一節的聖經我們讀一遍來
[00:00:06.160 --> 00:00:08.060]  你們就是基督的身子
[00:00:08.060 --> 00:00:10.900]  並且各自做肢體
[00:00:10.900 --> 00:00:13.160]  好,我們再念菲利比書第二章
[00:00:13.160 --> 00:00:15.160]  從第二節開始這裡說
[00:00:15.160 --> 00:00:18.480]  你們就要意念相同,愛心相同
[00:00:18.480 --> 00:00:21.120]  有一樣的心思,有一樣的意念
[00:00:21.120 --> 00:00:23.960]  使我的喜樂可以滿足
[00:00:23.960 --> 00:00:25.800]  凡事不可結黨
[00:00:25.800 --> 00:00:28.120]  不可貪獨虛浮的榮耀
[00:00:28.120 --> 00:00:32.940]  只要存心謙卑,個人看別人比自己強
[00:00:32.940 --> 00:00:35.060]  個人不要單顧自己的事
[00:00:35.060 --> 00:00:36.840]  也要顧別人的事
[00:00:36.840 --> 00:00:40.280]  你們當以基督耶穌的心為心
[00:00:40.280 --> 00:00:42.360]  我們就讀到這裡
[00:00:42.360 --> 00:00:44.060]  丁文傑,我們建堂的工程
[00:00:44.060 --> 00:00:45.760]  已經開始將近一個月了
[00:00:45.760 --> 00:00:47.600]  興奮嗎?
[00:00:47.600 --> 00:00:50.120]  Hallelujah!
[00:00:50.120 --> 00:00:51.960]  每個禮拜如果你進來
[00:00:51.960 --> 00:00:53.680]  稍微偷看一下的話
[00:00:53.680 --> 00:00:56.120]  透過那個洞的話
[00:00:56.120 --> 00:00:58.760]  每一次都很不一樣
[00:00:58.760 --> 00:01:00.960]  建堂委員會童工特別告訴我說
[00:01:00.960 --> 00:01:05.000]  目前一切都正在按照進度在進行
[00:01:05.000 --> 00:01:05.880]  Hallelujah!
[00:01:05.880 --> 00:01:10.560]  我們將榮耀歸給我們的神
[00:01:10.560 --> 00:01:12.340]  在財務方面我們也感謝神
[00:01:12.340 --> 00:01:14.520]  上海商業銀行在香港的總部
[00:01:14.520 --> 00:01:17.440]  也已經通過我們另外一千萬的貸款
