
[00:00:00.000 --> 00:00:03.320]  我再次恭祝大家新年快樂
[00:00:03.320 --> 00:00:06.660]  上星期才剛恭祝大家聖誕快樂
[00:00:06.660 --> 00:00:09.220]  很快的 每年都是這樣
[00:00:09.220 --> 00:00:11.780]  聖誕新年這兩個禮拜
[00:00:11.780 --> 00:00:15.100]  都是緊接著 可能弟兄姊妹都會很忙
[00:00:15.100 --> 00:00:18.940]  我也認識有些弟兄姊妹 這些時候還要上班要加班
[00:00:18.940 --> 00:00:20.740]  都很不容易
[00:00:20.740 --> 00:00:22.780]  或者很多弟兄姊妹這時候
[00:00:22.780 --> 00:00:26.120]  未必是忙公司裡頭 工作裡頭的事
[00:00:26.120 --> 00:00:29.700]  可能忙家裡頭的事 可能安排很多的
[00:00:29.700 --> 00:00:33.300]  節目都不容易 都要花很多時間
[00:00:33.300 --> 00:00:38.600]  或者是家人 小朋友的節目
[00:00:38.600 --> 00:00:43.000]  這個可能會令大家很疲累 不知道你會不會
[00:00:43.000 --> 00:00:45.500]  可能很多弟兄姊妹明天都要上班了
[00:00:45.500 --> 00:00:47.600]  不知道你收拾心情了沒有
[00:00:47.600 --> 00:00:51.500]  不過盼望弟兄姊妹即使你很疲倦也好
[00:00:51.500 --> 00:00:56.000]  我都在這裡盼望 祈禱
[00:00:56.000 --> 00:01:00.100]  我們也有一個安靜的環境
[00:01:00.100 --> 00:01:05.600]  今天我們首先專心的回到上帝裡面
[00:01:05.600 --> 00:01:11.800]  我們一同去尋求祂在話語裡跟我們所說的話
[00:01:11.800 --> 00:01:15.900]  求主幫助我們好嗎 我們先一起祈禱
[00:01:15.900 --> 00:01:19.300]  主多謝祢讓我們有這段時候
[00:01:19.300 --> 00:01:22.200]  我們在新年裡頭的第一天
[00:01:22.200 --> 00:01:27.800]  我們有機會一早就能來召見祢 敬拜祢
[00:01:27.800 --> 00:01:31.200]  祢在我們當中 祢的話語在我們當中
[00:01:31.200 --> 00:01:36.300]  接下來的時間 願主祢的道在我們的心裡面
[00:01:36.300 --> 00:01:42.800]  叫我們去明白 叫我們懂得去反思
[00:01:42.800 --> 00:01:47.400]  成為我們的幫助 願主祢藉著我們的回應
[00:01:47.400 --> 00:01:52.200]  祢自己的名得到榮耀 奉主命求
[00:01:52.200 --> 00:01:55.200]  前幾個星期我去了台灣幾天
[00:01:55.200 --> 00:01:57.200]  也是12月初的日子
[00:01:57.200 --> 00:02:04.300]  12月的時候 香港周圍都已經佈置了很多聖誕裝飾
[00:02:04.300 --> 00:02:06.600]  台灣也不例外
[00:02:06.600 --> 00:02:08.500]  不過我又有一個發現
[00:02:08.500 --> 00:02:11.400]  如果你去過台灣 你可能也會有發現
[00:02:11.400 --> 00:02:15.600]  你知道台灣原來12月25日不是叫聖誕節嗎
[00:02:15.600 --> 00:02:19.100]  知道叫什麼嗎 叫耶誕節
[00:02:19.100 --> 00:02:20.900]  耶誕 耶穌的耶
[00:02:20.900 --> 00:02:23.700]  為什麼叫耶誕節呢
[00:02:23.700 --> 00:02:28.800]  原來我去過一些廟宇參觀的時候
[00:02:28.800 --> 00:02:32.400]  他們到處寫著聖誕 奇怪
[00:02:32.400 --> 00:02:36.900]  那些當然不是教堂 他們寫著聖誕
[00:02:36.900 --> 00:02:41.900]  原來他們所說的聖誕不是我們所說的聖誕
[00:02:41.900 --> 00:02:46.900]  他們所說的聖人或神又不是我們所說的神
[00:02:46.900 --> 00:02:50.600]  所以同一個字未必是指同樣的東西
[00:02:50.600 --> 00:02:55.400]  我們平時所想的聖人 可能是我們想起的
[00:02:55.400 --> 00:02:59.700]  說出來可能是想起耶穌 或是想起使徒
[00:02:59.700 --> 00:03:01.700]  但同樣他們也不是
[00:03:01.700 --> 00:03:07.900]  他們想起的是另一些他們的宗教思想裡面的神明
[00:03:07.900 --> 00:03:09.900]  那些人也說不定
[00:03:09.900 --> 00:03:11.900]  其實不單止去到這麼遠
[00:03:11.900 --> 00:03:14.900]  就算在長洲 香港近的地方
[00:03:14.900 --> 00:03:17.900]  我也記得去過太平清照
[00:03:17.900 --> 00:03:24.900]  你也會看到那裡說 敬拜上帝
[00:03:24.900 --> 00:03:27.900]  這麼厲害 為什麼好像我們這樣
[00:03:27.900 --> 00:03:28.900]  但原來不是
[00:03:28.900 --> 00:03:30.900]  原來他們所說的上帝不是我們的上帝
[00:03:30.900 --> 00:03:33.900]  原來也有這樣的情況
[00:03:33.900 --> 00:03:39.900]  所以當我們去到一些身邊的人當中
[00:03:39.900 --> 00:03:44.900]  有時我們見到一些同樣的字眼 說同樣的東西
[00:03:44.900 --> 00:03:46.900]  不同的宗教裡面
[00:03:46.900 --> 00:03:51.900]  我們以為我們很明白他們想的東西
[00:03:51.900 --> 00:03:54.900]  因為我們在說同樣的字眼
[00:03:54.900 --> 00:03:56.900]  原來我們以為明白
[00:03:56.900 --> 00:03:58.900]  又未必真的很明白他們
[00:03:58.900 --> 00:04:07.900]  但同樣地 他們也見到我們說上帝 或是我們的神的時候
[00:04:07.900 --> 00:04:11.900]  可能他們以為很理解的時候
[00:04:11.900 --> 00:04:13.900]  原來又未必真的很理解
[00:04:13.900 --> 00:04:17.900]  所以如果我們有機會 要去全方位的時候
[00:04:17.900 --> 00:04:19.900]  可能真的有些學問
[00:04:19.900 --> 00:04:22.900]  我們真的要去學學 去留意一下
[00:04:22.900 --> 00:04:27.900]  同一個字眼 同一個詞彙 甚至做同一件事
[00:04:27.900 --> 00:04:31.900]  原來有時可以完全是指不同的東西
[00:04:31.900 --> 00:04:35.900]  今天我們也有機會看一段經文
[00:04:35.900 --> 00:04:41.900]  我們會思想到原來不是每一個人理解耶穌
[00:04:41.900 --> 00:04:45.900]  或者理解信耶穌 都是同一回事
[00:04:45.900 --> 00:04:47.900]  如果是這樣 我們就要小心
[00:04:47.900 --> 00:04:50.900]  會不會可能我們所理解的東西
[00:04:50.900 --> 00:04:52.900]  也有些欠缺
[00:04:52.900 --> 00:04:56.900]  或者我們也可能有些誤會的地方
[00:04:56.900 --> 00:05:01.900]  兩個星期之前 秦文德弟兄在我們當中
[00:05:01.900 --> 00:05:06.900]  跟我們分享了《少行傳》第十八章後面那段經文
[00:05:06.900 --> 00:05:11.900]  那裏如果你記得 他展示了一張地圖給我們看
[00:05:11.900 --> 00:05:17.900]  保羅去到那裏已經完成了他第二次的宣教旅程
[00:05:17.900 --> 00:05:21.900]  而且也開始了第三次的旅程
[00:05:21.900 --> 00:05:25.900]  這次第三次要去的地方 主要不是一些新的地方
[00:05:25.900 --> 00:05:29.900]  是去一些他曾經 尤其是第二次旅程當中
[00:05:29.900 --> 00:05:31.900]  去過的教會的地方
[00:05:31.900 --> 00:05:33.900]  見的是一些他認識的人
[00:05:33.900 --> 00:05:36.900]  為了要兼顧當中的信徒
[00:05:36.900 --> 00:05:42.900]  其中上次也說過 去到一處地方叫以弗所
[00:05:42.900 --> 00:05:46.900]  不過他在那裏逗留了不是一段很長的時期
[00:05:46.900 --> 00:05:51.900]  但這次第十九章就是他再一次回到以弗所的地方
[00:05:51.900 --> 00:05:53.900]  這次他可以停留久一點
[00:05:53.900 --> 00:05:56.900]  起碼有兩年多的時間
[00:05:56.900 --> 00:06:02.900]  以弗所是羅馬帝國當時一個很大的城市
[00:06:02.900 --> 00:06:07.900]  而這裏也是充滿著很多偶像
[00:06:07.900 --> 00:06:11.900]  很多行邪術的事的地方
[00:06:11.900 --> 00:06:16.900]  今天我們要看的就是第十九章這段經文
[00:06:16.900 --> 00:06:18.900]  我們再回來看第一節
[00:06:18.900 --> 00:06:23.900]  阿波羅在哥林多的時候
[00:06:23.900 --> 00:06:27.900]  經過內陸的地區來到以弗所
[00:06:27.900 --> 00:06:30.900]  在那裏他遇見了幾個門徒
[00:06:30.900 --> 00:06:34.900]  如果你還記得上一次秦弟兄跟我們說的時候
[00:06:34.900 --> 00:06:38.900]  這個阿波羅是一個很有恩賜的弟兄
[00:06:38.900 --> 00:06:41.900]  他是很有講道 很有教導的恩賜
[00:06:41.900 --> 00:06:43.900]  他心裏面非常火熱
[00:06:43.900 --> 00:06:49.900]  他把耶穌的事詳細去講論 去教訓很多人
[00:06:49.900 --> 00:06:52.900]  成為很多弟兄的幫助
[00:06:52.900 --> 00:06:55.900]  地點就是在以弗所的地方
[00:06:55.900 --> 00:07:00.900]  不過有一個小問題 應該說是不小的問題
[00:07:00.900 --> 00:07:03.900]  他只知道約翰的死
[00:07:03.900 --> 00:07:09.900]  因為阿基拉和伯基拉聽到的時候
[00:07:09.900 --> 00:07:14.900]  他好像欠缺了一些東西 就找阿波羅去講解這件事
[00:07:14.900 --> 00:07:17.900]  而到了今天第十九章
[00:07:17.900 --> 00:07:21.900]  就說到阿波羅由以弗所去到哥林多
[00:07:21.900 --> 00:07:30.900]  而同時阿保羅也去了以弗所的地方
[00:07:30.900 --> 00:07:33.900]  於是他們兩個人就好像交奸一樣
[00:07:33.900 --> 00:07:42.900]  大家在不同的時期去牧養以弗所教會的弟兄姊妹
[00:07:42.900 --> 00:07:46.900]  正正因為以弗所這個地方
[00:07:46.900 --> 00:07:50.900]  阿波羅在當中有很多的教導
[00:07:50.900 --> 00:07:53.900]  相信也受到他們不少的影響
[00:07:53.900 --> 00:07:59.900]  所以阿波羅只知道約翰的死
[00:07:59.900 --> 00:08:05.900]  可能有些欠缺 這件事也很可能不是只有他自己
[00:08:05.900 --> 00:08:10.900]  可能當時整個以弗所教會很多的弟兄姊妹
[00:08:10.900 --> 00:08:13.900]  都有類似他的想法也不奇怪
[00:08:13.900 --> 00:08:17.900]  有這個背景就明白現在來到第十九章
[00:08:17.900 --> 00:08:20.900]  第二節所發生的事
