
[00:00:00.000 --> 00:00:03.300]  弟兄姊妹平安 新年猛福
[00:00:03.300 --> 00:00:06.720]  好 那今天我們開始我們今天的
[00:00:06.720 --> 00:00:08.840]  講到
[00:00:08.840 --> 00:00:14.840]  不知道大家認不認識圖片裡面的
[00:00:14.840 --> 00:00:17.240]  這三位的人物 他們都是在
[00:00:17.240 --> 00:00:22.340]  不同的領域當中相當傑出的代表性人物
[00:00:22.340 --> 00:00:26.340]  也是可能是很多人心目當中的偶像人物
[00:00:26.340 --> 00:00:29.640]  中間那一位叫巴菲特
[00:00:30.000 --> 00:00:33.500]  那是金融投資界的一個巨頭
[00:00:33.500 --> 00:00:36.000]  有人說他是最成功的投資者
[00:00:36.000 --> 00:00:40.000]  我們知道有人願意花幾百萬美金
[00:00:40.000 --> 00:00:42.000]  跟他吃一頓午餐
[00:00:42.000 --> 00:00:47.000]  為的是希望從他身上學習到一些投資的功課
[00:00:47.000 --> 00:00:51.000]  那他旁邊那位大家也非常熟悉
[00:00:51.000 --> 00:00:55.000]  就是比爾蓋茨 是維也納公司的董事長
[00:00:55.000 --> 00:00:58.000]  那基本上我們當中每一個朋友
[00:00:58.000 --> 00:01:02.000]  都直接或間接的用過他的產品
[00:01:02.000 --> 00:01:05.000]  那下面那位是愛迪生
[00:01:05.000 --> 00:01:08.000]  有人稱呼他是最偉大的發明家
[00:01:08.000 --> 00:01:12.000]  他在美國一共拿過超過一千個專利
[00:01:12.000 --> 00:01:15.000]  而在外國呢 美國以外呢
[00:01:15.000 --> 00:01:18.000]  甚至拿到兩千多個專利
[00:01:18.000 --> 00:01:21.000]  那我們知道巴菲特跟比爾蓋茨
[00:01:21.000 --> 00:01:24.000]  一直都是世界頂級的富翁
[00:01:24.000 --> 00:01:29.000]  那他們第一次碰面是在1991年的時候
[00:01:29.000 --> 00:01:34.000]  當時他們在比爾蓋茨的父親當中 在家中吃晚飯
[00:01:34.000 --> 00:01:36.000]  他們見面的時候呢
[00:01:36.000 --> 00:01:41.000]  比爾蓋茨的父親就問他們一個問題
[00:01:41.000 --> 00:01:45.000]  人一生當中最重要的是什麼
[00:01:45.000 --> 00:01:49.000]  問他們人一生當中最重要是什麼
[00:01:49.000 --> 00:01:54.000]  你們知道巴菲特的答案是什麼嗎
[00:01:54.000 --> 00:01:57.000]  巴菲特的答案是專注
[00:01:57.000 --> 00:02:01.000]  而比爾蓋茨的答案同樣是專注
[00:02:01.000 --> 00:02:05.000]  巴菲特一直以來下大好處的可以做
[00:02:05.000 --> 00:02:08.000]  掌握時機做很多的投資
[00:02:08.000 --> 00:02:10.000]  那這位傳奇的投資者
[00:02:10.000 --> 00:02:14.000]  他的長期投資取得了非常驚人的回報
[00:02:14.000 --> 00:02:16.000]  甚至有些學者說不敢相信
[00:02:16.000 --> 00:02:20.000]  認為這只是小幸成功
[00:02:20.000 --> 00:02:26.000]  他把自己的成功歸咎為專注
[00:02:26.000 --> 00:02:29.000]  他小的時候10歲的時候
[00:02:29.000 --> 00:02:34.000]  他父親提出一個事情說帶他去旅行
[00:02:34.000 --> 00:02:35.000]  那如果在香港的時候
[00:02:35.000 --> 00:02:37.000]  我想如果像一個10歲的小朋友
[00:02:37.000 --> 00:02:39.000]  問他你去哪裡旅行的時候
[00:02:39.000 --> 00:02:43.000]  很多人會回答去迪士尼或者海洋公園
[00:02:43.000 --> 00:02:45.000]  你猜當時他是怎麼回答的
[00:02:45.000 --> 00:02:50.000]  他說他要去紐約的證券交易所
[00:02:50.000 --> 00:02:53.000]  不久之後他自己買了一本書叫做
[00:02:53.000 --> 00:02:57.000]  賺1000美元的1000個方法這本書
[00:02:57.000 --> 00:02:59.000]  看完這本書之後他跟他朋友說
[00:02:59.000 --> 00:03:03.000]  35歲之前要成為百萬富翁
[00:03:03.000 --> 00:03:05.000]  當時是1941年
[00:03:05.000 --> 00:03:08.000]  正是世界大蕭條的時候
[00:03:08.000 --> 00:03:11.000]  一個10來歲的小朋友說出這樣的話
[00:03:11.000 --> 00:03:14.000]  的確是膽大包天
[00:03:14.000 --> 00:03:18.000]  不過巴菲特的確從小就有他的人生的目標
[00:03:18.000 --> 00:03:21.000]  而且專注在當中
[00:03:21.000 --> 00:03:23.000]  同樣是出於專注
[00:03:23.000 --> 00:03:28.000]  愛迪生成為了歷史上最偉大的發明家
[00:03:28.000 --> 00:03:31.000]  他平均每6個月就有一個大的發明
[00:03:31.000 --> 00:03:35.000]  平均10天就有小的發明
[00:03:35.000 --> 00:03:38.000]  有人說專注就是集中
[00:03:38.000 --> 00:03:41.000]  全部的力量在某件事上面
[00:03:41.000 --> 00:03:45.000]  與你所關注的事情融為一體
[00:03:45.000 --> 00:03:49.000]  不被其他的事情所吸引
[00:03:49.000 --> 00:03:51.000]  專注可以帶來很大的力量
[00:03:51.000 --> 00:03:53.000]  就好像激光一樣
[00:03:53.000 --> 00:03:55.000]  我不知道大家對激光怎麼理解
[00:03:55.000 --> 00:03:59.000]  激光是可以把很多的能量集中在一起
[00:03:59.000 --> 00:04:02.000]  向著一個方向 向著一個點射過去
[00:04:02.000 --> 00:04:07.000]  激光甚至可以把世界上最堅硬的鑽石
[00:04:07.000 --> 00:04:09.000]  可以來切開
[00:04:09.000 --> 00:04:12.000]  同樣如果人有專注的時候
[00:04:12.000 --> 00:04:14.000]  可以帶來這樣的能力
[00:04:14.000 --> 00:04:17.000]  三位傑出的領袖
[00:04:17.000 --> 00:04:21.000]  共同認為專注在自己的目標上面
[00:04:21.000 --> 00:04:24.000]  是他們成功的關鍵
[00:04:24.000 --> 00:04:28.000]  今天是1月1號 2017年的開始
[00:04:28.000 --> 00:04:29.000]  那我們一起來反省
[00:04:29.000 --> 00:04:31.000]  作為基督的門徒
[00:04:31.000 --> 00:04:35.000]  我們的人生是不是有目標
[00:04:35.000 --> 00:04:36.000]  如果有的話
[00:04:36.000 --> 00:04:39.000]  這個目標是不是可以在
[00:04:39.000 --> 00:04:41.000]  我們是不是在這個目標上面
[00:04:41.000 --> 00:04:43.000]  專注在裡面
[00:04:43.000 --> 00:04:44.000]  再問一個問題就是
[00:04:44.000 --> 00:04:49.000]  這個目標是不是跟永恆是有關係的
[00:04:49.000 --> 00:04:52.000]  如果在聖經當中找出專注的典範
[00:04:52.000 --> 00:04:55.000]  除了主耶穌基督之外
[00:04:55.000 --> 00:04:58.000]  就是外邦的使徒保羅
[00:04:58.000 --> 00:05:00.000]  使徒保羅在菲利比書
[00:05:00.000 --> 00:05:02.000]  我們剛才讀的那張書信裡面
[00:05:02.000 --> 00:05:03.000]  有一句話
[00:05:03.000 --> 00:05:04.000]  我想今天大家都
[00:05:04.000 --> 00:05:05.000]  如果沒背過的話
[00:05:05.000 --> 00:05:07.000]  今天都把它背下來
[00:05:07.000 --> 00:05:09.000]  就是忘記背後努力面前
[00:05:09.000 --> 00:05:11.000]  向著標竿直跑
[00:05:11.000 --> 00:05:12.000]  這是河本的翻譯本
[00:05:12.000 --> 00:05:14.000]  我希望大家背這句
[00:05:14.000 --> 00:05:15.000]  先第一次來好不好
[00:05:15.000 --> 00:05:16.000]  一二三起
[00:05:16.000 --> 00:05:19.000]  忘記背後努力面前
[00:05:19.000 --> 00:05:22.000]  向著標竿直跑
[00:05:22.000 --> 00:05:24.000]  當然西一本就翻譯為
[00:05:24.000 --> 00:05:27.000]  向著目標竭力追求
[00:05:27.000 --> 00:05:28.000]  那我們看看今天
[00:05:28.000 --> 00:05:30.000]  就從這個方向看看
[00:05:30.000 --> 00:05:32.000]  什麼是忘記背後努力面前
[00:05:32.000 --> 00:05:34.000]  向著標竿直跑
[00:05:34.000 --> 00:05:37.000]  這個標竿到底又是什麼
[00:05:37.000 --> 00:05:40.000]  首先我們學習到第一的功課
[00:05:40.000 --> 00:05:41.000]  從經文當中就說到
[00:05:41.000 --> 00:05:43.000]  我們要忘記背後
[00:05:43.000 --> 00:05:45.000]  擺脫過去
[00:05:45.000 --> 00:05:48.000]  過尊 過欲的束縛
[00:05:48.000 --> 00:05:50.000]  或者捆綁
[00:05:50.000 --> 00:05:52.000]  每個人都有過去
[00:05:52.000 --> 00:05:53.000]  每個人都有過去
[00:05:53.000 --> 00:05:54.000]  我也有過去
[00:05:54.000 --> 00:05:55.000]  忘記背後就是
[00:05:55.000 --> 00:05:58.000]  把所有東西都忘去嗎
[00:05:58.000 --> 00:06:01.000]  世界上很多東西不能忘記
[00:06:01.000 --> 00:06:03.000]  比如保羅沒有忘記
[00:06:03.000 --> 00:06:07.000]  耶穌基督在他身上的恩典
[00:06:07.000 --> 00:06:10.000]  但是世界上有些事情
[00:06:10.000 --> 00:06:12.000]  是要忘記的
[00:06:12.000 --> 00:06:13.000]  就好像一個
[00:06:13.000 --> 00:06:16.000]  正在賽跑的運動員
[00:06:16.000 --> 00:06:17.000]  如果他回頭看
[00:06:17.000 --> 00:06:18.000]  他跑了多遠
[00:06:18.000 --> 00:06:20.000]  或者再看旁邊的對手
[00:06:20.000 --> 00:06:22.000]  跑得有多快
[00:06:22.000 --> 00:06:24.000]  這樣勢必會影響
[00:06:24.000 --> 00:06:28.000]  他跑步向前的速度
[00:06:28.000 --> 00:06:29.000]  那我們在想
[00:06:29.000 --> 00:06:31.000]  到底忘記背後
[00:06:31.000 --> 00:06:34.000]  後面的意思到底是什麼呢
[00:06:34.000 --> 00:06:36.000]  保羅強調忘記
[00:06:36.000 --> 00:06:37.000]  在當今的社會
[00:06:37.000 --> 00:06:39.000]  我們說起忘記
[00:06:39.000 --> 00:06:40.000]  可能你就會想起
[00:06:40.000 --> 00:06:41.000]  在電腦裡邊
[00:06:41.000 --> 00:06:42.000]  或者手機裡面
[00:06:42.000 --> 00:06:44.000]  按一個Delete
[00:06:44.000 --> 00:06:47.000]  刪除的按鍵
[00:06:47.000 --> 00:06:49.000]  這是忘記嗎
[00:06:49.000 --> 00:06:52.000]  今天有不少人是這樣理解的
[00:06:52.000 --> 00:06:54.000]  但是保羅的忘記
[00:06:54.000 --> 00:06:57.000]  卻不是單單的說
[00:06:57.000 --> 00:07:00.000]  從記憶當中刪除
[00:07:00.000 --> 00:07:01.000]  不要成為
[00:07:01.000 --> 00:07:04.000]  而是以下所說的
[00:07:04.000 --> 00:07:07.000]  不要成為過去往事的俘虜
[00:07:07.000 --> 00:07:09.000]  要擁有脫去
[00:07:09.000 --> 00:07:14.000]  被往事束縛的心智
[00:07:14.000 --> 00:07:17.000]  背後是指每個人的過去
[00:07:17.000 --> 00:07:20.000]  這裡特別指到兩個方面
[00:07:20.000 --> 00:07:21.000]  一方面是指到
[00:07:21.000 --> 00:07:24.000]  讓人難過傷心的一些事情
[00:07:24.000 --> 00:07:25.000]  另外一方面
