
[00:00:00.000 --> 00:00:02.320]  等候神實在不簡單
[00:00:02.320 --> 00:00:06.760]  今天我們就一起通過130篇詩篇
[00:00:06.760 --> 00:00:10.200]  一起來學習這個信仰的功課
[00:00:10.200 --> 00:00:16.280]  130篇都是上行的詩
[00:00:16.280 --> 00:00:19.200]  上行的意思是什麼呢?
[00:00:19.200 --> 00:00:20.800]  都講過了
[00:00:20.800 --> 00:00:24.680]  不過我都覺得跟大家講一次都是好的
[00:00:24.680 --> 00:00:28.000]  因爲新聞見十六章十六節
[00:00:28.000 --> 00:00:32.720]  在舊約律法那裏規定以色列人的南丁
[00:00:32.720 --> 00:00:36.440]  都必須一年三次在除交節
[00:00:36.440 --> 00:00:40.520]  收割節、住棚節這三大節期那裏
[00:00:40.520 --> 00:00:45.560]  從各處地方來到聖殿那裏去向神奉獻
[00:00:45.560 --> 00:00:49.000]  而聖殿就在耶路撒冷
[00:00:49.000 --> 00:00:51.920]  而耶路撒冷是在一個高山的上面
[00:00:51.920 --> 00:00:55.560]  所以從其他地方來耶路撒冷的人
[00:00:55.560 --> 00:00:57.560]  都要向高處走
[00:00:57.560 --> 00:01:01.640]  大家如果有去過聖地旅遊
[00:01:01.640 --> 00:01:02.840]  你就會發覺
[00:01:02.840 --> 00:01:05.960]  你去到臺拉維夫
[00:01:05.960 --> 00:01:06.760]  落基
[00:01:06.760 --> 00:01:08.360]  如果你要去耶路撒冷
[00:01:08.360 --> 00:01:10.280]  一定是向山這樣
[00:01:10.280 --> 00:01:12.800]  車路向山去行
[00:01:12.800 --> 00:01:15.400]  這一段向上行的路
[00:01:15.400 --> 00:01:18.160]  我們相信一些朝聖者
[00:01:18.160 --> 00:01:20.560]  向着耶路撒冷去行的時候
[00:01:20.560 --> 00:01:21.920]  他們一路行
[00:01:21.920 --> 00:01:26.080]  有時就會唱這些詩篇
[00:01:26.080 --> 00:01:28.000]  向上行的詩篇
[00:01:28.000 --> 00:01:32.360]  我們覺得一個盼望中等候的詩篇
[00:01:32.360 --> 00:01:35.000]  在這個路途上去唱的時候
[00:01:35.000 --> 00:01:36.840]  更加有意思
[00:01:36.840 --> 00:01:39.360]  因爲他們正正是要去面對
[00:01:39.360 --> 00:01:44.120]  去等候着去見到上帝
[00:01:44.120 --> 00:01:46.520]  這一篇詩篇一開始的時候
[00:01:46.520 --> 00:01:52.760]  詩人描述自己是在深處向神去呼求
[00:01:52.760 --> 00:01:59.960]  而是兩次去求求主聽他的聲音
[00:01:59.960 --> 00:02:01.960]  是很迫切的
[00:02:01.960 --> 00:02:03.040]  可以想象
[00:02:03.040 --> 00:02:07.560]  詩人當時正是處在生命的低谷
[00:02:07.560 --> 00:02:09.720]  我又說叫深處
[00:02:09.720 --> 00:02:14.120]  自己是無法從這個生命的低谷裏面掙脫出來
[00:02:14.120 --> 00:02:18.040]  所以他轉向神去呼求祂的拯救
[00:02:18.040 --> 00:02:20.080]  雖然他沒有說明
