
[00:00:00.000 --> 00:00:03.080]  各位早晨 今天很開心的來
[00:00:03.080 --> 00:00:07.220]  因為我聽到第一個星期我就嚇了一跳
[00:00:07.220 --> 00:00:09.660]  通常第一個星期我不行的
[00:00:09.660 --> 00:00:10.840]  下次我就去
[00:00:10.840 --> 00:00:15.140]  剛剛兩個星期 兩次都是在芝加哥和西雅圖
[00:00:15.140 --> 00:00:16.980]  只有這次在香港
[00:00:16.980 --> 00:00:20.140]  所以我見到今天來的來賓很開心
[00:00:20.140 --> 00:00:23.680]  我想是神安排我們可以見到面 這麼開心
[00:00:23.680 --> 00:00:29.160]  這個題目在《但願你輸》第六章我選出來
[00:00:29.160 --> 00:00:31.160]  可能你很吸引
[00:00:31.160 --> 00:00:34.340]  你說甚麼叫獅子 獅子是甚麼來的
[00:00:34.340 --> 00:00:37.000]  當時其實經文的背景
[00:00:37.000 --> 00:00:39.780]  就真的是「但願你遇到獅子」
[00:00:39.780 --> 00:00:41.140]  但獅子是怎樣呢
[00:00:41.140 --> 00:00:44.340]  就是神封住牠的口 就不傷牠
[00:00:44.340 --> 00:00:47.280]  真的 但願你沒有被獅子咬死
[00:00:47.280 --> 00:00:49.000]  不過我想問你
[00:00:49.000 --> 00:00:51.500]  如果你見到一隻獅子你會怎樣
[00:00:51.500 --> 00:00:53.840]  你會走嗎
[00:00:53.840 --> 00:00:56.720]  你猜你走不走得掉
[00:00:56.720 --> 00:00:59.480]  你走不掉都會走的
[00:00:59.480 --> 00:01:03.900]  不過我怕你走得快不快 你猜
[00:01:03.900 --> 00:01:10.380]  你猜你是人生中走得最快還是最慢那一次
[00:01:10.380 --> 00:01:12.840]  最快那一次
[00:01:12.840 --> 00:01:15.140]  到時你才知道
[00:01:15.140 --> 00:01:18.060]  但我擔心你走得最慢那一次
[00:01:18.060 --> 00:01:21.480]  你一腳軟
[00:01:21.480 --> 00:01:26.800]  我想患病也像這個感覺
[00:01:26.800 --> 00:01:28.800]  是被病嚇壞了
[00:01:28.800 --> 00:01:33.560]  嚇到你還未看醫生已經暈了
[00:01:33.560 --> 00:01:36.640]  所以我以前做精神科
[00:01:36.640 --> 00:01:40.160]  我都有訓練過精神科醫生
[00:01:40.160 --> 00:01:43.380]  我說如果你斷症見一個病人
[00:01:43.380 --> 00:01:46.600]  你要告訴他你是確診
[00:01:46.600 --> 00:01:50.220]  甚至不排除我太太是胰臟癌
[00:01:50.220 --> 00:01:53.040]  你怎樣說這番說話呢
[00:01:53.040 --> 00:01:57.520]  以前我的學生每個都出來做角色扮演
[00:01:57.520 --> 00:01:58.940]  同學都說
[00:01:58.940 --> 00:02:03.840]  不聽這些說話會被你嚇死
[00:02:03.840 --> 00:02:08.200]  真的 醫生最困難的那一關
[00:02:08.200 --> 00:02:12.420]  不是斷症 是怎樣說那個症
[00:02:12.420 --> 00:02:16.440]  說到你又明你是患癌症
[00:02:16.440 --> 00:02:19.400]  但又不嚇到你 怎樣說呢
[00:02:19.400 --> 00:02:22.980]  我見了這麼久 陪他太太兩年
[00:02:22.980 --> 00:02:29.400]  我都見了十個以上的腫瘤科和手術醫生
[00:02:29.400 --> 00:02:32.980]  我只覺得有一個說得好一點
[00:02:32.980 --> 00:02:37.580]  有一個 另外九個都說得不好
[00:02:37.580 --> 00:02:40.060]  你就證明一件事
[00:02:40.060 --> 00:02:43.840]  甚麼叫不傷我呢
[00:02:43.840 --> 00:02:45.460]  其實甚麼叫傷呢
[00:02:45.460 --> 00:02:48.700]  傷可以說是心理上嚇到你
[00:02:48.700 --> 00:02:51.040]  在病裏面真的會
[00:02:51.040 --> 00:02:55.220]  還有可能你聽完之後
[00:02:55.220 --> 00:03:00.480]  你的感覺是打擊到你想不醫
[00:03:00.480 --> 00:03:02.240]  我想告訴你
[00:03:02.240 --> 00:03:05.520]  你知道患癌症的程度其實很普遍
[00:03:05.520 --> 00:03:07.720]  很多人以為香港空氣不好
[00:03:07.720 --> 00:03:08.660]  就是這樣
[00:03:08.660 --> 00:03:11.580]  這三年我去過美國十個城市
[00:03:11.580 --> 00:03:13.340]  遇到很多中國人
[00:03:13.340 --> 00:03:16.720]  都是很漂亮的天氣 譬如西雅圖
[00:03:16.720 --> 00:03:21.500]  但都是患癌症 甚至是肺癌
[00:03:21.500 --> 00:03:24.700]  即是說是無法解釋的
[00:03:24.700 --> 00:03:26.560]  癌症的比例
[00:03:26.560 --> 00:03:31.140]  差不多是四個人有一個患癌症
[00:03:31.140 --> 00:03:35.340]  跟近視要戴眼鏡的機會差不多
[00:03:35.340 --> 00:03:37.740]  你又知道這麼可怕
[00:03:37.740 --> 00:03:41.520]  跟近視要戴眼鏡的機會差不多
[00:03:41.520 --> 00:03:46.560]  不過有大半的癌症不是絕症
[00:03:46.560 --> 00:03:51.740]  不是說是幾個月或一年多後你要去世
[00:03:51.740 --> 00:03:55.340]  有很多人是與癌共存一生
[00:03:55.340 --> 00:03:57.960]  都不是因為癌症而死
[00:03:57.960 --> 00:04:01.000]  所以不要怕成這樣
[00:04:01.000 --> 00:04:05.420]  亦都有些人是過了所謂的五年關口
[00:04:05.420 --> 00:04:08.420]  是一生裏面沒有事的
[00:04:08.420 --> 00:04:10.740]  不過有事的人是醫不了
[00:04:10.740 --> 00:04:13.500]  以及不想醫
[00:04:13.500 --> 00:04:17.520]  亦都併發症出現了 因為他身體太弱
[00:04:17.520 --> 00:04:21.300]  因為他根本上是與另一個問題是心理
[00:04:21.300 --> 00:04:26.340]  所以患癌症通常另一個你光顧的醫生
[00:04:26.340 --> 00:04:28.620]  就是精神科醫生
[00:04:28.620 --> 00:04:32.480]  精神科和癌症是很接近的兩件事
[00:04:32.480 --> 00:04:35.220]  譬如你打白血球打針你不行
[00:04:35.220 --> 00:04:39.480]  可能精神科醫生替你肚皮打針
[00:04:39.480 --> 00:04:42.220]  亦都可能是因為你睡不著
[00:04:42.220 --> 00:04:46.660]  你怕得很厲害 血壓已經不正常到做不到手術
[00:04:46.660 --> 00:04:50.220]  血壓一百七十二百做不到
[00:04:50.220 --> 00:04:52.040]  你要看精神科
[00:04:52.040 --> 00:04:55.880]  所以其實患癌症與心理很有關係
[00:04:55.880 --> 00:05:00.240]  就是你怕到影響到病治不了
[00:05:00.240 --> 00:05:03.000]  所以很多腫瘤科醫生說我救不了你
[00:05:03.000 --> 00:05:05.000]  你怕成這樣我真的救不了你
[00:05:05.000 --> 00:05:07.600]  我最多給你吃鎮靜藥
[00:05:07.600 --> 00:05:10.260]  但栽草不行你會吃死你
[00:05:10.260 --> 00:05:11.980]  所以我醫不了你
[00:05:11.980 --> 00:05:14.340]  所以你會說如果一遇到癌症
[00:05:14.340 --> 00:05:16.900]  第一個問題就是你要留意
[00:05:16.900 --> 00:05:22.380]  或者你的家人是不是嚇得很厲害
[00:05:22.380 --> 00:05:25.620]  所以你會說如果你今天聽完之後
[00:05:25.620 --> 00:05:30.140]  你更加感覺到我的神差遣使者封住獅子的口
[00:05:30.140 --> 00:05:32.700]  叫獅子不傷我究竟是甚麼意思
[00:05:32.700 --> 00:05:36.060]  當然現在我們講的不是獅子坑
[00:05:36.060 --> 00:05:38.860]  而是面對人生裏面出現了
[00:05:38.860 --> 00:05:43.460]  可以嚇死人令人喪膽的一個病
[00:05:43.460 --> 00:05:48.020]  十年前我就去南關的小組聚會
[00:05:48.020 --> 00:05:51.780]  那時候我陪太太去宣道會藍殿堂
[00:05:51.780 --> 00:05:56.580]  當時香港不是很多教會有癌症病人的團契
[00:05:56.580 --> 00:06:01.060]  不是的 當時很堅持要舉辦的原因
[00:06:01.060 --> 00:06:04.940]  就是一位肺癌的基督徒
[00:06:04.940 --> 00:06:10.420]  一位男士他很想為其他病友做一些事
[00:06:10.420 --> 00:06:12.660]  所以他跟牧師說
[00:06:12.660 --> 00:06:15.580]  也是我的好朋友 是一個傳道人
[00:06:15.580 --> 00:06:17.380]  他自己患癌症
[00:06:17.380 --> 00:06:19.380]  所以他們說不如我們找地方
[00:06:19.380 --> 00:06:21.860]  當時找了幾個教會
[00:06:21.860 --> 00:06:24.900]  那些傳道人和堂會都覺得不舉辦
[00:06:24.900 --> 00:06:28.820]  原因就是不是很多教友的問題
[00:06:28.820 --> 00:06:31.180]  也不是那麼多傳道人
[00:06:31.180 --> 00:06:35.340]  是有這種背景可以幫助這種病的程度
[00:06:35.340 --> 00:06:38.980]  所以後來終於找到宣道會藍殿堂
[00:06:38.980 --> 00:06:40.580]  十年後了
[00:06:40.580 --> 00:06:46.300]  我上一年去聯會講座發現有三十多個教會
[00:06:46.300 --> 00:06:47.900]  已經有癌症團契了
[00:06:47.900 --> 00:06:49.420]  看十年後三十多個教會
[00:06:49.420 --> 00:06:52.660]  我相信現在不止了 甚至四十個教會了
[00:06:52.660 --> 00:06:54.940]  那你為什麼這麼多呢
[00:06:54.940 --> 00:06:56.740]  其實一點都不算多的
[00:06:56.740 --> 00:06:57.820]  今天算多人
[00:06:57.820 --> 00:07:01.300]  有些癌症團契都是三十人以下
[00:07:01.300 --> 00:07:04.860]  所以真正肯去想想
[00:07:04.860 --> 00:07:08.980]  如何幫自己面對這個病的人不是很多
[00:07:08.980 --> 00:07:10.980]  包括基督徒也不是很多
[00:07:10.980 --> 00:07:14.540]  我相信十個人一個左右也未必到
[00:07:14.540 --> 00:07:17.380]  所以今天你坐在這裏很值得大家研究一下
[00:07:17.380 --> 00:07:21.460]  講明我們不是說如何治療這個病
[00:07:21.460 --> 00:07:22.500]  不是
[00:07:22.500 --> 00:07:25.220]  如果你說要治療癌症
