
[00:00:00.000 --> 00:00:06.820]  我認識一位中學的學生
[00:00:06.820 --> 00:00:10.080]  這位學生在基督教學校讀書
[00:00:10.080 --> 00:00:13.480]  這位學生是一個女孩
[00:00:13.480 --> 00:00:16.840]  她的父親是一個很有學識的大學教授
[00:00:16.840 --> 00:00:19.920]  她的父親是一個無神論者
[00:00:19.920 --> 00:00:23.560]  所以她覺得基督教很反感這些
[00:00:23.560 --> 00:00:28.360]  不太有智慧的人才相信耶穌
[00:00:28.360 --> 00:00:31.340]  所以我想這些觀念都給予她的女兒
[00:00:31.340 --> 00:00:34.460]  女兒就像爸爸那樣上很多網
[00:00:34.460 --> 00:00:40.680]  看看講到基督教有多荒謬
[00:00:40.680 --> 00:00:45.800]  無神論的論述是否很合理等等
[00:00:45.800 --> 00:00:55.560]  她在一間有宗教背景有基督教的教會舉辦的學校
[00:00:55.560 --> 00:01:01.200]  她發覺老師講的一套做出來又一套
[00:01:01.200 --> 00:01:04.540]  對她對基督教也有一些卻步
[00:01:04.540 --> 00:01:08.040]  她覺得基督教的人很蠢
[00:01:08.040 --> 00:01:10.920]  信聖經是神的話
[00:01:10.920 --> 00:01:15.480]  又或者聖經講到天地是神所創造的
[00:01:15.480 --> 00:01:18.000]  不是的 應該是進化來的
[00:01:18.000 --> 00:01:20.560]  所以很反感對基督教
[00:01:20.560 --> 00:01:27.960]  特別是她對女性的看法應該要很高舉很有自由
[00:01:27.960 --> 00:01:36.520]  所以她覺得未婚的婚前性行為有什麼不妥
[00:01:36.520 --> 00:01:38.280]  喜歡做什麼就做什麼
[00:01:38.280 --> 00:01:41.320]  還有如果女性要墮胎
[00:01:41.320 --> 00:01:44.840]  她有這個權利為什麼基督教說不要墮胎
[00:01:44.840 --> 00:01:48.040]  特別最不好為什麼有婚姻制度
[00:01:48.040 --> 00:01:53.160]  有什麼意思呢 基本上這些都是沒意思的
[00:01:53.160 --> 00:01:56.240]  但這個女學生是很不開心的一個人
[00:01:56.240 --> 00:01:59.000]  整天苦著臉 沒有什麼笑容
[00:01:59.000 --> 00:02:01.560]  還有她是比較孤單的
