
[00:00:00.000 --> 00:00:07.000]  今天我們會一起分享一個其實在神學上比較難的題目
[00:00:07.000 --> 00:00:16.000]  因為首先羅馬書本身在保羅的思維系統裡面已經是一卷相對非常複雜的書卷
[00:00:16.000 --> 00:00:21.000]  而在頭幾章更加要將一個很重要的題目
[00:00:21.000 --> 00:00:30.000]  就是究竟我們是不是真的無罪?我們是不是因為恩著信我們可以去到上帝那裡被視為無罪呢?
[00:00:30.000 --> 00:00:36.000]  這個在當時來說是很複雜的問題
[00:00:36.000 --> 00:00:44.000]  因為剛剛教會來到興起猶太人一路猛打保羅
[00:00:44.000 --> 00:00:47.000]  最初是想靠他去捉拿那些基督徒
[00:00:47.000 --> 00:00:53.000]  誰不知在大馬式路上見到主之後他作出一個一百個十度轉變
[00:00:53.000 --> 00:00:55.000]  從此就宣揚基督
[00:00:55.000 --> 00:00:59.000]  於是猶太人就一路追趕他
[00:00:59.000 --> 00:01:04.000]  去到那裡的會堂講耶穌基督的道理他就追下去
[00:01:04.000 --> 00:01:06.000]  即使這樣教會仍然興起
[00:01:06.000 --> 00:01:11.000]  但教會裡面的組成就有很多不同的人
[00:01:11.000 --> 00:01:13.000]  猶太人、希利利人
[00:01:13.000 --> 00:01:18.000]  這些人背後有一套不同的觀念
[00:01:18.000 --> 00:01:24.000]  有些教會十點半崇拜神聖幫我侵犯
[00:01:24.000 --> 00:01:27.000]  你改一改是很複雜的
[00:01:27.000 --> 00:01:29.000]  當然有很多原因
[00:01:29.000 --> 00:01:32.000]  習慣了特別在座長輩
[00:01:32.000 --> 00:01:38.000]  習慣了那個時候開始慢慢用心的教會聚會
[00:01:38.000 --> 00:01:43.000]  你改的都不知改到亂七八糟
[00:01:43.000 --> 00:01:45.000]  但都是有一種習性
[00:01:45.000 --> 00:01:48.000]  總是覺得十點半比較好
[00:01:48.000 --> 00:01:50.000]  但有些教會是十點
[00:01:50.000 --> 00:01:52.000]  有些是十點三
[00:01:52.000 --> 00:01:54.000]  有些是十一點
[00:01:54.000 --> 00:01:57.000]  同樣都是覺得時間是最好的
[00:01:57.000 --> 00:02:02.000]  不是純粹單單的受到弟兄姊妹的時間
[00:02:02.000 --> 00:02:05.000]  而是一種習性就不能動了
[00:02:05.000 --> 00:02:07.000]  動了都不知道怎麼辦
[00:02:07.000 --> 00:02:10.000]  在當時的猶太人的理解
[00:02:10.000 --> 00:02:14.000]  一定要守律法、守規矩
[00:02:14.000 --> 00:02:16.000]  才叫做好教徒
[00:02:16.000 --> 00:02:18.000]  我們都是這樣想的
[00:02:18.000 --> 00:02:21.000]  在崇拜裡面有人不守規矩
[00:02:21.000 --> 00:02:24.000]  有人在高談闊論
[00:02:24.000 --> 00:02:28.000]  有一個年輕人的手機響起
[00:02:28.000 --> 00:02:30.000]  長輩我就多一分明白
[00:02:30.000 --> 00:02:34.000]  如果長輩你能夠處理到手機
[00:02:34.000 --> 00:02:36.000]  我都會鼓勵你教導靜音
[00:02:36.000 --> 00:02:38.000]  你見到我每個主日
[00:02:38.000 --> 00:02:40.000]  在安靜避心裡面都講這件事
[00:02:40.000 --> 00:02:43.000]  但有些長輩真的比較難處理
[00:02:43.000 --> 00:02:45.000]  可能他教完靜音之後
[00:02:45.000 --> 00:02:49.000]  從此這部手機就不是他了
[00:02:49.000 --> 00:02:51.000]  靜了以後都
[00:02:51.000 --> 00:02:54.000]  我到現在都不敢和我爸爸換手機
[00:02:54.000 --> 00:02:55.000]  雖然我看見這部手機
[00:02:55.000 --> 00:02:57.000]  從我年輕人角度眼淵
[00:02:57.000 --> 00:02:59.000]  換個部吧
[00:02:59.000 --> 00:03:00.000]  按鈕又小
[00:03:00.000 --> 00:03:01.000]  聲音又小
[00:03:01.000 --> 00:03:03.000]  又麻煩又落後
[00:03:03.000 --> 00:03:06.000]  你看你老婆都換了智能手機
[00:03:06.000 --> 00:03:08.000]  大大部
[00:03:08.000 --> 00:03:09.000]  國產Note 2
[00:03:09.000 --> 00:03:11.000]  幾好look的
[00:03:11.000 --> 00:03:14.000]  都不敢轉
[00:03:14.000 --> 00:03:16.000]  因為轉了之後會怎樣
