
[00:00:00.000 --> 00:00:06.760]  羅亞入方舟嘅故事,我相信係絕大部分嘅人都可能會聽過嘅故事。
[00:00:06.760 --> 00:00:12.280]  一家百口,喺呢個方舟裏面得到神嘅祝福保護。
[00:00:12.280 --> 00:00:20.160]  最後整個世界都由嗰陣時開始,洪水之後就慢慢逐步逐步咁樣重整過嚟。
[00:00:20.160 --> 00:00:27.840]  但係講到信心嘅時候呢,當我哋講到信心嘅時候,比較少人會講到羅亞呢一個人。
[00:00:27.840 --> 00:00:30.560]  信心梗係講亞伯拉罕,係咪?
[00:00:30.560 --> 00:00:34.800]  創世紀嘅裏面,羅亞被譽為完全嘅人。
[00:00:34.800 --> 00:00:43.800]  但係新約嘅聖經希伯來書,第十一章第七節,就好清楚話畀我哋知,原來羅亞係有信心嘅人。
[00:00:43.800 --> 00:00:48.280]  我哋一齊讀一讀希伯來書嘅第十一章第七節,好唔好?請讀。
[00:00:57.840 --> 00:01:11.080]  希伯來書第十一章第七節,話畀我哋知道,當時原來羅亞係一位有信心嘅人。
[00:01:11.080 --> 00:01:21.560]  雖然喺創世紀裏面,完全冇提到羅亞係用信心呢啲嘅字,有信心嘅呢啲嘅字眼,講到呢個人物有幾勁嘅信心。
[00:01:21.560 --> 00:01:34.280]  創世紀裏面,雖然冇提到羅亞用信心呢啲字眼形容佢,但係羅亞就係用行動去證明到,其實佢係一個有信心嘅人。
[00:01:34.280 --> 00:01:39.720]  大家可能都知道,羅亞方舟嘅出現係因為一場嘅舉世嘅浩劫。
[00:01:39.720 --> 00:01:51.720]  滲江下大水,洪水淹沒咗整個世界。洪水真係唔可以睇少呀嘛。你仲記唔記得南亞海嘯嗰啲嘅時間呀?
[00:01:51.720 --> 00:01:58.920]  幾多人因為突然而來嘅洪水,而死咗喺呢個南亞海嘯嘅呢場嘅災難裏面。
[00:01:58.920 --> 00:02:07.480]  作為香港人,冇理由冇試過經歷嗰啲龐陀大雨,咩黃雨呀,紅雨呀,黑雨。
[00:02:07.480 --> 00:02:16.120]  2007年,英國有個地方,Hall呢個地方,係一個都係屬於,係咪Yorkshire呢?
[00:02:16.120 --> 00:02:21.880]  佢好似,都係屬於好似Yorkshire嘅,如果冇記錯。
[00:02:21.880 --> 00:02:28.120]  曾經有一個非常之嚴重嘅水浸,連續落咗12個小時嘅暴雨,
[00:02:28.120 --> 00:02:34.440]  導致到超過9000間嘅住宅同埋商業建築物被摧毀。
[00:02:34.440 --> 00:02:44.440]  呢一場災難股嘅影響做呢,大概三萬五千人,造成咗4100萬磅嘅損失。
[00:02:44.440 --> 00:02:51.000]  超過6000個嘅城市嘅居民被迫要搬入去一啲嘅臨時嘅住所裏面。
[00:02:51.000 --> 00:02:57.160]  其中有好多嘅家庭呢,都真係可以話損失非常之慘重。
[00:02:57.160 --> 00:03:05.080]  甚至有1400個人呢,需要住喺嗰啲嘅caravan裏面呢,嚟到臨時擋一擋呢啲洪水嘅災難。
[00:03:05.080 --> 00:03:07.880]  直至佢哋嘅屋企呢,修復好為止。
[00:03:07.880 --> 00:03:11.880]  落雨連續係咁落,並唔係一件好玩嘅事。
[00:03:11.880 --> 00:03:15.080]  大家知唔知,Least都試過好嚴重嘅水浸。
[00:03:15.080 --> 00:03:19.160]  呢一個呢,就係大家認唔認得呢條係咩地方呀?
[00:03:19.160 --> 00:03:23.560]  當時呢個地方,大概當時,好似係2010幾年嘅時間嚟㗎,如果冇記錯。
[00:03:23.560 --> 00:03:26.360]  呢個就係Kirkstall Road,Kirkstall Road。
[00:03:26.360 --> 00:03:31.480]  咁如果你大家見過Kirkstall Road嗰度呢,應該係一間麥當勞㗎,就係出面嗰條喇。
[00:03:31.480 --> 00:03:35.320]  嗰下全部變成一條河嗰度係,非常之嚴重。
[00:03:35.320 --> 00:03:39.320]  甚至有一間嘅環教會嗰度,亦都係被波及被水浸㗎。
