
[00:00:00.000 --> 00:00:01.320]  上次我們講的什麼呢
[00:00:01.320 --> 00:00:10.720]  勝過優勢的好歹標題還記得吧
[00:00:10.720 --> 00:00:11.360]  是不是
[00:00:11.360 --> 00:00:16.440]  所以保羅在這個比特在這個菲律比書
[00:00:16.440 --> 00:00:17.720]  這個地方
[00:00:17.720 --> 00:00:19.480]  我們今天要講的信息之前
[00:00:19.480 --> 00:00:21.720]  他講的應當一無掛慮
[00:00:21.720 --> 00:00:22.080]  是不是
[00:00:22.080 --> 00:00:23.720]  是不是
[00:00:23.720 --> 00:00:25.560]  是不是
[00:00:29.040 --> 00:00:30.440]  前來留準備
[00:00:30.440 --> 00:00:32.400]  今天我們真是太多的掛慮
[00:00:32.400 --> 00:00:32.880]  是不是
[00:00:32.880 --> 00:00:38.080]  所以保羅告訴我們說要應當一無掛慮
[00:00:38.080 --> 00:00:42.360]  只要凡事藉着禱告祈求和感謝
[00:00:42.360 --> 00:00:43.880]  將你們所要的告訴神
[00:00:43.880 --> 00:00:45.900]  意思就是說將這些告訴上帝
[00:00:45.900 --> 00:00:46.440]  對不對
[00:00:46.440 --> 00:00:47.120]  藉着禱告
[00:00:47.120 --> 00:00:47.720]  藉着感謝
[00:00:47.720 --> 00:00:48.840]  告訴神
[00:00:48.840 --> 00:00:50.780]  神所施出人意外的平安
[00:00:50.780 --> 00:00:55.400]  必在基督耶穌裏保守你們的心懷疑慮
[00:00:59.480 --> 00:01:01.840]  這段證經裏面太寶貴了
[00:01:01.840 --> 00:01:03.040]  前來留準備好不好
[00:01:03.040 --> 00:01:06.520]  神的話你就照着去做
[00:01:06.520 --> 00:01:08.040]  是不是
[00:01:08.040 --> 00:01:10.800]  所以保羅在這裏
[00:01:10.800 --> 00:01:14.360]  整個的菲律比書裏面講到靠主席的靠主席
[00:01:14.360 --> 00:01:18.000]  可以說是整個裏面的一個核心的一個信息
[00:01:18.000 --> 00:01:19.520]  那跟這個信息裏面
[00:01:19.520 --> 00:01:21.360]  你看他接着下來就提到說
[00:01:21.360 --> 00:01:23.520]  他說你們應當一無掛慮
[00:01:23.520 --> 00:01:25.160]  然後講完之後呢
[00:01:25.160 --> 00:01:25.520]  接着
[00:01:25.520 --> 00:01:28.760]  他就講了今天這一段話
[00:01:29.640 --> 00:01:29.960]  他說
[00:01:29.960 --> 00:01:30.680]  弟兄們啊
[00:01:30.680 --> 00:01:35.240]  我還有未盡的話
[00:01:35.240 --> 00:01:36.280]  什麼叫未盡的話
[00:01:36.280 --> 00:01:41.640]  什麼叫未盡的話
[00:01:41.640 --> 00:01:44.000]  我還有沒講完的話
[00:01:44.000 --> 00:01:45.000]  是不是
[00:01:45.000 --> 00:01:48.680]  保羅好像是一個做父親的在勉勵孩子
[00:01:48.680 --> 00:01:51.520]  好像是講了很多了
[00:01:51.520 --> 00:01:52.480]  講到最後了
[00:01:52.480 --> 00:01:55.120]  你看到第四章已經是到了第四章的中間
[00:01:55.120 --> 00:01:55.600]  對不對
[00:01:55.600 --> 00:02:00.720]  他說我還有未盡的話
[00:02:00.720 --> 00:02:01.680]  是不是
[00:02:01.680 --> 00:02:03.600]  所以保羅在這裏講到說
[00:02:03.600 --> 00:02:06.120]  接下來就是他還沒有講完的話
[00:02:06.120 --> 00:02:07.440]  還要再講的話
[00:02:07.440 --> 00:02:09.120]  可以說是他最後
[00:02:09.120 --> 00:02:11.040]  他覺得還有一些重要的事情
[00:02:11.040 --> 00:02:11.920]  他要跟我們講的
[00:02:11.920 --> 00:02:12.600]  是不是
[00:02:12.600 --> 00:02:15.960]  在這一段經文裏面有兩個很重要的動詞
[00:02:15.960 --> 00:02:17.680]  第一個動詞就是思想
[00:02:17.680 --> 00:02:19.040]  第二個動詞就是行
[00:02:22.440 --> 00:02:29.960]  所以今天我們主題叫做要三思而行
[00:02:29.960 --> 00:02:34.600]  當然我們中國人講三思後行是着重在思
[00:02:34.600 --> 00:02:36.040]  對不對
[00:02:36.040 --> 00:02:39.600]  三代表什麼重要的事要講
[00:02:39.600 --> 00:02:42.600]  所以三代表怎麼樣
[00:02:42.600 --> 00:02:45.120]  代表要重要
[00:02:45.120 --> 00:02:47.000]  代表要長長的意識
[00:02:47.000 --> 00:02:51.640]  代表是一個經常性的
[00:02:51.640 --> 00:02:53.680]  所以保羅在這裏同樣的
[00:02:53.680 --> 00:02:55.280]  他講的這兩件事情
[00:02:55.280 --> 00:02:57.840]  他說你們要思想
[00:02:57.840 --> 00:02:59.880]  然後接着他後面就提到說
[00:02:59.880 --> 00:03:03.640]  這些是你們都要去行
[00:03:03.640 --> 00:03:05.880]  所以今天這是我們兩個主題
[00:03:05.880 --> 00:03:07.240]  保羅在這裏講的兩個主題
[00:03:07.240 --> 00:03:08.600]  我們一起來看
[00:03:08.600 --> 00:03:10.440]  首先第一個保羅說
[00:03:10.440 --> 00:03:12.640]  你們都要思戀
[00:03:12.640 --> 00:03:14.640]  他用思戀
[00:03:14.640 --> 00:03:18.040]  思戀這個字其實原文的意思就是什麼
[00:03:18.040 --> 00:03:20.520]  就是仔細考慮考慮
