
[00:00:00.000 --> 00:00:03.160]  兄弟姐妹大家好,我們又一齊讀聖經了
[00:00:03.160 --> 00:00:06.160]  生命樹和大家看聖經人、聖經事
[00:00:06.160 --> 00:00:10.160]  其實是聖經背後的神,是我們想看的
[00:00:10.160 --> 00:00:14.160]  今天的主題就是「我們得罪了耶和華」
[00:00:14.160 --> 00:00:18.160]  這句話,你說好還是不好呢?
[00:00:18.160 --> 00:00:22.160]  當然不好,我們得罪了耶和華
[00:00:22.160 --> 00:00:25.360]  這樣是不好的,不過又好,好在哪裡呢?
[00:00:25.360 --> 00:00:28.760]  就是知道自己得罪了耶和華
[00:00:28.760 --> 00:00:33.760]  更加好的就是「承認我們得罪了耶和華」
[00:00:33.760 --> 00:00:36.760]  這個很重要的,因為很多時候我們不知道
[00:00:36.760 --> 00:00:40.760]  甚至犯了罪不承認,沒有騙,沒有騙
[00:00:40.760 --> 00:00:45.760]  不過見到以色列人說「我們得罪了耶和華」
[00:00:45.760 --> 00:00:48.760]  結果是很感恩的
[00:00:48.760 --> 00:00:52.760]  三會議記上第七章,第五節三會議說
[00:00:52.760 --> 00:00:57.760]  「要使以色列人眾人聚集在米斯巴」
[00:00:57.760 --> 00:01:01.760]  「我好為你們禱告耶和華」
[00:01:01.760 --> 00:01:04.760]  「他們就聚集在米斯巴」
[00:01:04.760 --> 00:01:09.760]  「就打水挑在耶和華面前」
[00:01:09.760 --> 00:01:12.760]  「當日就禁食了」
[00:01:12.760 --> 00:01:15.760]  「說我們得罪了耶和華」
[00:01:15.760 --> 00:01:18.760]  是否聚集在一起說了一句呢?
[00:01:18.760 --> 00:01:22.760]  不是的,不過最重點就是聚集在一起禁食
[00:01:22.760 --> 00:01:26.760]  就是一起同意「我們得罪了耶和華」
[00:01:26.760 --> 00:01:31.760]  「於是薩姆爾在米斯巴就審判以色列人」
[00:01:31.760 --> 00:01:36.760]  「菲利士人聽見以色列人聚集在米斯巴」
[00:01:36.760 --> 00:01:41.760]  「於是菲利士的首領就上來要攻擊以色列人」
[00:01:41.760 --> 00:01:45.760]  「以色列人聽見就懼怕菲利士人」
[00:01:45.760 --> 00:01:48.760]  「以色列人對薩姆爾說」
[00:01:48.760 --> 00:01:51.760]  「願你不住地為我們呼求」
[00:01:51.760 --> 00:01:53.760]  「耶和華,我們的上帝」
[00:01:53.760 --> 00:01:57.760]  「救我們脫離菲利士人的手」
[00:01:57.760 --> 00:02:02.760]  「於是薩姆爾就擺一隻吃奶的羊羔」
[00:02:02.760 --> 00:02:07.760]  「獻於耶和華作全生的繁祭」
[00:02:07.760 --> 00:02:10.760]  「為以色列人呼求耶和華」
[00:02:10.760 --> 00:02:13.760]  「耶和華就應運薩姆爾了」
[00:02:13.760 --> 00:02:15.760]  第十節
[00:02:15.760 --> 00:02:18.760]  「薩姆爾正獻繁祭的時候」
[00:02:18.760 --> 00:02:25.760]  「菲利士人打到前來要與以色列人爭戰」
[00:02:25.760 --> 00:02:29.760]  「就當日耶和華大發雷聲」
[00:02:29.760 --> 00:02:31.760]  「驚亂菲利士人」
[00:02:31.760 --> 00:02:35.760]  「他們就敗在以色列人面前」
[00:02:35.760 --> 00:02:40.760]  今天就跟大家看「我們得罪耶和華」這件事
[00:02:40.760 --> 00:02:43.760]  跟大家再講解一下
[00:02:43.760 --> 00:02:45.760]  這件事是很感恩的
[00:02:45.760 --> 00:02:49.760]  薩姆爾就叫他們
[00:02:49.760 --> 00:02:53.760]  「叫以色列眾人聚集」
[00:02:53.760 --> 00:02:55.760]  大家要知道
[00:02:55.760 --> 00:02:59.760]  這些是薩姆爾記載當時的事
[00:02:59.760 --> 00:03:01.760]  一個很普遍的說法
[00:03:01.760 --> 00:03:03.760]  「叫眾人聚集」
[00:03:03.760 --> 00:03:05.760]  是不是所有傳到以色列
[00:03:05.760 --> 00:03:07.760]  由南到北所有人都來
[00:03:07.760 --> 00:03:09.760]  空城計算出來,不是
[00:03:09.760 --> 00:03:11.760]  是大家來聚集
[00:03:11.760 --> 00:03:13.760]  於是很多人來聚集
[00:03:13.760 --> 00:03:17.760]  他們選擇的地點是米斯巴
[00:03:17.760 --> 00:03:25.760]  米斯巴就是「瞭望台」
[00:03:25.760 --> 00:03:27.760]  「瞭望台」的位置叫「守望台」
[00:03:27.760 --> 00:03:32.760]  大概這個「瞭望台」
[00:03:32.760 --> 00:03:35.760]  這個位置怎樣選擇呢?
[00:03:35.760 --> 00:03:38.760]  因為它應該是一個比較中心的位置
[00:03:38.760 --> 00:03:41.760]  能夠做瞭望台的多數是高一點
[00:03:41.760 --> 00:03:43.760]  和建造一個塔
[00:03:43.760 --> 00:03:45.760]  然後一眼觀測就能看到
[00:03:45.760 --> 00:03:48.760]  是一個比較中心點的地方
[00:03:48.760 --> 00:03:51.760]  於是在那裏可以看完
[00:03:51.760 --> 00:03:53.760]  叫「瞭望台」
[00:03:53.760 --> 00:03:57.760]  我在那裏為大家禱告耶和華
[00:03:57.760 --> 00:04:02.760]  好啊,我叫大家一齊禱告耶和華
[00:04:02.760 --> 00:04:06.760]  我們一齊來,我帶領大家仰望上帝
[00:04:06.760 --> 00:04:08.760]  他們就真的來了
[00:04:08.760 --> 00:04:10.760]  聚集在米斯巴
[00:04:10.760 --> 00:04:12.760]  叫他們來就來,搭一程車
[00:04:12.760 --> 00:04:14.760]  千萬不要這樣想
[00:04:14.760 --> 00:04:16.760]  今天如果我叫大家來聚集
[00:04:16.760 --> 00:04:17.760]  去教會等等
[00:04:17.760 --> 00:04:20.760]  一程車兩程車就到了
[00:04:20.760 --> 00:04:23.760]  一小時內香港都到了
[00:04:23.760 --> 00:04:27.760]  但是當日他們來是走路
[00:04:27.760 --> 00:04:29.760]  有錢一點的騎路
[00:04:29.760 --> 00:04:31.760]  不簡單的
[00:04:31.760 --> 00:04:33.760]  不是一叫就一定來的
[00:04:33.760 --> 00:04:35.760]  但是他們都來聚集
