
[00:00:00.000 --> 00:00:06.000]  首先代表教會恭祝大家聖誕快樂
[00:00:06.000 --> 00:00:09.000]  我們也跟隔壁左右說一聲聖誕快樂好不好
[00:00:09.000 --> 00:00:16.000]  聖誕快樂
[00:00:16.000 --> 00:00:19.000]  大家是不是都很開心呢
[00:00:19.000 --> 00:00:21.000]  特別是你說了聖誕快樂之後
[00:00:21.000 --> 00:00:23.000]  大家都會開心很多
[00:00:23.000 --> 00:00:27.000]  最近有沒有發生什麼事情令你很開心的
[00:00:27.000 --> 00:00:33.000]  有人嗎 有什麼事嗎
[00:00:33.000 --> 00:00:39.000]  我上個星期晚上看了一場世界盃
[00:00:39.000 --> 00:00:45.000]  球王美斯帶領阿根廷隊贏了世界盃
[00:00:45.000 --> 00:00:47.000]  我心裡也很開心
[00:00:47.000 --> 00:00:51.000]  很欣賞這個球王
[00:00:51.000 --> 00:00:55.000]  我相信很多人都很盼望
[00:00:55.000 --> 00:00:57.000]  我們叫美斯贏世界盃
[00:00:57.000 --> 00:00:59.000]  而不是阿根廷贏世界盃
[00:00:59.000 --> 00:01:01.000]  希望也有人贏得
[00:01:01.000 --> 00:01:05.000]  如願以償贏得世界盃
[00:01:05.000 --> 00:01:08.000]  當然看回新聞的片段
[00:01:08.000 --> 00:01:12.000]  這個阿根廷首都
[00:01:12.000 --> 00:01:15.000]  這個地方廣場裡面
[00:01:15.000 --> 00:01:18.000]  充滿人 擠滿人
[00:01:18.000 --> 00:01:21.000]  很開心 舉國歡騰
[00:01:21.000 --> 00:01:24.000]  當然世界盃一個國家贏了
[00:01:24.000 --> 00:01:26.000]  那個地方是很開心的
[00:01:26.000 --> 00:01:28.000]  特別是阿根廷
[00:01:28.000 --> 00:01:32.000]  其實它近年情況都不太理想
[00:01:32.000 --> 00:01:34.000]  特別是生活
[00:01:34.000 --> 00:01:37.000]  通脹可以說很厲害
[00:01:37.000 --> 00:01:43.000]  通脹在年初已經超過50%
[00:01:43.000 --> 00:01:45.000]  到了年底 現在的時間
[00:01:45.000 --> 00:01:47.000]  已經超過100%
[00:01:47.000 --> 00:01:49.000]  你想想通脹這麼厲害
[00:01:49.000 --> 00:01:52.000]  那些人因為贏了世界盃
[00:01:52.000 --> 00:01:57.000]  就暫時忘卻了這種困苦
[00:01:57.000 --> 00:01:59.000]  就算人們找到工作
[00:01:59.000 --> 00:02:03.000]  但是人工友都不能夠追上通脹
[00:02:03.000 --> 00:02:06.000]  所以他們都在這個困苦裡面
[00:02:06.000 --> 00:02:11.000]  一屆的世界盃都帶來他們很多的歡樂
[00:02:11.000 --> 00:02:14.000]  帶來他們暫時忘憂
[00:02:14.000 --> 00:02:17.000]  當時主席徐永平執事
[00:02:17.000 --> 00:02:19.000]  跟他們讀了一段經文
[00:02:19.000 --> 00:02:21.000]  可以說是發生在當代當時
[00:02:21.000 --> 00:02:23.000]  這個猶太民族裡面
[00:02:23.000 --> 00:02:25.000]  都是一個很艱難的時代
[00:02:25.000 --> 00:02:29.000]  因為長期被羅馬帝國管治著
[00:02:29.000 --> 00:02:34.000]  以致他們都不能夠獨立的一個國家
[00:02:34.000 --> 00:02:37.000]  或者他們的生活都很多的掣肘
