
[00:00:00.000 --> 00:00:05.620]  十月月份是教會城鎮家的感恩月
[00:00:05.620 --> 00:00:09.780]  讓我們一同去感恩
[00:00:09.780 --> 00:00:13.260]  在2003年11月22日
[00:00:13.260 --> 00:00:21.240]  神學院開始一種感恩節的感恩日聚會的做法
[00:00:21.240 --> 00:00:26.040]  這個做法是學生自己主動提出的
[00:00:26.040 --> 00:00:30.500]  他們說要對神說多謝的說話
[00:00:30.500 --> 00:00:36.960]  對老師 對童工說多謝的說話
[00:00:36.960 --> 00:00:41.620]  在14年前的第一次感恩日的早會
[00:00:41.620 --> 00:00:49.080]  我們一班老師學童工是非常感動的
[00:00:49.080 --> 00:00:52.040]  我感動到眼泛淚光
[00:00:52.040 --> 00:00:57.160]  有位姐妹是城鎮家 她感到流淚
[00:00:57.160 --> 00:01:00.680]  我們很感動 因為這班準傳道人
[00:01:00.680 --> 00:01:06.040]  他們會向神去感謝 向人去感謝
[00:01:06.040 --> 00:01:10.900]  這是代表著教會是有盼望的
[00:01:10.900 --> 00:01:16.880]  因為具有感謝心腸的人是有信心的
[00:01:16.880 --> 00:01:21.840]  他們是具有健康的 淑寧的生命
[00:01:21.840 --> 00:01:24.980]  是成長的生命
[00:01:24.980 --> 00:01:29.440]  剛才我們所讀的經文也是關乎感謝
[00:01:29.440 --> 00:01:33.720]  在經文當中我們看到耶穌基督要去耶路撒冷
[00:01:33.720 --> 00:01:38.500]  祂經過撒瑪利亞和加利利
[00:01:38.500 --> 00:01:40.800]  祂進入一個村子
[00:01:40.800 --> 00:01:45.180]  見到十位麻瘋病人迎面而來
[00:01:45.180 --> 00:01:48.480]  遠處的站著高聲說
[00:01:48.480 --> 00:01:52.360]  耶穌夫子可憐我們吧
[00:01:52.360 --> 00:01:58.400]  這十位麻瘋病人聽見耶穌基督的工作
[00:01:58.400 --> 00:02:02.080]  相信耶穌基督的權柄
[00:02:02.080 --> 00:02:05.320]  希望能夠得到耶穌基督的幫助
[00:02:05.320 --> 00:02:07.640]  他們知道耶穌基督的名字
[00:02:07.640 --> 00:02:11.080]  也稱耶穌基督為夫子
[00:02:11.080 --> 00:02:16.240]  希望耶穌基督能夠很快速地幫助他們
[00:02:16.240 --> 00:02:20.640]  他們的請求是一個很急切的請求
[00:02:20.640 --> 00:02:23.880]  他們在遠處,不是近處
[00:02:23.880 --> 00:02:26.120]  因為他們是麻瘋病人
[00:02:26.120 --> 00:02:28.320]  是不能夠靠近耶穌的
[00:02:28.320 --> 00:02:32.280]  他們在遠處提高聲音
[00:02:32.280 --> 00:02:33.720]  在那裏呼喊
[00:02:33.720 --> 00:02:37.160]  希望耶穌基督能夠聽見
[00:02:37.160 --> 00:02:39.320]  耶穌基督聽見
[00:02:39.320 --> 00:02:41.160]  就對他們說
