
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 主你們平安
[00:00:30.000 --> 00:00:32.000]  死亡
[00:00:32.000 --> 00:00:36.000]  唯有主耶穌降生來到這個世界
[00:00:36.000 --> 00:00:38.000]  是祂自己選擇
[00:00:38.000 --> 00:00:44.000]  祂的降生是為了救贖你和我的罪惡
[00:00:44.000 --> 00:00:48.000]  讓每一個接受耶穌救恩的人
[00:00:48.000 --> 00:00:50.000]  脫離罪的困所
[00:00:50.000 --> 00:00:52.000]  與神和好
[00:00:52.000 --> 00:00:54.000]  成為一個新造的人
[00:00:54.000 --> 00:00:58.000]  獲得生命的意義和盼望
[00:00:58.000 --> 00:01:06.000]  耶穌是為他者存在的典範
[00:01:06.000 --> 00:01:10.000]  今天是傳道主日
[00:01:10.000 --> 00:01:13.000]  願意透過耶穌出道
[00:01:13.000 --> 00:01:18.000]  在勞加福音記述耶穌在拿撒勒的會堂
[00:01:18.000 --> 00:01:21.000]  自己成長的地方
[00:01:21.000 --> 00:01:24.000]  基督福音宣言
[00:01:24.000 --> 00:01:29.000]  讓我們反省福音是甚麼
[00:01:29.000 --> 00:01:31.000]  我們應該如何回應
[00:01:31.000 --> 00:01:36.000]  基督託付給我們的福音使命
[00:01:36.000 --> 00:01:39.000]  我們同心祈禱
[00:01:39.000 --> 00:01:43.000]  創造宇宙天地萬物的真神
[00:01:43.000 --> 00:01:47.000]  讓我們在今天的崇拜裡
[00:01:47.000 --> 00:01:51.000]  再一次安靜等候
[00:01:51.000 --> 00:01:55.000]  容讓神的獨生兒子耶穌基督
[00:01:55.000 --> 00:01:57.000]  求祢施恩
[00:01:57.000 --> 00:01:59.000]  可憐這個罪人
[00:01:59.000 --> 00:02:01.000]  願主耶穌基督的補血
[00:02:01.000 --> 00:02:04.000]  再一次洗淨這個不配的人的罪
[00:02:04.000 --> 00:02:07.000]  容讓這個不配的人
[00:02:07.000 --> 00:02:10.000]  能夠成為神話語的出口
[00:02:10.000 --> 00:02:13.000]  將主的恩賢解明
[00:02:13.000 --> 00:02:17.000]  容讓真理聖靈開啟我們的心竅
[00:02:17.000 --> 00:02:20.000]  讓我們能夠進入真理
[00:02:20.000 --> 00:02:22.000]  容以將以下的環節
[00:02:22.000 --> 00:02:27.000]  仰望、交託、願神保守、恩靈
[00:02:27.000 --> 00:02:29.000]  垂聽祈禱
[00:02:29.000 --> 00:02:32.000]  在靠賴主基督耶穌聖名祈求
[00:02:32.000 --> 00:02:34.000]  阿們
[00:02:50.000 --> 00:02:53.000]  思索如何去回應
[00:02:53.000 --> 00:02:57.000]  基督託付給我們的福音使命
[00:02:57.000 --> 00:03:02.000]  使命宣言是聖命組織的目的
[00:03:02.000 --> 00:03:05.000]  以及它為何存在
[00:03:05.000 --> 00:03:08.000]  使命宣言通常都包括
[00:03:08.000 --> 00:03:14.000]  對組織、功能和目標的一般描述
[00:03:14.000 --> 00:03:20.000]  使命宣言澄清這間公司是甚麼
[00:03:20.000 --> 00:03:22.000]  和是哪一個
[00:03:22.000 --> 00:03:26.000]  路加福音來到記述耶穌出道
[00:03:26.000 --> 00:03:31.000]  第一次公開侍奉的宣言
[00:03:31.000 --> 00:03:33.000]  宣告祂是哪一個
[00:03:33.000 --> 00:03:37.000]  祂為了甚麼而活
[00:03:37.000 --> 00:03:41.000]  耶穌自己存在是為了甚麼
[00:03:41.000 --> 00:03:46.000]  祂努力實踐的目標和方向
[00:03:46.000 --> 00:03:53.000]  《聖經文》路加福音四章十四節到四十四節
[00:03:53.000 --> 00:03:58.000]  好像一個三文治的包夾
[00:03:58.000 --> 00:04:03.000]  可以一帶一面講到耶穌的侍奉
[00:04:03.000 --> 00:04:07.000]  來到在加利利開始
[00:04:07.000 --> 00:04:10.000]  同樣離開加利利
[00:04:10.000 --> 00:04:13.000]  在加利利這個地方
[00:04:13.000 --> 00:04:17.000]  同樣在加利利這個地方繼續工作
[00:04:17.000 --> 00:04:19.000]  離開加勒馬路
[00:04:19.000 --> 00:04:23.000]  在十四節講到耶穌滿有聖靈的能力
[00:04:23.000 --> 00:04:25.000]  回到加利利
[00:04:25.000 --> 00:04:28.000]  祂的名聲就全遍了四方
[00:04:28.000 --> 00:04:31.000]  在四十四節這樣講
[00:04:31.000 --> 00:04:39.000]  「於是耶穌在加利利的各會堂傳道」
[00:04:39.000 --> 00:04:44.000]  加利利是地區的名稱
[00:04:44.000 --> 00:04:48.000]  拿撒勒是鄉村的名字
[00:04:48.000 --> 00:04:53.000]  我想路加醫生以拿撒勒會堂的宣講
[00:04:53.000 --> 00:04:56.000]  作為耶穌侍奉的起點
[00:04:56.000 --> 00:04:58.000]  是別具意義的
[00:04:58.000 --> 00:05:01.000]  不單是宣講的內容
[00:05:01.000 --> 00:05:03.000]  更加是宣講的對象
[00:05:03.000 --> 00:05:06.000]  和宣講的地點
[00:05:06.000 --> 00:05:10.000]  讓我來在下面解釋
[00:05:10.000 --> 00:05:13.000]  耶穌的基督福音宣言
[00:05:13.000 --> 00:05:19.000]  來表達一份耶穌有強烈的使命感
[00:05:19.000 --> 00:05:22.000]  這是講到第一點
[00:05:22.000 --> 00:05:26.000]  在經文裡面十六、十七節講到
