
[00:00:00.000 --> 00:00:01.800]  由我一齊在聆聽主導以前
[00:00:01.800 --> 00:00:03.940]  我們一齊同心低頭禱告先
[00:00:03.940 --> 00:00:08.320]  父神啊 多謝祢
[00:00:08.320 --> 00:00:12.440]  多謝祢讓我們能夠在祢的當中
[00:00:12.440 --> 00:00:13.840]  去有祢的啟示
[00:00:13.840 --> 00:00:16.240]  有祢的僕人的見證
[00:00:16.240 --> 00:00:17.880]  以及祢們的侍奉
[00:00:17.880 --> 00:00:18.840]  成為我們
[00:00:18.840 --> 00:00:22.320]  在我們今天走這條淑靈的道路的上面
[00:00:22.320 --> 00:00:24.000]  有一個很好的典範
[00:00:24.000 --> 00:00:27.080]  甚至有很多地方值得我們借鏡
[00:00:27.080 --> 00:00:29.400]  如何去學習和跟從
[00:00:30.600 --> 00:00:32.280]  但最重要的祈求主祢
[00:00:32.280 --> 00:00:33.800]  讓我們能夠了解
[00:00:33.800 --> 00:00:34.880]  這些的
[00:00:34.880 --> 00:00:36.600]  屬靈的領袖
[00:00:36.600 --> 00:00:38.240]  或者祢的工人
[00:00:38.240 --> 00:00:39.320]  如何每一個
[00:00:39.320 --> 00:00:41.760]  在主祢面前的侍奉
[00:00:41.760 --> 00:00:43.120]  那份的心智
[00:00:43.120 --> 00:00:46.360]  讓我們今天做基督徒
[00:00:46.360 --> 00:00:47.560]  也都好好地管束
[00:00:47.560 --> 00:00:49.000]  受聖靈的引導
[00:00:49.000 --> 00:00:50.440]  知道我們如何去
[00:00:50.440 --> 00:00:51.440]  在
[00:00:51.440 --> 00:00:54.080]  上帝祢所安托的地方裡面
[00:00:54.080 --> 00:00:55.840]  做美好的見證
[00:00:55.840 --> 00:00:58.560]  而不是為了自己而出位
[00:00:58.560 --> 00:01:01.560]  而不是為了自己有多風光而去做事
[00:01:01.560 --> 00:01:03.120]  甚至不是為了
[00:01:03.120 --> 00:01:04.200]  如何去
[00:01:04.200 --> 00:01:08.480]  高舉我們基督徒有多特別不同
[00:01:08.480 --> 00:01:10.680]  而是讓我們去
[00:01:10.680 --> 00:01:13.160]  切切實實地去
[00:01:13.160 --> 00:01:14.640]  讓人認識到
[00:01:14.640 --> 00:01:16.840]  這位創始承宗的神
[00:01:16.840 --> 00:01:18.320]  是如何去
[00:01:18.320 --> 00:01:19.560]  引導人
[00:01:19.560 --> 00:01:21.560]  能夠歸回到一個
[00:01:21.560 --> 00:01:22.680]  無罪
[00:01:22.680 --> 00:01:25.360]  重擔的一個屬靈光景
[00:01:25.360 --> 00:01:27.320]  求祢的幫助帶領
[00:01:27.320 --> 00:01:28.600]  我們同心的禱告
