
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,主內平安,今天我們一起來讀神的話吧!
[00:00:07.000 --> 00:00:16.000]  我們今天要跟弟兄姊妹所分享的是彼得前書
[00:00:16.000 --> 00:00:24.000]  我們今天要說的題目是從受苦到榮耀
[00:00:24.000 --> 00:00:28.000]  我們要先看的是彼得前書
[00:00:29.000 --> 00:00:33.000]  第一章第一節到二十五節這一段
[00:00:33.000 --> 00:00:43.000]  我們先把第一章的第三節到第七節一起來看
[00:00:43.000 --> 00:00:49.000]  我們一部分一部分來分析
[00:00:49.000 --> 00:00:58.000]  彼得前書在第一章第三節開始
[00:00:59.000 --> 00:01:03.000]  願頌讚歸我們主耶穌基督的父神
[00:01:03.000 --> 00:01:06.000]  祂曾照自己的大臉明
[00:01:06.000 --> 00:01:10.000]  藉耶穌基督從死裡復活
[00:01:10.000 --> 00:01:12.000]  重生了我們
[00:01:12.000 --> 00:01:14.000]  教我們有活潑的盼望
[00:01:14.000 --> 00:01:17.000]  可以得到不能朽壞
[00:01:17.000 --> 00:01:18.000]  不能玷污
[00:01:18.000 --> 00:01:20.000]  不能衰殘
[00:01:20.000 --> 00:01:24.000]  為你們承留在天上的基業
[00:01:24.000 --> 00:01:28.000]  你們這英姓猛神能力保守的人
[00:01:28.000 --> 00:01:34.000]  必能折磨所預備到末世要顯現的救恩
[00:01:34.000 --> 00:01:38.000]  因此你們是大有喜樂
[00:01:38.000 --> 00:01:41.000]  但如今在百般的試煉中
[00:01:41.000 --> 00:01:43.000]  暫時憂愁
[00:01:43.000 --> 00:01:47.000]  叫你們的信心既被試驗
[00:01:47.000 --> 00:01:49.000]  就比那被我試驗
[00:01:49.000 --> 00:01:54.000]  仍然能壞的精子更顯寶貴
[00:01:54.000 --> 00:01:58.000]  可以在耶穌基督顯現的時候
[00:01:58.000 --> 00:02:03.000]  做做稱讚榮耀尊貴
[00:02:03.000 --> 00:02:08.000]  我們今天就來先分享的第一章
[00:02:08.000 --> 00:02:13.000]  這題目是從受苦到榮耀
[00:02:13.000 --> 00:02:16.000]  我們先有一點禱告
[00:02:16.000 --> 00:02:18.000]  父神我們感謝你
[00:02:18.000 --> 00:02:21.000]  你給我們有機會一同來到你面前
[00:02:21.000 --> 00:02:24.000]  來敬拜你,來學習你的話
[00:02:24.000 --> 00:02:27.000]  但你的靈與我們同在
[00:02:27.000 --> 00:02:29.000]  因為你的靈在那裡
[00:02:29.000 --> 00:02:31.000]  那裡就得到自由
[00:02:31.000 --> 00:02:34.000]  所以我們把下面的時間都交給你
[00:02:34.000 --> 00:02:38.000]  願聖靈帶領我們來讀你的話
[00:02:38.000 --> 00:02:41.000]  叫我們坐在主的話中間
[00:02:41.000 --> 00:02:44.000]  我們得到力量,我們得到亮光
[00:02:44.000 --> 00:02:46.000]  能夠走前面的道路
[00:02:46.000 --> 00:02:49.000]  願神與我們同在
[00:02:49.000 --> 00:02:51.000]  我們這樣禱告
[00:02:51.000 --> 00:02:53.000]  是奉耶穌基督的名
[00:02:53.000 --> 00:02:55.000]  阿門
[00:02:55.000 --> 00:02:57.000]  弟兄姊妹
[00:02:57.000 --> 00:02:59.000]  我們今天要來讀的是
[00:02:59.000 --> 00:03:01.000]  彼得前書的第一講
[00:03:01.000 --> 00:03:05.000]  就是從受苦到榮耀
[00:03:05.000 --> 00:03:07.000]  我們要看的經文
[00:03:07.000 --> 00:03:09.000]  是剛才那段經文
[00:03:09.000 --> 00:03:13.000]  也可以從第一節到二十五節
[00:03:13.000 --> 00:03:16.000]  整個這大段的經文
[00:03:16.000 --> 00:03:19.000]  我們看到彼得前書
[00:03:19.000 --> 00:03:23.000]  作者是使徒彼得
[00:03:23.000 --> 00:03:29.000]  但是我們從這個福音書裡頭所講的彼得
[00:03:29.000 --> 00:03:32.000]  跟這裡我們所看到的彼得
[00:03:32.000 --> 00:03:36.000]  好像是有不同的彼得一樣的
[00:03:36.000 --> 00:03:39.000]  在福音書當中
[00:03:39.000 --> 00:03:43.000]  我們看到當耶穌告訴門徒
[00:03:43.000 --> 00:03:46.000]  祂要上耶路撒冷受苦
[00:03:46.000 --> 00:03:48.000]  受害的時候
[00:03:48.000 --> 00:03:52.000]  彼得就說主啊萬不可如此
[00:03:52.000 --> 00:03:56.000]  當耶穌要受苦受害的時候
[00:03:56.000 --> 00:03:58.000]  彼得攔阻
