
[00:00:00.000 --> 00:00:02.560]  好 鄧小妹 讓我們聽神的話語
[00:00:02.560 --> 00:00:03.780]  先同心地祈禱
[00:00:03.780 --> 00:00:06.080]  諸如此類 我們在聽神話語之前
[00:00:06.080 --> 00:00:07.440]  先同心地祈禱
[00:00:07.440 --> 00:00:10.100]  各位親愛的父神 多謝你
[00:00:10.100 --> 00:00:14.900]  讓我們能夠在今天這麼美麗的星期天的早上
[00:00:14.900 --> 00:00:16.900]  再次來到你的面前
[00:00:16.900 --> 00:00:18.540]  我們一同的鄧小妹
[00:00:18.540 --> 00:00:20.800]  給自己守望 一同的學習
[00:00:20.800 --> 00:00:22.800]  一同的去敬拜你
[00:00:22.800 --> 00:00:25.680]  讓我們能夠真的將新心靈
[00:00:25.680 --> 00:00:29.000]  再次去靠近主你的心
[00:00:29.000 --> 00:00:31.760]  好使我們能夠知道怎樣
[00:00:31.760 --> 00:00:34.720]  學習伴隨走主你的道路
[00:00:34.720 --> 00:00:36.280]  求你願我同在
[00:00:36.280 --> 00:00:39.920]  預備我的心能夠聆聽你的話語
[00:00:39.920 --> 00:00:42.880]  成為我們腳前的燈 路上的光
[00:00:42.880 --> 00:00:43.840]  各位親愛的親父
[00:00:43.840 --> 00:00:47.080]  感謝你給我們今天能夠再次來到
[00:00:47.080 --> 00:00:53.400]  你的面前 在這個風光明媚的一個週日的早上
[00:00:53.400 --> 00:00:54.760]  一同來來敬拜
[00:00:54.760 --> 00:00:56.760]  我們再次獻上感謝
[00:00:56.760 --> 00:01:00.400]  讓我們也能夠在這個長週末的時間
[00:01:00.400 --> 00:01:02.640]  讓我們能夠悠揚上師
[00:01:02.640 --> 00:01:05.800]  使我們能夠再次活在主你的當中
[00:01:05.800 --> 00:01:09.080]  我們也同時再次獻上感謝
[00:01:09.080 --> 00:01:12.040]  但願今天我們再次聆聽你的話語
[00:01:12.040 --> 00:01:13.840]  使我們能夠學習
[00:01:13.840 --> 00:01:17.200]  知道怎樣隨主你走我們人生的道路
[00:01:17.200 --> 00:01:21.600]  也同時怎樣預備走永恆的生命的道路
[00:01:21.600 --> 00:01:22.840]  與你同活
