
[00:00:00.000 --> 00:00:03.000]  我們今天的題目是聖徒的奉獻
[00:00:03.000 --> 00:00:05.000]  什麼叫做聖徒
[00:00:05.000 --> 00:00:08.000]  下一次我們就會講到聖徒
[00:00:08.000 --> 00:00:10.000]  我們中間只要信了主
[00:00:10.000 --> 00:00:12.000]  每一個都是聖徒
[00:00:12.000 --> 00:00:13.000]  我發現很多時候
[00:00:13.000 --> 00:00:15.000]  我們弟兄姊妹很謙卑
[00:00:15.000 --> 00:00:17.000]  你問他聖徒的時候
[00:00:17.000 --> 00:00:20.000]  他說我還差遠了
[00:00:20.000 --> 00:00:22.000]  下一次你一定要來聽
[00:00:22.000 --> 00:00:23.000]  聽了之後你就會明白了
[00:00:23.000 --> 00:00:25.000]  你就會很感謝神
[00:00:25.000 --> 00:00:28.000]  你就會到處跟人家講我是聖徒
[00:00:28.000 --> 00:00:31.000]  我們上次複習一下
[00:00:31.000 --> 00:00:33.000]  關於怎麼樣做一個
[00:00:33.000 --> 00:00:36.000]  忠心的管家在金錢上面
[00:00:36.000 --> 00:00:37.000]  第一個我們要認識的
[00:00:37.000 --> 00:00:39.000]  就是神是權力的主
[00:00:39.000 --> 00:00:42.000]  我擁有的一切都是神所賜的
[00:00:42.000 --> 00:00:43.000]  我的能力
[00:00:43.000 --> 00:00:44.000]  我的智慧
[00:00:44.000 --> 00:00:45.000]  我的聰明
[00:00:45.000 --> 00:00:46.000]  我的才智
[00:00:46.000 --> 00:00:48.000]  我能賺錢的機會
[00:00:48.000 --> 00:00:50.000]  都是神所賜的
[00:00:50.000 --> 00:00:51.000]  第二個
[00:00:51.000 --> 00:00:53.000]  聖經上告訴我們說
[00:00:53.000 --> 00:00:56.000]  要用你的財物尊榮耶和華
[00:00:56.000 --> 00:00:57.000]  第三個
[00:00:57.000 --> 00:00:59.000]  神為了供給我們每天所需用的
[00:00:59.000 --> 00:01:01.000]  神把財物賜給我們
[00:01:01.000 --> 00:01:04.000]  祂是要供給我們每天所需用的
[00:01:04.000 --> 00:01:05.000]  教我們過一種生活
[00:01:05.000 --> 00:01:07.000]  是祂所喜悅的
[00:01:07.000 --> 00:01:08.000]  換句話講就是
