
[00:00:00.000 --> 00:00:06.000]  我們來讀一段聖經,在獵王記下十三章第十四到第十九節
[00:00:06.000 --> 00:00:11.000]  獵王記下第十三章,這裡說,以利沙得了必死的病
[00:00:11.000 --> 00:00:15.000]  以色列王約阿濕下來看他,扶在他臉上哭泣說
[00:00:15.000 --> 00:00:19.000]  我父啊,我父啊,以色列的戰車馬兵啊,十五節
[00:00:19.000 --> 00:00:23.000]  以利沙對他說,你取弓箭來,王就取了弓箭來
[00:00:23.000 --> 00:00:27.000]  因為對以色列王說,你用手拿弓,王就用手拿弓
[00:00:27.000 --> 00:00:31.000]  以利沙暗守在王的手上,十七節
[00:00:31.000 --> 00:00:34.000]  說你開朝東的窗戶,他就開了
[00:00:34.000 --> 00:00:36.000]  以利沙說射箭吧,他就射箭
[00:00:36.000 --> 00:00:41.000]  以利沙說這是耶華的得勝箭,就是戰勝雅萊人的箭
[00:00:41.000 --> 00:00:46.000]  因為你必在雅佛攻打雅萊人直到滅盡他們,十八節
[00:00:46.000 --> 00:00:49.000]  以利沙又說取幾支箭來,他就取了來
[00:00:49.000 --> 00:00:53.000]  以利沙說打地吧,他就打了三次,便止住了
[00:00:53.000 --> 00:00:58.000]  神人向他發怒說應當擊打五六次,就能夠攻打雅萊人直到滅盡
[00:00:58.000 --> 00:01:01.000]  現在只能打敗雅萊人三次
[00:01:01.000 --> 00:01:04.000]  好,我們就讀到這裡
[00:01:04.000 --> 00:01:10.000]  今天我們所處的一個世代,真的是一個快速改變的世代
[00:01:10.000 --> 00:01:17.000]  光是從上個月的新聞,你就可以看見多少驚心動魄的事情發生
[00:01:17.000 --> 00:01:21.000]  從伊波拉的病毒,從西非蔓延到美國
[00:01:21.000 --> 00:01:26.000]  你就可以看見帶過美國人多大的一個恐慌
[00:01:26.000 --> 00:01:32.000]  事實上那個恐慌似乎是比西非人的恐慌還更恐慌,我發現
[00:01:32.000 --> 00:01:36.000]  經過幾個禮拜之後,現在終於平息下來
[00:01:36.000 --> 00:01:40.000]  股票市場在短短兩個禮拜之間
[00:01:40.000 --> 00:01:46.000]  從最高點跌到最低點,然後又再爬起到歷史的新高
[00:01:46.000 --> 00:01:51.000]  我常說那是比雲霄飛車更緊張刺激的
