
[00:00:00.000 --> 00:00:02.800]  今天我們要討論的題目是
[00:00:02.800 --> 00:00:04.940]  屬靈領袖的心聲
[00:00:04.940 --> 00:00:07.580]  哥倫多前書第四章
[00:00:07.580 --> 00:00:10.800]  說起心聲 我不知道大家最近
[00:00:10.800 --> 00:00:15.440]  有沒有跟別人說過你內心的心底話
[00:00:15.440 --> 00:00:18.300]  無論你的家人 無論你的朋友
[00:00:18.300 --> 00:00:19.700]  這些心聲
[00:00:19.700 --> 00:00:22.500]  可能你不是常常說 但你知道很重要
[00:00:22.500 --> 00:00:25.800]  亦代表你內心很真誠的分享
[00:00:25.800 --> 00:00:29.500]  我相信大家分開教會都很清楚知道
[00:00:29.500 --> 00:00:31.100]  每一次轉天氣
[00:00:31.100 --> 00:00:34.400]  我都非常厲害敏感咳嗽
[00:00:34.400 --> 00:00:37.900]  過去每年轉一次至少一個月敏感咳嗽
[00:00:37.900 --> 00:00:39.800]  但剛剛這一年
[00:00:39.800 --> 00:00:42.700]  如果你一直都在 你知道我從上年十月
[00:00:42.700 --> 00:00:46.200]  轉天氣咳到十一月 十二月 到一月
[00:00:46.200 --> 00:00:49.000]  到一月 我知道都是大件事
[00:00:49.000 --> 00:00:53.900]  因為一月開始發現原來有新冠狀病毒
[00:00:53.900 --> 00:00:59.700]  它的病狀跟我很相似 就是咳嗽
[00:00:59.700 --> 00:01:01.900]  我跟神說這次真的大件事
[00:01:01.900 --> 00:01:04.700]  我再咳嗽就大件事 玩完了
[00:01:04.700 --> 00:01:06.700]  I'm finished
[00:01:06.700 --> 00:01:10.700]  很感恩 上次都提過有很多種藥
[00:01:10.700 --> 00:01:16.500]  從非洲 從印度 從大陸 還沒到火星
[00:01:16.500 --> 00:01:18.900]  有差不多一百種藥
[00:01:18.900 --> 00:01:21.600]  有人煲東西給我喝
[00:01:21.600 --> 00:01:22.800]  我老婆幫我洗腳
[00:01:22.800 --> 00:01:24.700]  她說有洗腳暖一點不咳嗽
[00:01:24.700 --> 00:01:26.600]  有用嗎 我不知道
[00:01:26.600 --> 00:01:28.800]  不過我當然讓她趁機洗一下
[00:01:28.800 --> 00:01:31.000]  都洗了一兩個星期
[00:01:31.000 --> 00:01:32.800]  看醫生 什麼都做
[00:01:32.800 --> 00:01:35.900]  很感恩 它爆發前我完全康復
[00:01:35.900 --> 00:01:37.500]  敏感咳嗽 你看到我沒咳嗽
[00:01:37.500 --> 00:01:41.400]  但我不知道爆發完之後會不會繼續咳嗽
[00:01:41.400 --> 00:01:42.500]  我不知道
[00:01:42.500 --> 00:01:44.700]  不過有一件事我沒跟大家說
[00:01:44.700 --> 00:01:48.900]  有一晚 在一月尾 我真的發燒
[00:01:48.900 --> 00:01:51.400]  不用怕 四十多天前
[00:01:51.400 --> 00:01:54.500]  發燒又有又沒有
[00:01:54.500 --> 00:01:55.900]  於是乎我激起心肝
[00:01:55.900 --> 00:01:59.700]  我真的要去驗 並且要去照肺
[00:01:59.700 --> 00:02:01.700]  我記得在照肺前那一晚
[00:02:01.700 --> 00:02:05.000]  我跟老婆說了很多心聲
[00:02:05.000 --> 00:02:07.900]  我跟她說其實我真的很愛你
[00:02:07.900 --> 00:02:11.000]  你明白嗎 你愛不愛我呢
[00:02:11.000 --> 00:02:13.300]  說完這些話之後
[00:02:13.300 --> 00:02:16.900]  我就告訴你其實我的人壽保險放在哪裡
[00:02:16.900 --> 00:02:19.300]  如果我出不來的時候
[00:02:19.300 --> 00:02:20.100]  你在哪裡呢
[00:02:20.100 --> 00:02:22.500]  賺完錢 你的錢應該怎樣管理
[00:02:22.500 --> 00:02:26.300]  因為我一直都管理家裡的金錢
[00:02:26.300 --> 00:02:29.300]  鼓勵他怎樣照顧好兩個小孩
[00:02:29.300 --> 00:02:30.300]  我還有幾件事
[00:02:30.300 --> 00:02:33.400]  如果我真的確診 你千萬不要來探望我
[00:02:33.400 --> 00:02:35.000]  因為我知道你很愛我
[00:02:35.000 --> 00:02:36.400]  你不要叫小孩來探望我
[00:02:36.400 --> 00:02:37.700]  不要叫我的戰友來探望我
[00:02:37.700 --> 00:02:39.400]  不要叫教會來探望我
[00:02:39.400 --> 00:02:40.600]  為什麼呢
[00:02:40.600 --> 00:02:42.500]  因為我跟她說
[00:02:42.500 --> 00:02:45.000]  我已經覺得很被愛
[00:02:45.000 --> 00:02:50.000]  我也跟她說不要和上帝不開心
[00:02:50.000 --> 00:02:52.200]  因為上帝一生對我很好
[00:02:52.200 --> 00:02:53.900]  我真的很真誠地跟她說
[00:02:53.900 --> 00:02:56.800]  於是說到差不多的時候我就跟她說
[00:02:56.800 --> 00:02:58.100]  不過我說漏了一件事
[00:02:58.100 --> 00:03:00.600]  我今天早上才發現
[00:03:00.600 --> 00:03:02.700]  我忘了說如果我給了這麼多
[00:03:02.700 --> 00:03:04.400]  人壽保險都不夠
[00:03:04.400 --> 00:03:09.400]  最後你應該找柏西爾川救的
[00:03:09.400 --> 00:03:12.400]  於是說完之後我就去照了
[00:03:12.400 --> 00:03:14.500]  照完很感恩是清的
[00:03:14.500 --> 00:03:16.800]  到現在都沒事
[00:03:16.800 --> 00:03:19.900]  這是我當時對家裡的心聲
[00:03:19.900 --> 00:03:23.300]  因為外在的疫情
[00:03:23.300 --> 00:03:26.500]  保羅當日在哥倫多前線的第四章
[00:03:26.500 --> 00:03:29.000]  同樣有外在的衝擊
[00:03:29.000 --> 00:03:30.900]  不過衝擊不是疫情
[00:03:30.900 --> 00:03:34.800]  是當時面對哥倫多每一個信徒
[00:03:34.800 --> 00:03:38.200]  或者人民對他的攻擊
[00:03:38.200 --> 00:03:41.900]  他開始對教導中在困難裡面
[00:03:41.900 --> 00:03:43.200]  去到第四章
[00:03:43.200 --> 00:03:44.700]  如果我們記得第一章說到什麼
[00:03:44.700 --> 00:03:47.500]  是分黨的
[00:03:47.500 --> 00:03:48.800]  第二章說什麼
[00:03:48.800 --> 00:03:50.500]  他們認了有智慧
[00:03:50.500 --> 00:03:53.200]  保羅說神的愉悅比你智慧
[00:03:53.200 --> 00:03:54.700]  神的軟弱比你剛強
[00:03:54.700 --> 00:03:56.300]  所以神選一些愉悅的
[00:03:56.300 --> 00:03:57.500]  叫有智慧的
[00:03:57.500 --> 00:03:59.100]  什麼 羞愧
[00:03:59.100 --> 00:04:02.800]  第三章當時是梁牧師說
[00:04:02.800 --> 00:04:03.700]  柏西爾川
[00:04:03.700 --> 00:04:05.700]  他說你還是吃奶的嬰孩
[00:04:05.700 --> 00:04:06.800]  不長大
[00:04:06.800 --> 00:04:08.000]  去到第四章
[00:04:08.000 --> 00:04:10.100]  非常寶貴的教導
[00:04:10.100 --> 00:04:11.600]  今天將會說
[00:04:11.600 --> 00:04:14.500]  保羅心聲的三樣
[00:04:14.500 --> 00:04:16.200]  所以跟隔壁小小聲說
[00:04:16.200 --> 00:04:17.300]  不要噴到他
[00:04:17.300 --> 00:04:20.200]  三樣心聲
[00:04:20.200 --> 00:04:22.700]  第一樣我們立刻去看一下
[00:04:22.700 --> 00:04:25.700]  怎樣看待神的領袖
[00:04:25.700 --> 00:04:28.500]  我們先看第四章一到三節
[00:04:28.500 --> 00:04:29.200]  一起讀好不好
[00:04:29.200 --> 00:04:30.000]  一二三
[00:04:30.000 --> 00:04:32.800]  人應當以我們為基督的執事
[00:04:32.800 --> 00:04:35.200]  (大約十五分鐘的時間內)
[00:04:35.200 --> 00:04:36.900]  (我尋求意義和解釋)
[00:04:36.900 --> 00:04:38.700]  (以至於解開人的心)
[00:04:38.700 --> 00:04:40.600]  (解開地獄和地獄的密密麻麻)
[00:04:40.600 --> 00:04:42.000]  (地獄和地獄的密密麻麻)
[00:04:42.000 --> 00:04:44.100]  (我會為地獄和地獄的密密麻麻)
[00:04:44.100 --> 00:04:46.700]  (要解開地獄和地獄的密密麻麻)
[00:04:46.700 --> 00:04:48.100]  為什麼突然說這件事呢?
[00:04:48.100 --> 00:04:49.700]  看我為基督的執事
[00:04:49.700 --> 00:04:50.800]  執事的原文是什麼?
[00:04:50.800 --> 00:04:52.400]  僕人
[00:04:52.400 --> 00:04:53.700]  管家是什麼?
[00:04:53.700 --> 00:04:55.100]  Steward and Trust
[00:04:55.100 --> 00:04:56.400]  不是你的
[00:04:56.400 --> 00:04:57.100]  為什麼這麼說呢?
[00:04:57.100 --> 00:04:59.200]  因為到了三章尾
[00:04:59.200 --> 00:05:00.100]  他提到這件事
[00:05:00.100 --> 00:05:05.000]  所以無論誰都不可以拿人
[00:05:05.000 --> 00:05:06.400]  拿領袖
[00:05:06.400 --> 00:05:08.500]  原本意思是誇口
[00:05:08.500 --> 00:05:08.900]  誇口什麼?
[00:05:08.900 --> 00:05:10.100]  我跟這個厲害一點
[00:05:10.100 --> 00:05:11.100]  你那個差一點
[00:05:11.100 --> 00:05:12.300]  我這樣走好一點
[00:05:12.300 --> 00:05:13.700]  我靈明這樣不同
[00:05:13.700 --> 00:05:14.700]  或者是保羅
[00:05:14.700 --> 00:05:16.000]  三章二十二節
[00:05:16.000 --> 00:05:16.800]  或者是阿波羅
[00:05:16.800 --> 00:05:17.400]  或者是基法
[00:05:17.400 --> 00:05:18.000]  或者是世界華
[00:05:18.000 --> 00:05:19.400]  或者是生或者死
[00:05:19.400 --> 00:05:20.400]  如果大家記得
[00:05:20.400 --> 00:05:22.200]  特別是第一章他提到
[00:05:22.200 --> 00:05:23.900]  有人說我是屬哪個?
[00:05:23.900 --> 00:05:25.700]  保羅的
[00:05:25.700 --> 00:05:27.700]  有人說我是屬阿波羅的
[00:05:27.700 --> 00:05:28.800]  有人說我屬基法
[00:05:28.800 --> 00:05:30.100]  有人說我是屬基督
[00:05:30.100 --> 00:05:32.200]  四個特質
[00:05:32.200 --> 00:05:33.800]  都很不同
[00:05:33.800 --> 00:05:34.600]  屬保羅是什麼?
[00:05:34.600 --> 00:05:37.100]  我屬大領袖多厲害
[00:05:37.100 --> 00:05:38.200]  一個是屬什麼?
[00:05:38.200 --> 00:05:38.700]  屬基督
[00:05:38.700 --> 00:05:41.700]  即是我今天在那間公司做的多厲害
[00:05:41.700 --> 00:05:45.300]  我今天在這個位置多厲害
[00:05:45.300 --> 00:05:46.800]  他說我屬阿波羅
[00:05:46.800 --> 00:05:48.800]  阿波羅當時講道很厲害
[00:05:48.800 --> 00:05:50.100]  講道家很吸引
[00:05:50.100 --> 00:05:51.200]  很有魅力
[00:05:51.200 --> 00:05:52.300]  我屬基法
[00:05:52.300 --> 00:05:53.400]  即是彼得的意思
[00:05:53.400 --> 00:05:56.900]  我是耶穌三大入息弟子
[00:05:56.900 --> 00:05:57.800]  我是跟他的
[00:05:57.800 --> 00:05:59.400]  這個仕途很厲害
[00:05:59.400 --> 00:06:00.500]  或者我是屬基督
[00:06:00.500 --> 00:06:01.000]  屬基督是什麼?
[00:06:01.000 --> 00:06:03.500]  我屬靈比你高
[00:06:03.500 --> 00:06:04.800]  所以去到第四章
[00:06:04.800 --> 00:06:08.000]  他說我們是神的領袖
[00:06:08.000 --> 00:06:09.300]  神的目者
[00:06:09.300 --> 00:06:11.900]  不過只不過是執事
[00:06:11.900 --> 00:06:13.100]  執事是什麼?
[00:06:13.100 --> 00:06:14.700]  是僕人
[00:06:14.700 --> 00:06:15.400]  不是看我
[00:06:15.400 --> 00:06:18.400]  我們的確有神奧秘士的管家
[00:06:18.400 --> 00:06:19.400]  我們有的
[00:06:19.400 --> 00:06:21.100]  因為如果我們按照神的吩咐
[00:06:21.100 --> 00:06:22.500]  去講神的話語
[00:06:22.500 --> 00:06:25.500]  神的話帶有能力去改變生命
[00:06:25.500 --> 00:06:26.800]  你看到很多人信主
[00:06:26.800 --> 00:06:27.800]  他吃白粉會改變
[00:06:27.800 --> 00:06:29.100]  他打老婆不打
[00:06:29.100 --> 00:06:30.900]  他很自私去分享
[00:06:30.900 --> 00:06:32.100]  這個是神話的奧秘
[00:06:32.100 --> 00:06:35.100]  甚至我們有時
[00:06:35.100 --> 00:06:36.800]  有些奧秘士
[00:06:36.800 --> 00:06:39.000]  你醫治人會好的
[00:06:39.000 --> 00:06:40.900]  但他的力量不是我們
[00:06:40.900 --> 00:06:43.600]  我們只是管家
[00:06:43.600 --> 00:06:45.700]  所以第一件事很想提
[00:06:45.700 --> 00:06:47.600]  他說你不要供舉我們
[00:06:47.600 --> 00:06:49.600]  我們沒有需要
[00:06:49.600 --> 00:06:51.700]  我們沒有力量
[00:06:51.700 --> 00:06:53.200]  你不要看我們是誰
[00:06:53.200 --> 00:06:54.200]  哪間教會厲害些
[00:06:54.200 --> 00:06:54.900]  哪個人好些
[00:06:54.900 --> 00:06:56.600]  No
[00:06:56.600 --> 00:06:58.800]  我記得幾年前有一次我講道
[00:06:58.800 --> 00:07:01.400]  講完道之後有一位朋友走來台前
[00:07:01.400 --> 00:07:02.400]  他就問牧師
[00:07:02.400 --> 00:07:03.600]  是的,怎麼樣?
[00:07:03.600 --> 00:07:06.100]  你可不可以為我祈禱?
