
[00:00:00.000 --> 00:00:03.560]  多謝施班有這麼多首這麼好的詩歌的Medley
[00:00:03.560 --> 00:00:04.560]  和我們一起分享
[00:00:04.560 --> 00:00:06.080]  完了我真的想拍手
[00:00:06.080 --> 00:00:09.000]  還有Hallelujah
[00:00:09.000 --> 00:00:10.000]  真的感謝主
[00:00:10.000 --> 00:00:11.560]  我們向上拍手
[00:00:11.560 --> 00:00:12.560]  感謝主
[00:00:12.560 --> 00:00:16.440]  其實詩歌和我們今天那段聖經
[00:00:16.440 --> 00:00:17.280]  也有些關係
[00:00:17.280 --> 00:00:18.480]  待會和大家分享一下
[00:00:18.480 --> 00:00:19.960]  不如我們先打開
[00:00:19.960 --> 00:00:23.320]  我們的《貼撒羅尼加前書》第三章
[00:00:23.320 --> 00:00:26.640]  北宣家我們一直都是在崇拜裡面
[00:00:26.640 --> 00:00:28.680]  研讀《貼撒羅尼加前書》
[00:00:28.680 --> 00:00:30.680]  今天我們到了第三章第一節
[00:00:30.680 --> 00:00:31.680]  到了十三節
[00:00:31.680 --> 00:00:33.480]  如果你是用唐用的聖經
[00:00:33.480 --> 00:00:37.120]  請你打開1778頁
[00:00:37.120 --> 00:00:39.880]  剛才讀的時候
[00:00:39.880 --> 00:00:40.720]  不知道你有沒有留意到
[00:00:40.720 --> 00:00:42.680]  這段聖經所講的內容
[00:00:42.680 --> 00:00:44.520]  大概你都會留意到的話
[00:00:44.520 --> 00:00:46.200]  你就估計得到
[00:00:46.200 --> 00:00:47.520]  保羅在什麼情況之下
[00:00:47.520 --> 00:00:48.600]  寫這段聖經
[00:00:48.600 --> 00:00:49.760]  尤其是第六節
[00:00:49.760 --> 00:00:51.360]  保羅說提摩提
[00:00:51.360 --> 00:00:52.600]  剛剛回來
[00:00:52.600 --> 00:00:55.520]  將你們《貼撒羅尼加教會》的
[00:00:55.520 --> 00:00:58.040]  信心和愛心的消息告訴我們
[00:00:58.040 --> 00:01:02.200]  剛剛提摩提回來的時候
[00:01:02.200 --> 00:01:03.200]  他就寫了這封信
[00:01:03.200 --> 00:01:04.640]  寫了這段聖經
[00:01:04.640 --> 00:01:07.760]  為什麼他不在《貼撒羅尼加》呢?
[00:01:07.760 --> 00:01:08.720]  第二章
[00:01:08.720 --> 00:01:09.880]  我相信上一次
[00:01:09.880 --> 00:01:10.800]  你也看過了
[00:01:10.800 --> 00:01:12.120]  十七節那裡說
[00:01:12.120 --> 00:01:14.520]  因為在《貼撒羅尼加》的地方
[00:01:14.520 --> 00:01:17.120]  是保羅所建立的教會
[00:01:17.120 --> 00:01:20.600]  但是當地的猶太人很攻擊他們
[00:01:20.600 --> 00:01:23.080]  受到很大的患難
[00:01:23.080 --> 00:01:25.480]  所以唯有他們離開
[00:01:25.480 --> 00:01:26.760]  《貼撒羅尼加》這個地方
[00:01:26.760 --> 00:01:28.240]  離開那六個弟兄姊妹
[00:01:28.240 --> 00:01:30.040]  所以聖經十七節那裡說
[00:01:30.040 --> 00:01:32.520]  暫時被迫離開他們
[00:01:32.520 --> 00:01:34.440]  但是雖然他的身體離開他們
[00:01:34.440 --> 00:01:36.640]  保羅我們的心沒有離開你們
