
[00:00:00.000 --> 00:00:02.840]  我想彼得有一個三次不認主的經歷
[00:00:02.840 --> 00:00:04.220]  大家都很認識
[00:00:04.220 --> 00:00:08.820]  後來我們看到彼得成為了耶路撒冷教會的領袖
[00:00:08.820 --> 00:00:10.000]  成為了使徒的領袖
[00:00:10.000 --> 00:00:12.240]  也到處宣講主的福音
[00:00:12.240 --> 00:00:13.400]  可能都會有人覺得
[00:00:13.400 --> 00:00:15.620]  為什麼彼得會有這麼大的轉變呢?
[00:00:15.620 --> 00:00:18.440]  除了有五重節、聖靈降臨之外
[00:00:18.440 --> 00:00:21.280]  還有什麼是彼得的生命有些轉變
[00:00:21.280 --> 00:00:22.760]  我們是不知道的呢?
[00:00:22.760 --> 00:00:26.620]  其實約翰福音是寫在主侯七十年之後
[00:00:26.620 --> 00:00:27.920]  至九十年
[00:00:27.920 --> 00:00:32.180]  而門徒彼得殉道的年份是主侯六十四年
[00:00:32.180 --> 00:00:34.320]  所以寫《亂經文》的時候
[00:00:34.320 --> 00:00:36.000]  彼得已經殉道了
[00:00:36.000 --> 00:00:37.720]  就是回到天家那裡了
[00:00:37.720 --> 00:00:40.440]  約翰福音是最後一卷的方書
[00:00:40.440 --> 00:00:43.520]  在歷史上的寫的角度來說
[00:00:43.520 --> 00:00:47.120]  我們會發覺這句約翰福音的二十章
[00:00:47.120 --> 00:00:48.720]  在約翰福音一到二十章裡面
[00:00:48.720 --> 00:00:50.140]  好像已經二十章完結了
[00:00:50.140 --> 00:00:51.860]  二十章好像是加進去的
[00:00:51.860 --> 00:00:54.560]  但是為什麼約翰要將這個經歷
[00:00:54.560 --> 00:00:57.300]  加進去在約翰福音最後一章裡面呢?
[00:00:57.300 --> 00:00:59.180]  可能就是讓我們答案知道
[00:00:59.180 --> 00:01:02.980]  為什麼彼得會有這麼大的生命的轉變呢?
[00:01:02.980 --> 00:01:05.680]  最後我們講道歉時我們再有一個祈禱
[00:01:05.680 --> 00:01:06.580]  我們一起低頭
[00:01:06.580 --> 00:01:07.620]  我們祈禱
[00:01:07.620 --> 00:01:10.740]  「慈悲的主,我們將要去聽神祢的話語的時候
[00:01:10.740 --> 00:01:13.000]  我求聖靈祢光照我們的心
[00:01:13.000 --> 00:01:13.960]  幫助我們
[00:01:13.960 --> 00:01:16.780]  讓我們更加明白主耶穌基督
[00:01:16.780 --> 00:01:18.180]  祢的心意
[00:01:18.180 --> 00:01:21.540]  祢要我們願意將我們的生命都交給祢
[00:01:21.540 --> 00:01:23.200]  祢又要問我們
[00:01:23.200 --> 00:01:25.620]  祢愛我比這些更深
