
[00:00:00.000 --> 00:00:03.920]  中國人7月有兩個的節期
[00:00:03.920 --> 00:00:07.520]  不知道大家知不知道呢
[00:00:07.520 --> 00:00:09.200]  第一個是甚麼
[00:00:09.200 --> 00:00:11.600]  7月初七 七姐誕
[00:00:11.600 --> 00:00:14.680]  算是中國人的情人節
[00:00:14.680 --> 00:00:17.080]  西方情人節就點蠟燭
[00:00:17.080 --> 00:00:19.600]  晚上就點蠟燭 好氣氛
[00:00:19.600 --> 00:00:21.880]  中國人就晚上燒衣紙
[00:00:21.880 --> 00:00:24.080]  不同的慶祝方法
[00:00:24.080 --> 00:00:27.560]  去到7月14日又是甚麼
[00:00:27.560 --> 00:00:29.240]  鬼節即是盂蘭節
[00:00:29.240 --> 00:00:31.240]  又是燒衣紙整個街都是
[00:00:31.240 --> 00:00:32.760]  所以整個月
[00:00:32.760 --> 00:00:35.000]  我感覺整個氣氛都很浪漫
[00:00:35.000 --> 00:00:38.680]  因為到街上很多煙霧瀰漫
[00:00:38.680 --> 00:00:40.600]  路都不是看得很清楚
[00:00:40.600 --> 00:00:43.200]  所以讓我們見到
[00:00:43.200 --> 00:00:47.560]  都是中國人很重視的節日
[00:00:47.560 --> 00:00:51.360]  說到鬼 大家不知道有甚麼感受
[00:00:51.360 --> 00:00:53.080]  我大膽問大家一句
[00:00:53.080 --> 00:00:57.640]  有沒有人撞過鬼 舉手
[00:00:57.640 --> 00:01:00.000]  沒有人敢舉手 都有一個
[00:01:00.000 --> 00:01:02.680]  好勇敢
[00:01:02.680 --> 00:01:05.440]  這新聞大家不太清楚
[00:01:05.440 --> 00:01:10.320]  曾經有一個人嘗試去做一個清單
[00:01:10.320 --> 00:01:14.400]  去列出世界上有多少種鬼
[00:01:14.400 --> 00:01:15.800]  我們看完這個清單之後
[00:01:15.800 --> 00:01:18.040]  我再問你留意一下
[00:01:18.040 --> 00:01:22.120]  是不是你一生裏面沒有撞過鬼呢
[00:01:22.120 --> 00:01:25.520]  請幫我打出下一張影片
[00:01:25.520 --> 00:01:29.040]  就是這個鬼的清單
[00:01:29.040 --> 00:01:30.720]  這個清單是可以唱的
[00:01:30.720 --> 00:01:32.440]  我想大家都會唱的
[00:01:32.440 --> 00:01:36.080]  不如大家一起清唱了它
[00:01:36.080 --> 00:01:38.880]  好 我們預備起
[00:01:38.880 --> 00:01:41.800]  這個世界上有冤鬼 有蛙鬼
[00:01:41.800 --> 00:01:46.000]  有奸鬼 賭鬼 賺鬼 還有好色鬼
[00:01:46.000 --> 00:01:48.440]  有衰鬼 有煙鬼 失清鬼
[00:01:48.440 --> 00:01:51.720]  生鬼 撞鬼 藏蟑螂的無蝨鬼
[00:01:51.720 --> 00:01:53.680]  醉醜鬼 吊香鬼
[00:01:53.680 --> 00:01:55.680]  臭死鬼 嫁鬼 真鬼
[00:01:55.680 --> 00:01:57.760]  亂咁鬼 打鬼
[00:01:57.760 --> 00:02:00.000]  問你究竟搞乜鬼
[00:02:00.000 --> 00:02:03.920]  為甚麼只聽見Patrick的聲音
[00:02:03.920 --> 00:02:05.680]  敢鬼你們
[00:02:05.680 --> 00:02:07.600]  今次這個清單有那麼多種鬼
[00:02:07.600 --> 00:02:09.800]  你又看看了 我又再問了
[00:02:09.800 --> 00:02:11.440]  按這個清單
[00:02:11.440 --> 00:02:14.320]  你撞過鬼沒有呢
[00:02:14.320 --> 00:02:16.400]  會不會多幾個呢
[00:02:16.400 --> 00:02:18.040]  原來這個世界
[00:02:18.040 --> 00:02:20.960]  看看怎樣定義鬼 是不是
[00:02:20.960 --> 00:02:24.360]  今天我們說到《猜團主日》三代經文
[00:02:24.360 --> 00:02:29.080]  列出二不可書六章十至二十節
[00:02:29.080 --> 00:02:31.480]  俗稱為屬靈增薦
[00:02:31.480 --> 00:02:34.880]  或者靈界增薦的一段經文
[00:02:34.880 --> 00:02:35.400]  的確是的
[00:02:35.400 --> 00:02:36.720]  無論我們向人傳福音
[00:02:36.720 --> 00:02:38.760]  還是將福音帶到
[00:02:38.760 --> 00:02:42.960]  未有教會 未有人信主的民族 佛家
[00:02:42.960 --> 00:02:46.160]  我們想面對的困難 挑戰
