
[00:00:00.000 --> 00:00:01.380]  各位大英姐妹
[00:00:01.380 --> 00:00:04.200]  在拍攝時我們有一件事
[00:00:04.200 --> 00:00:05.520]  大部份的大英姐妹
[00:00:05.520 --> 00:00:07.980]  一個星期都要做一次
[00:00:07.980 --> 00:00:11.040]  是什麼事情?
[00:00:11.040 --> 00:00:13.560]  入油
[00:00:13.560 --> 00:00:17.080]  大部份大英姐妹有開車的
[00:00:17.080 --> 00:00:19.680]  大概一個星期都要入一次油
[00:00:19.680 --> 00:00:23.240]  我們入油還要看哪一間比較便宜
[00:00:23.240 --> 00:00:24.640]  哪一天哪一間比較便宜
[00:00:24.640 --> 00:00:26.720]  就去那一間入油
[00:00:26.720 --> 00:00:29.560]  我們有沒有powerpoint?
[00:00:31.000 --> 00:00:34.480]  在拍攝宣導會裏面
[00:00:34.480 --> 00:00:37.000]  大英姐妹我們一起生活的時候
[00:00:37.000 --> 00:00:41.000]  你有沒有定期為你身邊的大英姐妹加油?
[00:00:41.000 --> 00:00:45.120]  一輛車走得久都要入油
[00:00:45.120 --> 00:00:48.920]  我們做基督徒
[00:00:48.920 --> 00:00:51.480]  我們侍奉,我們榮耀神
[00:00:51.480 --> 00:00:53.240]  我們都需要入油
[00:00:53.240 --> 00:00:57.080]  我們很需要身邊的大英姐妹和我們加油
[00:00:57.080 --> 00:00:59.640]  我記得在前個月
[00:00:59.640 --> 00:01:01.800]  我們南堂
[00:01:01.800 --> 00:01:05.640]  粵語堂,華語堂和北堂和中華基督教會
[00:01:05.640 --> 00:01:08.080]  就去到南邊Donnybrook的地方
[00:01:08.080 --> 00:01:11.400]  就有一個服侍
[00:01:11.400 --> 00:01:12.600]  服侍一群
[00:01:12.600 --> 00:01:14.880]  記不記得我們在這裏祈禱
[00:01:14.880 --> 00:01:17.000]  都為他們祈禱了兩個星期
[00:01:17.000 --> 00:01:20.920]  特別是接觸一群工作假期的朋友
[00:01:20.920 --> 00:01:22.240]  有一些特別的聚會
[00:01:22.240 --> 00:01:23.600]  希望和他們傳福音
[00:01:23.600 --> 00:01:26.880]  當時的目標是100至150人
[00:01:26.880 --> 00:01:29.320]  當他們回來的時候
[00:01:29.320 --> 00:01:30.560]  我就聽他們說
[00:01:30.560 --> 00:01:31.520]  實際出席
[00:01:31.520 --> 00:01:32.880]  知不知道有多少人出席?
[00:01:32.880 --> 00:01:35.800]  不算去服侍的人
[00:01:35.800 --> 00:01:38.280]  服侍的人大概有60人
[00:01:38.280 --> 00:01:39.280]  由這裏去
[00:01:39.280 --> 00:01:41.480]  有60個大英姐妹去服侍
[00:01:41.480 --> 00:01:45.200]  而出席的朋友
[00:01:45.200 --> 00:01:46.600]  你猜猜有多少人?
[00:01:46.600 --> 00:01:49.160]  200個
[00:01:49.160 --> 00:01:51.840]  300個
[00:01:51.840 --> 00:01:57.760]  是15個
[00:01:58.680 --> 00:02:00.920]  起初Ellison和我說的時候
[00:02:00.920 --> 00:02:03.160]  我想我有沒有聽錯呢?
[00:02:03.160 --> 00:02:04.480]  但是鎮定一點
[00:02:04.480 --> 00:02:05.720]  真是15個
[00:02:05.720 --> 00:02:09.400]  初頭他們預計有百多人來
[00:02:09.400 --> 00:02:12.280]  但是到最後只有15個人來
[00:02:12.280 --> 00:02:14.560]  分別很大
[00:02:14.560 --> 00:02:16.640]  所以當我聽到這個消息的時候
[00:02:16.640 --> 00:02:20.880]  我的心裏那段時間不斷為
[00:02:20.880 --> 00:02:22.800]  有份一起去參與
[00:02:22.800 --> 00:02:26.320]  這一次服侍的行動的大英姐妹祈禱
