
[00:00:00.000 --> 00:00:03.560]  詩篇第十九篇,第一節
[00:00:03.560 --> 00:00:13.740]  大衛的詩:「神的子民,要將榮耀能力歸給耶和華,都歸給耶和華,
[00:00:13.740 --> 00:00:23.020]  要將耶和華的榮耀歸給他,要敬拜神聖榮耀的耶和華。」
[00:00:23.020 --> 00:00:27.120]  但有些人說,詩篇第十九篇,是一篇很特別的詩篇。
[00:00:27.120 --> 00:00:30.840]  怎樣特別化呢?因為那些明白那些背景的人,
[00:00:30.840 --> 00:00:42.080]  他們會了解,詩篇第十九篇,其實就是很像當時的一些愛邦的思覺,
[00:00:42.080 --> 00:00:45.920]  或者一些敬拜巴力,大家知道巴力是誰嗎?
[00:00:45.920 --> 00:00:51.160]  巴力是舊約裡面一個很出名的假實,叫做Bale,
[00:00:51.160 --> 00:00:55.580]  他專門去降風雨給人民的。
[00:00:55.580 --> 00:01:02.920]  所以有一些巴力的神話的詩歌,我們知道是很相似的和詩篇第十九篇。
[00:01:02.920 --> 00:01:08.800]  幾乎可以說,詩篇第十九篇,有人說是那個題材,
[00:01:08.800 --> 00:01:14.920]  或者那個歌曲的味道,都是很像巴力的詩篇,那些神話。
[00:01:14.920 --> 00:01:17.300]  其實這些都是不足為奇的。
[00:01:17.300 --> 00:01:21.380]  我們今天唱很多的詩歌,無論是現代的,或者是傳統的,
[00:01:21.380 --> 00:01:30.880]  其實有很多的歌曲,有很多的音樂,那些結構,都是和外面所謂世俗的音樂,
[00:01:30.880 --> 00:01:32.240]  其實都是很相似的。
[00:01:32.240 --> 00:01:34.400]  詩篇第十九篇就是這個特別,
[00:01:34.400 --> 00:01:41.280]  就是告訴我們當時和一個拜巴力的,拜風雨神的,
[00:01:41.280 --> 00:01:48.080]  這種文化來做一些對話,甚至是一些對抗。
[00:01:48.080 --> 00:01:55.280]  第十九篇第一節,第二節,他說:神的子民,你要將榮耀能力歸給耶和華。
[00:01:55.280 --> 00:01:59.240]  歸給耶和華,要將耶和華的名的榮耀歸給祂。
