
[00:00:00.000 --> 00:00:01.260]  今天這個題目很特別
[00:00:01.260 --> 00:00:02.920]  叫做再認父親
[00:00:02.920 --> 00:00:03.920]  為什麼呢?
[00:00:03.920 --> 00:00:06.100]  當我在想父親節的時候
[00:00:06.100 --> 00:00:07.020]  想父親
[00:00:07.020 --> 00:00:08.620]  我有一個很大的感慨
[00:00:08.620 --> 00:00:10.900]  就是我們每一個人
[00:00:10.900 --> 00:00:14.400]  你有沒有留意到你在不同的年齡階段
[00:00:14.400 --> 00:00:17.480]  你對父親都有不同的體會和認識
[00:00:17.480 --> 00:00:19.780]  回想你小時候
[00:00:19.780 --> 00:00:23.820]  你嬰兒或者幼稚園的時候
[00:00:23.820 --> 00:00:25.700]  你覺得你的父親是怎麼樣的呢?
[00:00:25.700 --> 00:00:28.160]  哇!高大威猛
[00:00:28.160 --> 00:00:30.580]  因為他一定比你高的嘛
[00:00:30.580 --> 00:00:32.380]  覺得他很厲害
[00:00:32.380 --> 00:00:34.120]  有強勁的臂彎
[00:00:34.120 --> 00:00:35.740]  一下子就抽起你了
[00:00:35.740 --> 00:00:37.580]  哇!我那時候的子女
[00:00:37.580 --> 00:00:39.020]  我很喜歡抱高他
[00:00:39.020 --> 00:00:40.180]  嚇死那些外父外母的
[00:00:40.180 --> 00:00:40.680]  為什麼呢?
[00:00:40.680 --> 00:00:41.960]  我抱高他
[00:00:41.960 --> 00:00:43.960]  扔上去一下子就放下了
[00:00:43.960 --> 00:00:45.500]  但是從來沒有失手的
[00:00:45.500 --> 00:00:46.840]  這樣就很厲害
[00:00:46.840 --> 00:00:48.220]  但是現在我怎麼抱他們呢?
[00:00:48.220 --> 00:00:49.740]  一定是抱不到的
[00:00:49.740 --> 00:00:52.960]  所以今天你就會覺得你的父親很厲害
[00:00:52.960 --> 00:00:54.020]  超人來的
[00:00:54.020 --> 00:00:56.180]  特別有時候你會覺得你的父親
[00:00:56.180 --> 00:00:57.520]  當你小的時候
[00:00:57.760 --> 00:00:58.900]  覺得他什麼都懂
[00:00:58.900 --> 00:01:00.080]  萬事通的
[00:01:00.080 --> 00:01:02.240]  天文地理什麼都懂
[00:01:02.240 --> 00:01:03.640]  很厲害的
[00:01:03.640 --> 00:01:06.320]  我自己對我父親也有這個體會
[00:01:06.320 --> 00:01:09.680]  在五六十年代的時候
[00:01:09.680 --> 00:01:12.960]  人們多數是做一些勞工階層的事情
[00:01:12.960 --> 00:01:15.240]  但是我父親是一個文化人
[00:01:15.240 --> 00:01:16.680]  原來我小時候
[00:01:16.680 --> 00:01:18.360]  我父親我想起來他做什麼呢?
[00:01:18.360 --> 00:01:20.160]  他不僅是會計
[00:01:20.160 --> 00:01:22.720]  他更加是"卜卜齋"的老師
[00:01:22.720 --> 00:01:24.280]  大家知道什麼叫做"卜卜齋"嗎?
[00:01:24.280 --> 00:01:25.600]  就是師叔
[00:01:25.640 --> 00:01:28.040]  那時候有些人沒有機會到學校讀書
[00:01:28.040 --> 00:01:30.080]  於是我父親就開放他家裡
[00:01:30.080 --> 00:01:32.360]  上午有一群新婚姐妹來我家裡
[00:01:32.360 --> 00:01:33.560]  給我父親教的
[00:01:33.560 --> 00:01:34.680]  所以我家裡很特別的
[00:01:34.680 --> 00:01:36.880]  有孔子的那張照片
[00:01:36.880 --> 00:01:38.000]  就是那些畫像
[00:01:38.000 --> 00:01:39.520]  我記得我讀幼稚園的時候
[00:01:39.520 --> 00:01:41.080]  家裡要選日子
[00:01:41.080 --> 00:01:41.920]  選時辰
[00:01:41.920 --> 00:01:43.800]  然後要向孔子上香
[00:01:43.800 --> 00:01:45.520]  然後叫我讀書讀得好
[00:01:45.520 --> 00:01:46.080]  你想想
[00:01:46.080 --> 00:01:47.560]  我父親是一個文化人
[00:01:47.560 --> 00:01:48.640]  覺得他很厲害
[00:01:48.640 --> 00:01:51.000]  但是到了中學年代
[00:01:51.000 --> 00:01:53.480]  你開始對父親的認識有些不同了
[00:01:53.480 --> 00:01:54.120]  是不是?
[00:01:54.400 --> 00:01:55.800]  有時候你會覺得
[00:01:55.800 --> 00:01:57.680]  原來他挺硬頸的
[00:01:57.680 --> 00:01:59.320]  挺橫頸的
[00:01:59.320 --> 00:02:01.680]  有時候發覺他也挺萌塞的
[00:02:01.680 --> 00:02:03.040]  我又記得
[00:02:03.040 --> 00:02:04.520]  我中學的時代
[00:02:04.520 --> 00:02:05.520]  我還記得有一次
[00:02:05.520 --> 00:02:06.680]  爸爸罵錯我的時候
[00:02:06.680 --> 00:02:07.520]  我很清楚地跟他說
[00:02:07.520 --> 00:02:08.560]  爸爸你罵錯我
[00:02:08.560 --> 00:02:10.160]  他就會立刻怎麼樣呢?
[00:02:10.160 --> 00:02:11.360]  睜開眼睛看著我
[00:02:11.360 --> 00:02:12.560]  什麼呢?
[00:02:12.560 --> 00:02:14.080]  罵錯你不行嗎?
[00:02:14.080 --> 00:02:14.560]  臭小子
[00:02:14.560 --> 00:02:15.280]  生得你出
[00:02:15.280 --> 00:02:15.880]  養得你大
[00:02:15.880 --> 00:02:16.760]  用得著跪你
[00:02:16.760 --> 00:02:18.240]  向你去針插認錯嗎?
[00:02:18.240 --> 00:02:19.280]  我心想
[00:02:19.280 --> 00:02:20.280]  那當然是最好了
[00:02:20.280 --> 00:02:21.400]  經常針給你
[00:02:21.400 --> 00:02:23.800]  你針一次給我也OK的
[00:02:23.800 --> 00:02:25.560]  因為大家知道我家裡傳統就是
[00:02:25.560 --> 00:02:28.000]  我每一年都要跪下針插給我家裡的
[00:02:28.000 --> 00:02:30.560]  原來發覺他錯了不肯認
[00:02:30.560 --> 00:02:32.200]  還有覺得他很吝嗇
[00:02:32.200 --> 00:02:35.400]  家裡同學很多零用錢
[00:02:35.400 --> 00:02:36.600]  但是我沒有的
[00:02:36.600 --> 00:02:39.120]  你發覺原來對他的看法又不同
[00:02:39.120 --> 00:02:40.920]  接著再大一點的時候
[00:02:40.920 --> 00:02:42.320]  出來社會工作的時候
[00:02:42.320 --> 00:02:43.560]  更加發現他
[00:02:43.560 --> 00:02:45.560]  原來已經跟社會脫節了
[00:02:45.560 --> 00:02:47.480]  有時候你會覺得
[00:02:47.480 --> 00:02:49.480]  特別你們讀完大學的
[00:02:49.480 --> 00:02:50.280]  你出來工作
[00:02:50.280 --> 00:02:52.520]  你覺得你父母的學識水平低於你
[00:02:53.280 --> 00:02:55.120]  到了你父親晚年
[00:02:55.120 --> 00:02:56.800]  好像養我爸爸八十多歲
[00:02:56.800 --> 00:02:58.040]  差不多九十歲了
[00:02:58.040 --> 00:03:00.280]  我有一個很深的感受
[00:03:00.280 --> 00:03:02.480]  一個巨人終於倒下了
[00:03:02.480 --> 00:03:06.280]  他現在已經中風了
[00:03:06.280 --> 00:03:10.360]  他自己一切的生活都不能夠由自己控制
[00:03:10.360 --> 00:03:13.680]  我記得我星期一晚上從英國回來的時候
[00:03:13.680 --> 00:03:14.680]  知道他進了醫院
[00:03:14.680 --> 00:03:15.840]  剛剛他星期一出院了
[00:03:15.840 --> 00:03:18.200]  我星期二立刻去約見他
[00:03:18.200 --> 00:03:19.720]  很匆匆忙忙
[00:03:19.720 --> 00:03:20.560]  都為我禱告
[00:03:20.560 --> 00:03:21.600]  因為我下個星期
[00:03:21.600 --> 00:03:22.600]  再鬆一點
[00:03:22.600 --> 00:03:24.160]  我就想約他見面
[00:03:24.160 --> 00:03:25.800]  跟他確實他的信仰
[00:03:25.800 --> 00:03:27.320]  他曾經說他信了耶穌
[00:03:27.320 --> 00:03:29.440]  好了,我約他出來喝茶
[00:03:29.440 --> 00:03:30.600]  跟他聊天
[00:03:30.600 --> 00:03:32.160]  我一坐下來的時候
[00:03:32.160 --> 00:03:33.440]  就已經把我妹妹拉到一旁
[00:03:33.440 --> 00:03:34.160]  跟她說
[00:03:34.160 --> 00:03:36.800]  爸爸現在這樣的情況
