
[00:00:00.000 --> 00:00:02.680]  各位頂姐妹 新年平安
[00:00:02.680 --> 00:00:08.200]  很開心每年有機會站在這個港台
[00:00:08.200 --> 00:00:13.600]  我祝大家新年蒙福主恩滿日
[00:00:13.600 --> 00:00:18.560]  也要多謝呂牧師和他的利美團隊
[00:00:18.560 --> 00:00:23.480]  帶給我們農曆新春的崇拜
[00:00:23.480 --> 00:00:26.480]  有一個很火熱的經歷
[00:00:26.480 --> 00:00:29.400]  啟示天上的敬拜是怎樣
[00:00:29.400 --> 00:00:32.040]  我希望呂牧師多多來
[00:00:32.040 --> 00:00:34.080]  如果我可以決定的話
[00:00:34.080 --> 00:00:37.120]  你每個禮拜天都來
[00:00:37.120 --> 00:00:39.840]  帶領我們那個敬拜
[00:00:39.840 --> 00:00:43.800]  能夠這麼火熱預備我們的心
[00:00:43.800 --> 00:00:45.600]  今年是蛇年
[00:00:45.600 --> 00:00:48.280]  我也好像過往一樣
[00:00:48.280 --> 00:00:55.840]  按當時的時序找一個恰當的題目
[00:00:55.840 --> 00:01:01.040]  我第一次講這篇廣章的時候
[00:01:01.040 --> 00:01:04.000]  即是說醞釀這篇社的廣章
[00:01:04.000 --> 00:01:11.960]  是36年前在美國一間華僑教會
[00:01:11.960 --> 00:01:13.720]  當時我去進修
[00:01:13.720 --> 00:01:15.920]  也在木會
[00:01:15.920 --> 00:01:21.160]  華僑就說我們年初一這邊沒什麼氣氛
[00:01:21.160 --> 00:01:24.200]  牧師你找一個應節的題目講
[00:01:24.200 --> 00:01:27.520]  我開始那年是蛇年講
[00:01:27.520 --> 00:01:31.480]  24年前我在廣福堂講
[00:01:31.480 --> 00:01:35.760]  當時廣福堂還在富麗華酒店
[00:01:35.760 --> 00:01:40.680]  12年前就是我退休前講蛇
[00:01:40.680 --> 00:01:42.960]  12年後今天
[00:01:42.960 --> 00:01:47.480]  雖然我由1月到現在
[00:01:47.480 --> 00:01:51.440]  這篇蛇的廣章已經講了很多次
[00:01:51.440 --> 00:01:55.320]  但是每個聚會的重點和用的經文
[00:01:55.320 --> 00:01:57.200]  歷史都不同的
[00:01:57.200 --> 00:01:59.800]  我記得1月第一次
[00:01:59.800 --> 00:02:02.280]  就好像去律師教會那裡
[00:02:02.280 --> 00:02:03.680]  1月那一次
[00:02:03.680 --> 00:02:07.320]  我還有三次
[00:02:07.320 --> 00:02:08.760]  一直到下個星期二
[00:02:08.760 --> 00:02:10.880]  指令是最後一次了
[00:02:10.880 --> 00:02:17.160]  但是我們每一次從蛇的一些比較少著的經文
[00:02:17.160 --> 00:02:21.120]  其實都有很寶貴的屬靈提醒
[00:02:21.120 --> 00:02:23.920]  以及是教訓的
