
[00:00:00.000 --> 00:00:04.500]  我們預備我們的心,今天我們去敬拜主
[00:00:04.500 --> 00:00:08.500]  如果你有聖經的話,請你擁抱神的話語,我們一同禱告
[00:00:08.500 --> 00:00:12.500]  天父上帝,我們多謝祢讓我們有祢的話語
[00:00:12.500 --> 00:00:15.500]  讓我們專注在祢的話語裏面
[00:00:15.500 --> 00:00:18.500]  好叫我們能夠更多的去認識
[00:00:18.500 --> 00:00:22.500]  我們所跟隨,我們所相信的主耶穌
[00:00:22.500 --> 00:00:26.500]  開我們的眼,讓我們更深看見
[00:00:26.500 --> 00:00:30.500]  這份犧牲,捨身的大愛
[00:00:30.500 --> 00:00:36.500]  也觸動我們的心,讓我們更願意為主祢而活
[00:00:36.500 --> 00:00:41.500]  叫我們去思想,我們怎樣可以勝過我們的自我
[00:00:41.500 --> 00:00:44.500]  將我們的全人拜上
[00:00:44.500 --> 00:00:47.500]  大量的以下時刻,向我們講說話
[00:00:47.500 --> 00:00:50.500]  觸動我們的心靈,改變我們的生命
[00:00:50.500 --> 00:00:54.500]  聽我們的祈禱,奉靠耶穌基督得聖的名字祈求
[00:00:54.500 --> 00:00:56.500]  阿門
[00:01:24.500 --> 00:01:28.500]  有個做法就是,如果我take一班網上課程的話
[00:01:28.500 --> 00:01:32.500]  我就可以教多一星期,就是上兩天課
[00:01:32.500 --> 00:01:35.500]  節省很多坐車的時間
[00:01:35.500 --> 00:01:41.500]  但是那班網上課程,不是我們大學的層面
[00:01:41.500 --> 00:01:45.500]  不是學士學位,是Master level
[00:01:45.500 --> 00:01:51.500]  換句話說,我是要越級挑戰,我才可以讀到這班網上課程
[00:01:51.500 --> 00:01:56.500]  那我心想,時間很重要,不要緊,儘管試試吧
[00:01:56.500 --> 00:01:59.500]  一開學,我就發覺不對勁
[00:01:59.500 --> 00:02:01.500]  為什麼你這麼難
[00:02:01.500 --> 00:02:05.500]  問的東西我全都不懂,要我看的東西又不行
[00:02:05.500 --> 00:02:09.500]  接著呢,他偶爾喜歡一個小冊,一個Quiz那些
[00:02:09.500 --> 00:02:11.500]  哇,我每次都考得很低分
[00:02:11.500 --> 00:02:15.500]  接著我就不斷問自己,我是不是做錯決定了
[00:02:15.500 --> 00:02:19.500]  是不是衡量輕重的時候搞錯了呢
[00:02:19.500 --> 00:02:22.500]  這個時候,是不是做一個明智的決定
[00:02:22.500 --> 00:02:25.500]  應該早早放棄就算了呢
[00:02:25.500 --> 00:02:28.500]  我唯有勉強下去了
[00:02:28.500 --> 00:02:33.500]  當我面對著,我本來讀書都已經不是很厲害的時候
[00:02:33.500 --> 00:02:37.500]  我要越級挑戰,我覺得是一個很愚蠢的決定
[00:02:37.500 --> 00:02:40.500]  而當我面對著一些學業上的困難
[00:02:40.500 --> 00:02:44.500]  我真的跟不上功課,我真的考試考得不好的時候
[00:02:44.500 --> 00:02:48.500]  我就考慮,我是不是應該要放棄
[00:02:48.500 --> 00:02:53.500]  這是一個很正常的思考過程
[00:02:53.500 --> 00:02:55.500]  你是不是做這個決定是一件事
[00:02:55.500 --> 00:02:58.500]  但很自然地你面對著一個很艱鉅的困難
[00:02:58.500 --> 00:03:01.500]  你就會想,我是不是應該要繼續走下去呢
[00:03:01.500 --> 00:03:05.500]  可能你上班上得很辛苦,做得很…
[00:03:05.500 --> 00:03:07.500]  做得…就是…搶得你很緊要
[00:03:07.500 --> 00:03:09.500]  甚至可能老闆很刻薄你
[00:03:09.500 --> 00:03:11.500]  同事很苛刻地對待你的時候
[00:03:11.500 --> 00:03:15.500]  很自然地我就會想,是不是應該要轉工呢
[00:03:15.500 --> 00:03:18.500]  你住的環境很差的時候
[00:03:18.500 --> 00:03:21.500]  你很接受不了你居住的環境
[00:03:21.500 --> 00:03:23.500]  很有可能我們就會想,那是不是應該搬呢
[00:03:23.500 --> 00:03:25.500]  甚至乎是移民呢
[00:03:25.500 --> 00:03:28.500]  有些人可能在婚姻裡面面對很多困難
[00:03:28.500 --> 00:03:31.500]  很不開心,都會想,我們吵架吵得這麼辛苦
[00:03:31.500 --> 00:03:33.500]  何必大家彼此折磨呢
[00:03:33.500 --> 00:03:35.500]  是不是應該要離婚呢
[00:03:35.500 --> 00:03:38.500]  這些全部都是我們很有可能會想過的念頭
[00:03:38.500 --> 00:03:40.500]  未必會做這個決定
[00:03:40.500 --> 00:03:44.500]  但是當我們面對著很多不順境的事情
[00:03:44.500 --> 00:03:46.500]  和我們的期望不符
[00:03:46.500 --> 00:03:50.500]  甚至乎一直活在一個很大的困難當中的時候
[00:03:50.500 --> 00:03:52.500]  很自然地我們就會問自己
[00:03:52.500 --> 00:03:54.500]  我們是不是應該要放棄
[00:03:54.500 --> 00:03:56.500]  有沒有別的方法可以出
[00:03:56.500 --> 00:04:00.500]  包括我們的信仰歷程
