
[00:00:00.000 --> 00:00:02.000]  丁字幕平安
[00:00:02.000 --> 00:00:04.000]  讓我們再一次在主面前去祈禱
[00:00:04.000 --> 00:00:06.000]  請低頭禱告
[00:00:06.000 --> 00:00:10.000]  天父上帝我們獻上感恩
[00:00:10.000 --> 00:00:12.000]  剛剛過去一個星期
[00:00:12.000 --> 00:00:14.000]  雖然有暴雨
[00:00:14.000 --> 00:00:16.000]  有
[00:00:16.000 --> 00:00:18.000]  很多
[00:00:18.000 --> 00:00:20.000]  限制,以致
[00:00:20.000 --> 00:00:22.000]  有很多人生命當中都有不同的狀況
[00:00:22.000 --> 00:00:24.000]  我們需要禱告紀念
[00:00:24.000 --> 00:00:26.000]  但當今天雨過天晴的時候
[00:00:26.000 --> 00:00:28.000]  讓我們獻上感恩
[00:00:28.000 --> 00:00:30.000]  因為祢給我們的平安
[00:00:30.000 --> 00:00:32.000]  既然我們記得
[00:00:32.000 --> 00:00:34.000]  能夠享受祢給我們的平安不是必然的
[00:00:34.000 --> 00:00:36.000]  讓我們獻上感謝
[00:00:36.000 --> 00:00:38.000]  珍惜,好好的享受
[00:00:38.000 --> 00:00:40.000]  並且該榮耀給祢
[00:00:40.000 --> 00:00:42.000]  現在我們去到祢面前去
[00:00:42.000 --> 00:00:44.000]  細心
[00:00:44.000 --> 00:00:46.000]  去聆聽祢要向我們講的說話
[00:00:46.000 --> 00:00:48.000]  求祢開開祢的耳朵
[00:00:48.000 --> 00:00:50.000]  讓我們細心的聆聽
[00:00:50.000 --> 00:00:52.000]  開開祢的眼睛能夠沾染祢的榮光
[00:00:52.000 --> 00:00:54.000]  又以祢的行動去回應
[00:00:54.000 --> 00:00:56.000]  祢的吩咐和教導
[00:00:56.000 --> 00:00:58.000]  是每一個人口中的言語
[00:00:58.000 --> 00:01:00.000]  和每一個節目之間的心思意念
[00:01:00.000 --> 00:01:02.000]  蒙聖靈的啟迪蒙主的月立
[00:01:02.000 --> 00:01:04.000]  禱告奉耶穌基督的名
[00:01:04.000 --> 00:01:06.000]  今天和大家分享的
[00:01:06.000 --> 00:01:08.000]  講題是和愛有關
[00:01:08.000 --> 00:01:10.000]  相信
[00:01:10.000 --> 00:01:12.000]  可能大家都理解
[00:01:12.000 --> 00:01:14.000]  大部份的宗教可能都會講到關於愛
[00:01:14.000 --> 00:01:16.000]  我很記得我讀書的時候
[00:01:16.000 --> 00:01:18.000]  我大學本科是讀宗教研究
[00:01:18.000 --> 00:01:20.000]  當我讀宗教研究的時候
[00:01:20.000 --> 00:01:22.000]  我們同學經常討論一個問題
[00:01:22.000 --> 00:01:24.000]  究竟那個宗教
[00:01:24.000 --> 00:01:26.000]  是怎樣才算是好呢
[00:01:26.000 --> 00:01:28.000]  又或者當時有科學討論
[00:01:28.000 --> 00:01:30.000]  關於什麼叫邪教
[00:01:30.000 --> 00:01:32.000]  或者不好的宗教
[00:01:32.000 --> 00:01:34.000]  我們正面討論什麼是好的宗教
[00:01:34.000 --> 00:01:36.000]  一邊討論一邊討論
[00:01:36.000 --> 00:01:38.000]  最後得出的結論就是
[00:01:38.000 --> 00:01:40.000]  它要有愛的元素
[00:01:40.000 --> 00:01:42.000]  特別是那個宗教的群體
[00:01:42.000 --> 00:01:44.000]  他們需要對身邊的人
[00:01:44.000 --> 00:01:46.000]  或者事或者物
[00:01:46.000 --> 00:01:48.000]  去表達那份愛
[00:01:48.000 --> 00:01:50.000]  那份關懷
[00:01:50.000 --> 00:01:52.000]  以致為這個社會帶來一些美好
[00:01:52.000 --> 00:01:54.000]  很熟悉的字眼就是
[00:01:54.000 --> 00:01:56.000]  宗教都是導人向善的
[00:01:56.000 --> 00:01:58.000]  討論一大輪之後
[00:01:58.000 --> 00:02:00.000]  大家都知道的結論
[00:02:00.000 --> 00:02:02.000]  只要導人向善就是宗教
[00:02:02.000 --> 00:02:04.000]  不導人向善就是邪教
[00:02:04.000 --> 00:02:06.000]  就是不好的宗教
[00:02:06.000 --> 00:02:08.000]  這個描述在我腦裏常常都出現
[00:02:08.000 --> 00:02:10.000]  除了記得當年讀書的畫面之外
[00:02:10.000 --> 00:02:12.000]  都記得宗教是導人向善
[00:02:12.000 --> 00:02:14.000]  這個字常常都在我心裏面出現
[00:02:14.000 --> 00:02:16.000]  以致當我在教會裏面投入
[00:02:16.000 --> 00:02:18.000]  去學習服侍
[00:02:18.000 --> 00:02:20.000]  成為牧師之後
[00:02:20.000 --> 00:02:22.000]  更多的朋友都會問我
[00:02:22.000 --> 00:02:24.000]  宗教是導人向善
[00:02:24.000 --> 00:02:26.000]  其實信什麼都一樣嗎?
[00:02:26.000 --> 00:02:28.000]  又或者順便跟我說
[00:02:28.000 --> 00:02:30.000]  其實基督教都是其中一個
[00:02:30.000 --> 00:02:32.000]  所以很多的家長
[00:02:32.000 --> 00:02:34.000]  常常都會帶小朋友來跟我說
[00:02:34.000 --> 00:02:36.000]  我的小朋友想入某間學校
[00:02:36.000 --> 00:02:38.000]  牧師你可以幫我推薦
[00:02:38.000 --> 00:02:40.000]  基督教學校是多麼好的
[00:02:40.000 --> 00:02:42.000]  我常常都說沒問題
[00:02:42.000 --> 00:02:44.000]  那你呢?你上不上教會?
[00:02:44.000 --> 00:02:46.000]  我就不要緊
[00:02:46.000 --> 00:02:48.000]  我都是做好人的
[00:02:48.000 --> 00:02:50.000]  我擺了下去就是做好事
[00:02:50.000 --> 00:02:52.000]  做好人
[00:02:52.000 --> 00:02:54.000]  行善,跟著教好小朋友
[00:02:54.000 --> 00:02:56.000]  又或者香港就加上一件事
[00:02:56.000 --> 00:02:58.000]  就是讀書的名校都是教會學校
[00:02:58.000 --> 00:03:00.000]  所以入名校
[00:03:00.000 --> 00:03:02.000]  我們會將那些東西放在一起
