
[00:00:00.000 --> 00:00:03.640]  很高興今天在六月的第一個主餐
[00:00:03.640 --> 00:00:04.400]  主日崇拜裡面
[00:00:04.400 --> 00:00:07.760]  能夠跟大家一起去聆聽上帝的話語
[00:00:07.760 --> 00:00:13.400]  還記得我用「真誠群體」這個主題
[00:00:13.400 --> 00:00:16.280]  是貫穿了我們今年教會的這個年題
[00:00:16.280 --> 00:00:18.360]  我去思想2021年
[00:00:18.360 --> 00:00:20.040]  教會是什麼
[00:00:20.040 --> 00:00:23.320]  在疫情或者在今天這個時代
[00:00:23.320 --> 00:00:24.720]  我們很難說
[00:00:24.720 --> 00:00:25.880]  我們很想做很多事情
[00:00:25.880 --> 00:00:28.080]  很多事情想做都做不到
[00:00:28.080 --> 00:00:31.040]  反而我們想想本身教會是一個什麼樣的教會呢?
[00:00:31.040 --> 00:00:33.160]  就好像我後面這句
[00:00:33.160 --> 00:00:36.320]  我們用了五年教育的年題
[00:00:36.320 --> 00:00:37.640]  史寅德的教會
[00:00:37.640 --> 00:00:38.880]  去到今年最後一年
[00:00:38.880 --> 00:00:39.640]  2021年
[00:00:39.640 --> 00:00:41.160]  我再思想一下
[00:00:41.160 --> 00:00:43.920]  其實教會本身應該是一個真誠的群體
[00:00:43.920 --> 00:00:46.000]  而且是我們很願意
[00:00:46.000 --> 00:00:47.200]  去到我們的街坊
[00:00:47.200 --> 00:00:48.480]  去到鄰舍當中
[00:00:48.480 --> 00:00:50.080]  去見證神的愛
[00:00:50.080 --> 00:00:51.600]  所謂無常的服侍
[00:00:51.600 --> 00:00:54.320]  而更加重要的就是我們將上帝的道
[00:00:54.320 --> 00:00:56.160]  活現在我們的群體當中
[00:00:57.240 --> 00:00:58.640]  在年頭開始
[00:00:58.640 --> 00:01:01.280]  我就想了五個的主題
[00:01:01.280 --> 00:01:03.000]  是關於真誠群體的
[00:01:03.000 --> 00:01:06.840]  謙卑、聆聽、欣賞、信任、合一
[00:01:06.840 --> 00:01:08.760]  如果還記得上個月
[00:01:08.760 --> 00:01:11.080]  是不是上個月兩三個星期之前
[00:01:11.080 --> 00:01:12.440]  我講的是哪個題目呢?
[00:01:12.440 --> 00:01:13.720]  合一
[00:01:13.720 --> 00:01:14.760]  合一
[00:01:14.760 --> 00:01:18.880]  當我去收回一些回應的時候
[00:01:18.880 --> 00:01:21.880]  有些弟子會仍然很想聽多一點這個七個一
[00:01:21.880 --> 00:01:23.240]  一身體
[00:01:23.240 --> 00:01:24.000]  一性靈
[00:01:24.000 --> 00:01:24.920]  一指望
