
[00:00:00.000 --> 00:00:03.780]  讓我們讀一段聖經
[00:00:03.780 --> 00:00:06.500]  在菲律賓書第四章第四節
[00:00:06.500 --> 00:00:08.800]  我們一同來念只有一節的聖經
[00:00:08.800 --> 00:00:11.200]  你們要靠主常常喜樂
[00:00:11.200 --> 00:00:13.200]  我再說你們要喜樂
[00:00:13.200 --> 00:00:14.500]  再讀一遍
[00:00:14.500 --> 00:00:17.180]  你們要靠主常常喜樂
[00:00:17.180 --> 00:00:20.200]  我再說你們要喜樂
[00:00:20.200 --> 00:00:22.540]  這個禮拜四就是感恩節了
[00:00:22.540 --> 00:00:23.400]  首先在這裡
[00:00:23.400 --> 00:00:26.400]  恭賀大家感恩節非常非常快樂
[00:00:26.400 --> 00:00:28.380]  Amen
[00:00:28.380 --> 00:00:32.500]  基督徒的人生應該是喜樂的人生
[00:00:32.500 --> 00:00:35.000]  所以A.W.Tosir牧師曾經說
[00:00:35.000 --> 00:00:37.440]  信仰是喜樂的
[00:00:37.440 --> 00:00:40.540]  否則天堂有什麼意義呢
[00:00:40.540 --> 00:00:41.440]  沒錯
[00:00:41.440 --> 00:00:44.740]  你能夠想像一個沒有喜樂的天堂嗎
[00:00:44.740 --> 00:00:46.980]  那就不是天堂了不是嗎
[00:00:46.980 --> 00:00:49.680]  所以保羅在這裡特別的提醒我們說
[00:00:49.680 --> 00:00:52.240]  你們要靠主常常喜樂
[00:00:52.240 --> 00:00:55.880]  他說我再說你們要喜樂
[00:00:55.880 --> 00:00:56.880]  要注意
[00:00:56.880 --> 00:00:58.480]  保羅在說這句話的時候
[00:00:58.480 --> 00:01:01.680]  並不是因為他在一個很順利的環境
[00:01:01.680 --> 00:01:03.940]  事實上保羅在寫菲律賓書的時候
[00:01:03.940 --> 00:01:06.180]  他是在監獄裡面
[00:01:06.180 --> 00:01:10.040]  可見得保羅有多麼看重
[00:01:10.040 --> 00:01:12.840]  基督徒要喜樂的這件事情
[00:01:12.840 --> 00:01:15.780]  而且是要常常的喜樂
[00:01:15.780 --> 00:01:18.600]  不只是偶爾的喜樂而已
[00:01:18.600 --> 00:01:21.440]  那你說我們怎麼樣能夠在生活當中
[00:01:21.440 --> 00:01:25.580]  保持這種在主裡面的喜樂呢
[00:01:25.580 --> 00:01:28.100]  當然有人會想到說最簡單的方式
[00:01:28.100 --> 00:01:30.640]  就換個環境不就好了嗎
[00:01:30.640 --> 00:01:34.540]  但事實上生命中很多的事情
[00:01:34.540 --> 00:01:38.480]  不是換個環境這麼簡單可以解決的
[00:01:38.480 --> 00:01:40.340]  生命中的喜樂
[00:01:40.340 --> 00:01:44.180]  也不是換個環境就能夠得著的
[00:01:44.180 --> 00:01:45.700]  因為換個環境
[00:01:45.700 --> 00:01:49.440]  只不過換了另外一個問題而已嘛
[00:01:49.440 --> 00:01:51.200]  生命中的喜樂
[00:01:51.200 --> 00:01:55.780]  其實是需要在生活當中操練學習的
[00:01:55.780 --> 00:01:59.400]  你們 你說喜樂可以操練學習嗎
