
[00:00:00.000 --> 00:00:06.000]  請您低頭我們一起同心祈禱
[00:00:06.000 --> 00:00:09.000]  滿有慈愛 滿有恩典的上帝
[00:00:09.000 --> 00:00:12.000]  我們感謝您 因為我們是屬於您的
[00:00:12.000 --> 00:00:15.000]  您是我們的主 是我們的神
[00:00:15.000 --> 00:00:19.000]  我們可以透靠您 我們可以仰望您
[00:00:19.000 --> 00:00:22.000]  多謝您過去一個禮拜您的施恩保守
[00:00:22.000 --> 00:00:26.000]  讓我們各方面都有您自己的大名
[00:00:26.000 --> 00:00:28.000]  雖然工作很忙碌
[00:00:28.000 --> 00:00:31.000]  但求主您讓我們能夠在您裡面
[00:00:31.000 --> 00:00:34.000]  我們可以重新得力
[00:00:34.000 --> 00:00:38.000]  多謝您讓我們今早能夠來敬拜您
[00:00:38.000 --> 00:00:43.000]  親近您 求您讓我們的心都靠近您
[00:00:43.000 --> 00:00:48.000]  以致我們能夠在您那裡得著您自己的話語
[00:00:48.000 --> 00:00:51.000]  因為您的話語成為我們的力量
[00:00:51.000 --> 00:00:53.000]  成為我們的幫助
[00:00:53.000 --> 00:00:57.000]  現在我們恭敬打開您的話來閱讀
[00:00:57.000 --> 00:01:01.000]  求您教導我們 光照我們
[00:01:01.000 --> 00:01:03.000]  聽我們的祈禱
[00:01:03.000 --> 00:01:06.000]  奉耶穌基督的名求 阿門
[00:01:06.000 --> 00:01:15.000]  一位很出名的宣教士就是克里威廉
[00:01:15.000 --> 00:01:21.000]  他在印度那裡很辛勤的為神工作
[00:01:21.000 --> 00:01:24.000]  有一天當他正在賣手工作的時候
[00:01:24.000 --> 00:01:27.000]  突然之間有一個人走過來跟他說
[00:01:27.000 --> 00:01:29.000]  你家裡火燭
[00:01:29.000 --> 00:01:32.000]  於是他就馬上趕回家裡
[00:01:32.000 --> 00:01:34.000]  看看發生什麼事
[00:01:34.000 --> 00:01:40.000]  的確遠遠就看到他那間屋陷入火海當中
[00:01:40.000 --> 00:01:43.000]  那些火非常的猛烈
[00:01:43.000 --> 00:01:46.000]  一燒是不可收拾
[00:01:46.000 --> 00:01:49.000]  他很緊張到底他的家人怎麼樣
[00:01:49.000 --> 00:01:53.000]  原來他的家人全部已經走出來了
[00:01:53.000 --> 00:01:56.000]  但是他心裡更加難過的
[00:01:56.000 --> 00:02:03.000]  就因為在屋裡有很多翻譯聖經的手稿
[00:02:03.000 --> 00:02:07.000]  還有一本字典他在編輯當中
[00:02:07.000 --> 00:02:12.000]  這些稿件全部都被燒了
[00:02:12.000 --> 00:02:16.000]  他心裡非常的難過
[00:02:16.000 --> 00:02:22.000]  因為對他的工作來說是一個很大的打擊
[00:02:22.000 --> 00:02:25.000]  不單是他的工作遇到困難
