
[00:00:00.000 --> 00:00:07.000]  做基督徒,我相信很多時候都會聽到牧者傳道人鼓勵大家多讀聖經
[00:00:07.000 --> 00:00:18.000]  不過在讀聖經的時候,就會多或少有一種無所適從的機會
[00:00:23.000 --> 00:00:31.000]  有時候當我們讀聖經的時候,發覺有些經文好像真的互相矛盾,我們不知道應該怎樣去處理好
[00:00:31.000 --> 00:00:36.000]  讀聖經的時候可能會發現有些經文好像互相矛盾,不知道如何處理好
[00:00:36.000 --> 00:00:43.000]  在我引一些例子之前,我想和大家看看,什麼導致我們有這些矛盾
[00:00:43.000 --> 00:00:51.000]  在我沒有引用具體例子經文的時候,就讓大家看看什麼情況會引起矛盾
[00:00:51.000 --> 00:00:57.000]  最近我和一位老牧者見面的緣故,大家一起去傾談
[00:00:57.000 --> 00:01:02.000]  和一些弟兄姐妹一起去討論關於屬靈生命的成長問題
[00:01:02.000 --> 00:01:11.000]  我最近和一位老牧者見面之前,和大家去討論教會弟兄姊妹成長的矛盾
[00:01:11.000 --> 00:01:22.000]  有一位弟兄提出,牧師我們有個問題,就是今時今日翻譯的聖經譯本越來越多
[00:01:22.000 --> 00:01:29.000]  我們到時至今日,聖經的譯本越來越多
[00:01:29.000 --> 00:01:39.000]  特別我最近收到一個電郵,漢語聖經也出版了一本新的聖經,專門重譯摩西五經
[00:01:39.000 --> 00:01:46.000]  我最近也收到一個電郵,有一套聖經是重譯了摩西五經
[00:01:46.000 --> 00:01:52.000]  據說因為越來越多不同的譯本,越來越多的譯本
[00:01:52.000 --> 00:02:04.000]  於是乎我們以前會背很多金句,什麼金句?就是聖經很有名的句子,很有用的句子
[00:02:04.000 --> 00:02:14.000]  誰知現在每個人的譯本都不同了,不同的譯本的話都不一樣了
[00:02:14.000 --> 00:02:25.000]  很難記在每個信徒的心裏面,於是乎就無所適從
[00:02:25.000 --> 00:02:39.000]  當我和他談到這個問題的時候,的確是如此,不同的譯本會產生這樣的問題
[00:02:39.000 --> 00:02:45.000]  但也帶出了一個很重要的事實,就是基督徒在屬靈生命的過程當中
[00:02:45.000 --> 00:02:56.000]  很多時候只是靠金句去生活,有很多時候是靠金句來生活
[00:02:56.000 --> 00:03:10.000]  你知道我們教會的廣導每一個星期都上網,有一次我回香港和一個負責上網時封的機構
[00:03:10.000 --> 00:03:15.000]  因為他每個星期都把我們教會的網站的廣導錄了回香港和中國大陸
[00:03:15.000 --> 00:03:33.000]  他說中國大陸的信徒很喜歡聽我們教會的廣導
