
[00:00:00.000 --> 00:00:02.000]  俗語有話
[00:00:02.000 --> 00:00:04.000]  金錢不是萬能的
[00:00:04.000 --> 00:00:07.000]  但連小學生都懂得回應
[00:00:07.000 --> 00:00:10.000]  但沒有錢就萬萬不能
[00:00:10.000 --> 00:00:12.000]  亦有俗語說
[00:00:12.000 --> 00:00:15.000]  錢解決到的問題就不是問題
[00:00:15.000 --> 00:00:18.000]  但很多時就沒有錢去解決問題
[00:00:18.000 --> 00:00:20.000]  那就是問題了
[00:00:20.000 --> 00:00:25.000]  到底基督徒要怎樣去看財富呢?
[00:00:25.000 --> 00:00:27.000]  首先我們要明白
[00:00:27.000 --> 00:00:30.000]  神是容許有貧富的分別
[00:00:30.000 --> 00:00:32.000]  在舊約的時候
[00:00:32.000 --> 00:00:34.000]  摩西五經裏面
[00:00:34.000 --> 00:00:36.000]  利未記第一章至第五章
[00:00:36.000 --> 00:00:38.000]  說到獻祭
[00:00:38.000 --> 00:00:41.000]  神說有錢的就獻牛獻羊
[00:00:41.000 --> 00:00:45.000]  如果錢不夠就獻班溝、初鴿
[00:00:45.000 --> 00:00:48.000]  而去到馬太福音第25章
[00:00:48.000 --> 00:00:51.000]  說到按財受託的比喻
[00:00:51.000 --> 00:00:53.000]  很多信徒都會知道
[00:00:53.000 --> 00:00:57.000]  神是把不同的恩賜、錢財
[00:00:57.000 --> 00:00:59.000]  給不同的人去管理
[00:00:59.000 --> 00:01:02.000]  我們都是這些錢財、恩賜的管家
[00:01:02.000 --> 00:01:05.000]  最終我們都要向神交賬
[00:01:05.000 --> 00:01:08.000]  讓我們從主席剛才所讀的經文裏
[00:01:08.000 --> 00:01:10.000]  一起思想一下
[00:01:10.000 --> 00:01:12.000]  基督徒和財富
[00:01:12.000 --> 00:01:19.000]  首先我想和大家看看
[00:01:19.000 --> 00:01:21.000]  第17至第19節
[00:01:21.000 --> 00:01:23.000]  說到對富有的信號
[00:01:23.000 --> 00:01:25.000]  一些提醒
[00:01:25.000 --> 00:01:28.000]  在消極方面
