
[00:00:00.000 --> 00:00:04.440]  就是我們總是人生裡面有不同的障礙要跨過的
[00:00:04.440 --> 00:00:07.100]  總是有不同的舒適區我們要離開
[00:00:07.100 --> 00:00:10.440]  然後我們的生命才可以向前的
[00:00:10.440 --> 00:00:14.400]  這個其實也是上帝給我們的旨意
[00:00:14.400 --> 00:00:16.700]  叫我們基督徒的生命能夠繼續的向前
[00:00:16.700 --> 00:00:20.540]  所以在這年裡面我們會逐章逐章看《司徒行傳》
[00:00:20.540 --> 00:00:22.600]  上一次看到《司徒行傳》第一章的時候
[00:00:22.600 --> 00:00:26.300]  就是說這些耶路撒冷的信徒
[00:00:26.300 --> 00:00:29.300]  耶穌基督的門徒在耶穌升天之後
[00:00:29.300 --> 00:00:34.500]  他們就被吩咐到耶路撒冷等候聖靈的降臨
[00:00:34.500 --> 00:00:35.500]  記得嗎?
[00:00:35.500 --> 00:00:36.800]  然後第一章最後的時候
[00:00:36.800 --> 00:00:39.300]  他們就選了第十二個門徒
[00:00:39.300 --> 00:00:40.700]  因為猶大沒有了
[00:00:40.700 --> 00:00:42.100]  然後選了誰?
[00:00:42.100 --> 00:00:43.700]  馬提亞是嗎?
[00:00:43.700 --> 00:00:45.900]  這個代表他們怎樣認識自己
[00:00:45.900 --> 00:00:51.500]  這一幫人認為自己就是上帝所應許的神國的子民
[00:00:51.500 --> 00:00:53.800]  是有聖靈來驅動的那幫人
[00:00:53.800 --> 00:00:55.800]  在《舊約以賽》的書裡面早就說了
[00:00:55.800 --> 00:00:58.000]  《舊約》裡面有不同的應許已經說了
[00:00:58.000 --> 00:00:59.400]  所以他們的自我理解
[00:00:59.400 --> 00:01:00.600]  他們的明白
[00:01:00.600 --> 00:01:01.800]  對自己的認識
[00:01:01.800 --> 00:01:05.300]  就是說我們就是上帝的子民
[00:01:05.300 --> 00:01:07.700]  我們就是那幫相信彌賽亞人之後
[00:01:07.700 --> 00:01:10.800]  有聖靈降臨在我們身上工作的那幫人
[00:01:10.800 --> 00:01:11.600]  這個就是教會
[00:01:11.600 --> 00:01:14.100]  這個就是我們對我們自己的自我理解
