
[00:00:00.000 --> 00:00:01.820]  我們要同心吐槽
[00:00:01.820 --> 00:00:07.340]  親愛的主,多謝你讓我們能夠一同去敬拜你
[00:00:07.340 --> 00:00:10.200]  如今我們眾弟兄姊妹們
[00:00:10.200 --> 00:00:13.900]  是我們專心看著你
[00:00:13.900 --> 00:00:17.540]  要用我們耳朵聽你的話語
[00:00:17.540 --> 00:00:19.780]  經歷你的同在
[00:00:19.780 --> 00:00:23.980]  求你讓我們眾弟兄姊妹們聽到你的話語的時候
[00:00:23.980 --> 00:00:26.180]  我們就相信你
[00:00:26.640 --> 00:00:33.320]  求你教導我們在這個年代繼續跟隨你
[00:00:33.320 --> 00:00:38.600]  我們是不從惡人的計謀
[00:00:38.600 --> 00:00:41.580]  不站罪人的道路
[00:00:41.580 --> 00:00:45.280]  不坐蝕萬人的座位
[00:00:45.280 --> 00:00:48.340]  我們喜愛耶和華的律法
[00:00:48.340 --> 00:00:50.240]  周爺的思想
[00:00:51.040 --> 00:00:59.860]  就像樹在溪水旁邊,按時候的果子、葉子也不枯狂
[00:00:59.860 --> 00:01:04.580]  親愛的主,求你讓我們有正直的道路
[00:01:04.580 --> 00:01:07.200]  有正直的生命
[00:01:07.200 --> 00:01:09.160]  是蒙福的生命
[00:01:09.160 --> 00:01:13.460]  如今我們眾弟兄姊妹們學無理的話語
[00:01:13.460 --> 00:01:18.200]  求你讓我們能夠有信心去領受一同的相信
[00:01:18.880 --> 00:01:23.020]  我們祈禱是奉主耶穌基督的名字,阿們
[00:01:23.020 --> 00:01:28.300]  耶穌基督一生是問了很多問題的
[00:01:28.300 --> 00:01:31.800]  按照聖經的記載
[00:01:31.800 --> 00:01:33.480]  耶穌基督十二歲的時候
[00:01:33.480 --> 00:01:36.040]  在聖殿就問拉比一些問題
[00:01:36.040 --> 00:01:38.680]  在耶穌基督十二歲的時候
[00:01:38.680 --> 00:01:41.200]  爸爸約瑟就帶他們一家人
[00:01:41.200 --> 00:01:45.800]  就由拿撒勒去耶路撒冷,去過愉悅節
[00:01:46.340 --> 00:01:49.440]  節期過後就回家
[00:01:49.440 --> 00:01:52.540]  回家的行程當中
[00:01:52.540 --> 00:01:55.160]  第一天晚上見不到耶穌
[00:01:55.160 --> 00:01:58.700]  於是又要走回去耶路撒冷找耶穌
[00:01:58.700 --> 00:02:01.340]  找了三天,找不到耶穌基督
[00:02:01.340 --> 00:02:04.140]  後來在聖殿找到
[00:02:04.140 --> 00:02:08.040]  見到耶穌基督就是在聖殿當中
[00:02:08.040 --> 00:02:12.640]  是聽拉比的教導,在問拉比問題
[00:02:13.200 --> 00:02:17.480]  他的智慧是讓人覺得非常驚訝
[00:02:17.480 --> 00:02:20.960]  媽媽見到耶穌基督
[00:02:20.960 --> 00:02:23.180]  於是就說
[00:02:23.180 --> 00:02:27.320]  兒子,為什麼你來了聖殿讓我們知道
[00:02:27.320 --> 00:02:28.860]  讓我們擔憂
[00:02:28.860 --> 00:02:32.820]  耶穌基督的回答是很直接的
[00:02:32.820 --> 00:02:34.780]  為什麼找我呢?
[00:02:34.780 --> 00:02:39.700]  難道你們不知道我應當在我父的奸淚嗎?
[00:02:40.220 --> 00:02:45.840]  在紀錄中看到耶穌基督是問問題的
[00:02:45.840 --> 00:02:48.020]  他一生問了很多問題
[00:02:48.020 --> 00:02:50.860]  你知不知道他問了多少條問題在一生當中
[00:02:50.860 --> 00:02:53.140]  根據新約的記載
[00:02:53.140 --> 00:02:55.900]  Martin Coburn Haver
[00:02:55.900 --> 00:02:58.300]  告訴我們,他在書中說
[00:02:58.300 --> 00:03:02.460]  耶穌基督問了307條問題
