
[00:00:00.000 --> 00:00:08.000]  我們在過去這一段時間
[00:00:08.000 --> 00:00:11.000]  我們講到說我們信了耶穌之後
[00:00:11.000 --> 00:00:15.000]  我們就有新的生命在我們裏面
[00:00:15.000 --> 00:00:19.000]  這個新的生命是從哪裏來的?
[00:00:19.000 --> 00:00:26.000]  這個新的生命是從聖靈重生所帶來的
[00:00:26.000 --> 00:00:28.000]  所以保祿在這裏講到說
[00:00:28.000 --> 00:00:30.000]  我們有一個新的人在這裏
[00:00:30.000 --> 00:00:31.000]  接下來保祿說
[00:00:31.000 --> 00:00:33.000]  我們既然是一個新的人
[00:00:33.000 --> 00:00:35.000]  就要脫去舊人穿上新人
[00:00:35.000 --> 00:00:38.000]  保祿用穿衣服來做這個比喻
[00:00:38.000 --> 00:00:40.000]  穿跟脫這個是同時進行的
[00:00:40.000 --> 00:00:42.000]  我們信了主之後就要不斷地脫
[00:00:42.000 --> 00:00:43.000]  也不斷地穿
[00:00:43.000 --> 00:00:45.000]  不斷地把舊的人脫掉
[00:00:45.000 --> 00:00:47.000]  不斷地把新的人穿起來
[00:00:47.000 --> 00:00:49.000]  所以從言語上面要改變
[00:00:49.000 --> 00:00:52.000]  我們的言語要改變
[00:00:52.000 --> 00:00:55.000]  我們不要再去說那些誤會的話語
[00:00:55.000 --> 00:00:56.000]  不要再去說謊言
[00:00:56.000 --> 00:00:58.000]  不要再說那些不好的話語
[00:00:58.000 --> 00:00:59.000]  我們要說好的話語
[00:00:59.000 --> 00:01:00.000]  我們的言語要改變
[00:01:00.000 --> 00:01:01.000]  我們的習慣要改變
[00:01:01.000 --> 00:01:04.000]  我們的生活要改變
[00:01:04.000 --> 00:01:08.000]  所以保祿在這裏講了之後
[00:01:08.000 --> 00:01:10.000]  講到這些人
[00:01:10.000 --> 00:01:12.000]  接着他三十節就說
[00:01:12.000 --> 00:01:17.000]  不要叫神的聖靈擔憂
[00:01:17.000 --> 00:01:18.000]  後來就告訴說
[00:01:18.000 --> 00:01:19.000]  我們不要這樣做
[00:01:19.000 --> 00:01:23.000]  因爲這樣做會讓聖靈擔憂
[00:01:23.000 --> 00:01:25.000]  保祿這個地方把聖靈提出來
[00:01:25.000 --> 00:01:27.000]  同志們請問你
[00:01:27.000 --> 00:01:28.000]  你新竹到現在
[00:01:28.000 --> 00:01:32.000]  經過有關聖靈的道有多少年
[00:01:32.000 --> 00:01:34.000]  有沒有經過有關講聖靈的道
[00:01:34.000 --> 00:01:39.000]  從頭到尾都講聖靈的
[00:01:39.000 --> 00:01:41.000]  我自己從小在教會長大
[00:01:41.000 --> 00:01:45.000]  我發現教會講聖靈講得很少
[00:01:45.000 --> 00:01:49.000]  特別我們所謂福音派教會
[00:01:49.000 --> 00:01:50.000]  我們福音派教會
[00:01:50.000 --> 00:01:51.000]  我們覺得聖經很重要
[00:01:51.000 --> 00:01:52.000]  神話很重要
[00:01:52.000 --> 00:01:56.000]  但是聖靈也很重要
[00:01:56.000 --> 00:01:59.000]  可是常常聖靈是什麼時候出現的
[00:01:59.000 --> 00:02:01.000]  就是在牧師座祝福禱告的時候
[00:02:01.000 --> 00:02:05.000]  願主耶穌基督的恩惠
[00:02:05.000 --> 00:02:07.000]  聖靈的感動
[00:02:07.000 --> 00:02:08.000]  不不不
