
[00:00:00.000 --> 00:00:05.000]  在中世紀的教會裡面流傳了一句話
[00:00:05.000 --> 00:00:10.000]  當你的錢幣叮噹落入錢箱時
[00:00:10.000 --> 00:00:15.000]  靈魂就從煉獄跳出來
[00:00:15.000 --> 00:00:20.000]  你猜這句話是鼓勵人做什麼呢?
[00:00:20.000 --> 00:00:23.000]  奉獻?
[00:00:23.000 --> 00:00:27.000]  是鼓勵人贖罪的
[00:00:27.000 --> 00:00:28.000]  是悔罪
[00:00:28.000 --> 00:00:34.000]  當然你看到這裡鼓勵人是比較多的
[00:00:34.000 --> 00:00:36.000]  為什麼這樣的情況呢?
[00:00:36.000 --> 00:00:40.000]  這是15世紀末到16世紀初期
[00:00:40.000 --> 00:00:47.000]  大公教會有一種叫做販賣贖罪券的情況
[00:00:47.000 --> 00:00:53.000]  這句話出來就是因為當時
[00:00:53.000 --> 00:00:57.000]  他們借用了這種贖罪券的情況
[00:00:57.000 --> 00:01:01.000]  去籌措一些資金
[00:01:01.000 --> 00:01:08.000]  尤其是去建造聖彼得大教堂
[00:01:08.000 --> 00:01:13.000]  這種救恩和金錢掛鉤的做法
[00:01:13.000 --> 00:01:20.000]  當然成為當時中世紀大公教會最具爭議的做法
[00:01:20.000 --> 00:01:27.000]  原本贖罪券是大公教會的一種宗教實踐
[00:01:27.000 --> 00:01:35.000]  主要是減免信徒因為罪而受暫時的懲罰
[00:01:35.000 --> 00:01:43.000]  但當然沒有直接卸罪的能力
[00:01:43.000 --> 00:01:51.000]  所以他們的做法去到這麼極端成為了籌募金錢
[00:01:51.000 --> 00:01:55.000]  引發了馬丁路德很強烈的反對
[00:01:55.000 --> 00:02:01.000]  所以他在1517年那個九十五條的綱論裡
[00:02:01.000 --> 00:02:06.000]  成為了當時宗教改革的導火線
[00:02:06.000 --> 00:02:14.000]  這就影響了今天所謂的新教開始一個新的方向
[00:02:14.000 --> 00:02:18.000]  最終這個贖罪券在1567年
[00:02:18.000 --> 00:02:25.000]  販賣贖罪券的行為已經被大公教會禁止了
[00:02:25.000 --> 00:02:29.000]  剛才我們讀這段經文
[00:02:29.000 --> 00:02:42.000]  其實都是看到關於罪惡和迴轉和去悔罪的一段經文
[00:02:42.000 --> 00:02:51.000]  這個講到大衛因為被神稱為合他心意的人
[00:02:51.000 --> 00:02:59.000]  竟然在撒貝爾記下11章裡犯了姦淫和謀殺的大罪
[00:02:59.000 --> 00:03:04.000]  他本來是身受神喜悅的君王
[00:03:04.000 --> 00:03:10.000]  卻是在權勢和私慾的面前跌倒
[00:03:10.000 --> 00:03:14.000]  但他的失敗不是故事的終結
[00:03:14.000 --> 00:03:17.000]  神沒有這樣放棄他
[00:03:17.000 --> 00:03:20.000]  透過先知拿丹去喚醒他
[00:03:20.000 --> 00:03:24.000]  叫他能夠去迴轉悔改
[00:03:24.000 --> 00:03:32.000]  這段經文就看到大衛願意悔罪迴轉歸向神
[00:03:32.000 --> 00:03:40.000]  成為了一段關乎我們今天每一個人心靈迴轉的啟示
[00:03:40.000 --> 00:03:52.000]  也是一個鏡子映照出我們今天生命裡有罪惡的掙扎
[00:03:52.000 --> 00:03:56.000]  大逆有神的恩典和憐憫
[00:03:56.000 --> 00:04:02.000]  所以今天就和大家分享繼續用這個喚上新心這個系列
[00:04:02.000 --> 00:04:05.000]  是迴轉的心
[00:04:05.000 --> 00:04:10.000]  分開三方面和大家去正道
[00:04:10.000 --> 00:04:13.000]  第一是漸行漸遠
[00:04:13.000 --> 00:04:16.000]  第二是一意孤行
[00:04:16.000 --> 00:04:23.000]  第三是罪無可赦罪還可赦
[00:04:23.000 --> 00:04:25.000]  一開始十一章第一節
[00:04:25.000 --> 00:04:28.000]  其實今天講的經文是包括兩章的
[00:04:28.000 --> 00:04:30.000]  十一章到十二章
[00:04:30.000 --> 00:04:33.000]  不過因為時間我們不讀全部的經文
[00:04:33.000 --> 00:04:35.000]  當中再提醒一些內容
[00:04:35.000 --> 00:04:38.000]  開始第一節
[00:04:38.000 --> 00:04:41.000]  過了一年 正是珠王出戰的時候
[00:04:41.000 --> 00:04:48.000]  大衛就踩派的養鴨和神僕和維斯林出去戰爭
[00:04:48.000 --> 00:04:50.000]  打敗阿滿人
[00:04:50.000 --> 00:04:57.000]  大衛仍然留在耶路撒冷
[00:04:57.000 --> 00:05:03.000]  這個故事開始就是講現在大衛已經是一個成年的大衛
[00:05:03.000 --> 00:05:06.000]  他正是經過很多的考驗
