
[00:00:00.000 --> 00:00:01.620]  好,我們繼續看
[00:00:01.620 --> 00:00:06.000]  於是拿奧米和他們親吻
[00:00:06.000 --> 00:00:08.440]  他們就放聲大哭對他說
[00:00:08.440 --> 00:00:14.360]  不,我們要與你一同回你的百姓那裏去
[00:00:14.360 --> 00:00:16.520]  這兩個媳婦她說
[00:00:16.520 --> 00:00:19.080]  我寧願沒有丈夫
[00:00:19.080 --> 00:00:20.720]  我都要和你去
[00:00:20.720 --> 00:00:22.720]  這個決心都不少
[00:00:22.720 --> 00:00:24.520]  因爲你知道他們是我的幫人
[00:00:24.520 --> 00:00:26.560]  如果他們去了猶太人的地方
[00:00:26.560 --> 00:00:31.920]  他們可以再嫁到丈夫的機會是極其少的
[00:00:31.920 --> 00:00:33.520]  如果她找不到丈夫
[00:00:33.520 --> 00:00:36.440]  她下半生就很慘的了
[00:00:36.440 --> 00:00:39.200]  甚至很容易餓死的
[00:00:39.200 --> 00:00:40.320]  但是她說
[00:00:40.320 --> 00:00:43.280]  我寧願沒有丈夫
[00:00:43.280 --> 00:00:44.800]  我都要和你去
[00:00:44.800 --> 00:00:46.240]  這是轉機來的
[00:00:46.240 --> 00:00:47.120]  但是怎樣呢?
[00:00:47.120 --> 00:00:51.560]  拿奧米一樣叫他們回去
[00:00:51.560 --> 00:00:52.880]  她想相信耶和華
[00:00:52.880 --> 00:00:59.000]  拿奧米不要了,不要了,回去吧
[00:00:59.000 --> 00:01:02.160]  你看到最後越來越清楚
[00:01:02.160 --> 00:01:04.320]  拿奧米說我的女兒也要回去吧
[00:01:04.320 --> 00:01:06.120]  爲何跟我去呢?
[00:01:06.120 --> 00:01:08.560]  我還能生兒子作你們的丈夫嗎?
[00:01:08.560 --> 00:01:11.680]  有老公很重要的
[00:01:11.680 --> 00:01:12.800]  生活很重要的
[00:01:12.800 --> 00:01:17.600]  找到一份好收入的工作很重要的
[00:01:17.600 --> 00:01:21.680]  嫁到一個好住家很重要的
[00:01:21.680 --> 00:01:26.760]  有個美滿的家庭很重要的
[00:01:26.760 --> 00:01:28.160]  上帝呢?
[00:01:28.160 --> 00:01:32.560]  不是那麼重要的
[00:01:32.560 --> 00:01:34.320]  我的女兒啊,回去吧
[00:01:34.320 --> 00:01:35.440]  又回去了
[00:01:35.440 --> 00:01:37.840]  回去哪裏都死路一條
[00:01:37.840 --> 00:01:40.040]  我年紀老了不能再有丈夫
[00:01:40.040 --> 00:01:42.120]  就算我還有希望
[00:01:42.120 --> 00:01:43.320]  今夜有丈夫
[00:01:43.320 --> 00:01:45.120]  而且也生了兒子
[00:01:45.120 --> 00:01:47.880]  你們豈能等着他們長大
[00:01:47.880 --> 00:01:52.760]  你們豈能守着自己不嫁人嗎?
