
[00:00:00.000 --> 00:00:05.300]  今年我們崇拜讀的聖經在二挫書裏面
[00:00:05.300 --> 00:00:08.040]  由第四十章開始
[00:00:08.040 --> 00:00:13.980]  已經講到一些安慰和拯救的信息
[00:00:13.980 --> 00:00:17.640]  也是有安慰拯救之書的稱號
[00:00:17.640 --> 00:00:20.280]  我們盼望在疫情過後
[00:00:20.280 --> 00:00:21.440]  每次崇拜
[00:00:21.440 --> 00:00:24.840]  都希望神親親用祂的話語幫助大家
[00:00:24.840 --> 00:00:27.120]  去鼓勵大家的時間
[00:00:28.220 --> 00:00:30.440]  今天我們來到第四十二章
[00:00:30.440 --> 00:00:34.360]  首先整章的聖經用一個很戲劇性的方式
[00:00:34.360 --> 00:00:37.000]  去介紹耶華的僕人
[00:00:37.000 --> 00:00:38.520]  上星期我們都看過
[00:00:38.520 --> 00:00:40.740]  在四十二章一至二節
[00:00:40.740 --> 00:00:42.160]  祂說看我的僕人
[00:00:42.160 --> 00:00:43.280]  我所扶持
[00:00:43.280 --> 00:00:44.560]  我所揀選
[00:00:44.560 --> 00:00:45.560]  心裡所喜悅的
[00:00:45.560 --> 00:00:47.400]  我要將我的靈賜給他
[00:00:47.400 --> 00:00:49.800]  他必將功利傳給外邦
[00:00:49.800 --> 00:00:51.520]  他不圈養
[00:00:51.520 --> 00:00:52.440]  不揚聲
[00:00:52.440 --> 00:00:55.120]  也不使街上聽見他的聲音
[00:00:55.120 --> 00:00:57.920]  在二挫書裏面
[00:00:57.920 --> 00:01:00.440]  很多次提到耶華的僕人
[00:01:00.440 --> 00:01:03.240]  的確很容易會令我們混淆
[00:01:03.240 --> 00:01:04.640]  上個星期
[00:01:04.640 --> 00:01:05.800]  六輪全牧師
[00:01:05.800 --> 00:01:07.320]  六牧師都提過
[00:01:07.320 --> 00:01:09.600]  耶華的僕人可以指到
[00:01:09.600 --> 00:01:12.080]  神所揀選的以色列民族
[00:01:12.080 --> 00:01:15.040]  可以指到地倉下的救贖主
[00:01:15.040 --> 00:01:18.120]  甚至是今天我們的信徒
[00:01:18.120 --> 00:01:22.640]  在四十一章八到九節裏面
[00:01:22.640 --> 00:01:25.640]  祂說到為你以色列我的僕人
[00:01:26.040 --> 00:01:28.040]  阿閣 我所揀選
[00:01:28.040 --> 00:01:29.960]  我朋友亞伯拉罕的後裔
[00:01:29.960 --> 00:01:32.480]  你是我從地極所領來的
[00:01:32.480 --> 00:01:34.680]  從地角所召來的
[00:01:34.680 --> 00:01:35.840]  且對你說
[00:01:35.840 --> 00:01:37.240]  你是我的僕人
[00:01:37.240 --> 00:01:38.480]  我揀選你
[00:01:38.480 --> 00:01:40.160]  並不棄絕你
[00:01:40.160 --> 00:01:42.960]  所以以色列人很清楚
[00:01:42.960 --> 00:01:43.640]  聖經說
[00:01:43.640 --> 00:01:45.880]  神所揀選的民族
[00:01:45.880 --> 00:01:49.160]  但是他們卻是
[00:01:49.160 --> 00:01:51.280]  屢次令神失望
[00:01:51.280 --> 00:01:53.600]  在神的恩典之下
[00:01:54.000 --> 00:01:56.200]  神仍然沒有放棄過以色列人
[00:01:56.200 --> 00:01:59.000]  在歷史上我們可以看到
[00:01:59.000 --> 00:02:01.000]  知道以色列人
[00:02:01.000 --> 00:02:02.280]  或者是猶太人
[00:02:02.280 --> 00:02:04.200]  他們曾經經歷過一段段
[00:02:04.200 --> 00:02:07.480]  不容易被神管教的時期
[00:02:07.480 --> 00:02:09.560]  他們曾經被擄
[00:02:09.560 --> 00:02:11.880]  被統治過
[00:02:11.880 --> 00:02:13.400]  甚至乎
[00:02:13.400 --> 00:02:17.520]  接近種族被滅絕的邊緣
[00:02:17.520 --> 00:02:22.520]  以塞哈書之前的蝙蝠
[00:02:22.520 --> 00:02:24.320]  已經一而再地
[00:02:24.320 --> 00:02:25.800]  以塞哈
[00:02:25.800 --> 00:02:29.440]  向以色列人宣告過神審判的信息
[00:02:29.440 --> 00:02:31.440]  神對他們提出
[00:02:31.440 --> 00:02:33.440]  對他們警告過很多次
[00:02:33.440 --> 00:02:36.320]  他們將要被擄到他國
[00:02:36.320 --> 00:02:39.960]  不過已經被亞述所滅
[00:02:39.960 --> 00:02:44.400]  耶路撒冷也曾經差點淪陷
[00:02:44.400 --> 00:02:46.760]  但是以色列人仍然
[00:02:46.760 --> 00:02:47.960]  一直都是
[00:02:47.960 --> 00:02:49.520]  依然故我
[00:02:49.520 --> 00:02:50.640]  充耳不聞
[00:02:51.360 --> 00:02:52.840]  在神的啟示之下
[00:02:52.840 --> 00:02:54.120]  以塞哈先知提到
[00:02:54.120 --> 00:02:56.480]  他預告將有一位
[00:02:56.480 --> 00:02:59.120]  神所喜悅的救贖主尼賽亞
[00:02:59.120 --> 00:03:01.160]  將會作為世人的盼望
[00:03:01.160 --> 00:03:02.960]  來到世人中間
[00:03:02.960 --> 00:03:05.200]  歷史都給我們看到
[00:03:05.200 --> 00:03:06.520]  耶穌的出現
[00:03:06.520 --> 00:03:09.640]  成就了這個預言
[00:03:09.640 --> 00:03:10.520]  成真
[00:03:10.520 --> 00:03:14.000]  但是也都在猶太人的鼓動之下
[00:03:14.000 --> 00:03:16.800]  耶穌被釘上十字架
[00:03:16.800 --> 00:03:19.040]  祂死在十字架之上
[00:03:19.040 --> 00:03:20.280]  祂補血流出
[00:03:20.680 --> 00:03:24.120]  祂生命換取了我們眾人的生命
[00:03:24.120 --> 00:03:26.080]  完成了救贖的恩典
[00:03:26.080 --> 00:03:27.960]  就好像祂曾經在
[00:03:27.960 --> 00:03:31.960]  馬丘風二一章三十三到四十六節裏面的
[00:03:31.960 --> 00:03:34.400]  凶惡玄乎的比喻裏面提到
[00:03:34.400 --> 00:03:36.160]  祂說有個家主
[00:03:36.160 --> 00:03:38.080]  栽了一個葡萄園
[00:03:38.080 --> 00:03:39.920]  周圍圈上尼巴
[00:03:39.920 --> 00:03:41.920]  裏面挖了一個壓走池
[00:03:41.920 --> 00:03:43.120]  蓋了一座樓
[00:03:43.120 --> 00:03:44.320]  租給玄乎
[00:03:44.320 --> 00:03:45.960]  就往外國去了
[00:03:45.960 --> 00:03:47.520]  收果子的時候
[00:03:47.520 --> 00:03:49.800]  近了就打發僕人到玄乎那裏
[00:03:49.800 --> 00:03:50.920]  去收果子
[00:03:50.920 --> 00:03:53.200]  玄乎拿著僕人
[00:03:53.200 --> 00:03:54.680]  打了一個
[00:03:54.680 --> 00:03:55.880]  殺了一個
[00:03:55.880 --> 00:03:57.760]  用石頭打死一個
[00:03:57.760 --> 00:04:00.080]  主人又打發別的僕人去
[00:04:00.080 --> 00:04:01.480]  比先前的更多
[00:04:01.480 --> 00:04:04.440]  玄乎還是照樣這樣待他們
[00:04:04.440 --> 00:04:06.280]  後來打發他們的兒子
[00:04:06.280 --> 00:04:07.240]  到他們那裏去
[00:04:07.240 --> 00:04:08.320]  意思是說
[00:04:08.320 --> 00:04:11.440]  他們必會尊敬我的兒子
[00:04:11.440 --> 00:04:12.880]  不料
[00:04:12.880 --> 00:04:16.000]  玄乎看見他的兒子就彼此說
[00:04:16.000 --> 00:04:18.240]  這是承受產業的
[00:04:18.600 --> 00:04:19.880]  來罷我們殺他
[00:04:19.880 --> 00:04:21.160]  佔他的產業
[00:04:21.160 --> 00:04:22.880]  他們就拿著他
[00:04:22.880 --> 00:04:25.000]  推出葡萄園外殺了
