
[00:00:00.000 --> 00:00:02.000]  好,各位大英節目,你們好!
[00:00:02.000 --> 00:00:05.000]  很高興可以跟大家一起分享
[00:00:05.000 --> 00:00:08.000]  大家很熟悉這段經文
[00:00:08.000 --> 00:00:11.000]  說到《瑪利亞找香高高耶穌》
[00:00:11.000 --> 00:00:14.000]  那些經文我們已經讀了,我們不去讀了
[00:00:14.000 --> 00:00:17.000]  我想說一下,《瑪利亞找香高高耶穌》
[00:00:17.000 --> 00:00:21.000]  其實當中包含了侍奉的五方面
[00:00:21.000 --> 00:00:24.000]  第一,就是
[00:00:24.000 --> 00:00:27.000]  什麼成為侍奉的動力呢?
[00:00:27.000 --> 00:00:30.000]  請你記住,在耶穌那個年代裡面
[00:00:30.000 --> 00:00:34.000]  男女是不平等的,就像現在這樣
[00:00:34.000 --> 00:00:36.000]  現在都是男女不平等的嘛
[00:00:36.000 --> 00:00:38.000]  現在女性強很多的
[00:00:38.000 --> 00:00:40.000]  我們男人要縮在一旁的
[00:00:40.000 --> 00:00:42.000]  但是在耶穌年代,不是的
[00:00:42.000 --> 00:00:44.000]  男人是很厲害的
[00:00:44.000 --> 00:00:47.000]  女性是沒有什麼機會出來做事的
[00:00:47.000 --> 00:00:49.000]  所以你記得《仕途行傳》裡面
[00:00:49.000 --> 00:00:52.000]  特別提到一個賣紫色布的女人
[00:00:52.000 --> 00:00:55.000]  就是一個很突出的女士
[00:00:55.000 --> 00:00:57.000]  《瑪利亞找香高高耶穌》呢,不要忘記
[00:00:57.000 --> 00:01:00.000]  她不是一個很富有的家庭
[00:01:00.000 --> 00:01:03.000]  如果她是很富有的話
[00:01:03.000 --> 00:01:05.000]  很坦白地說
[00:01:05.000 --> 00:01:11.000]  她們就不需要這樣不斷地去做事
[00:01:11.000 --> 00:01:13.000]  就像耶穌去她家裡吃飯的時候
[00:01:13.000 --> 00:01:15.000]  但是很忙碌,她是請高層的嘛
[00:01:15.000 --> 00:01:18.000]  所以她們不是那麼富有
[00:01:18.000 --> 00:01:22.000]  但是30兩銀幣就是多少錢呢?
[00:01:22.000 --> 00:01:26.000]  如果你說,等於現在的錢是沒有意思的
[00:01:26.000 --> 00:01:31.000]  因為在英國,英鎊早幾天是9.7元
[00:01:31.000 --> 00:01:34.000]  這兩天,好像是9.5元
[00:01:34.000 --> 00:01:37.000]  也是不同價錢的,是不是?
[00:01:37.000 --> 00:01:39.000]  所以等於現在的錢是沒有意思的
[00:01:39.000 --> 00:01:42.000]  不過,我們知道兩件事
[00:01:42.000 --> 00:01:46.000]  第一,原來當天你用30兩銀幣
[00:01:46.000 --> 00:01:50.000]  買一個奴隸一生福士禮
[00:01:50.000 --> 00:01:52.000]  你不用再付錢了
