
[00:00:00.000 --> 00:00:03.040]  假如你剛剛進入中年
[00:00:03.040 --> 00:00:05.720]  突然間有人跟你說
[00:00:05.720 --> 00:00:08.840]  你只剩下十年命
[00:00:08.840 --> 00:00:15.280]  你會怎樣為你人生最後一段路去計劃呢?
[00:00:15.280 --> 00:00:21.080]  在斯奧寶羅執筆寫羅馬書的時候
[00:00:21.080 --> 00:00:23.880]  大概是公元57年
[00:00:23.880 --> 00:00:28.200]  當時他正好是中年50歲出頭
[00:00:29.300 --> 00:00:34.380]  而他的生命將剩下最後的十年
[00:00:34.380 --> 00:00:38.720]  早幾年前在哥倫多裏面
[00:00:38.720 --> 00:00:41.800]  保羅遇到一對夫婦
[00:00:41.800 --> 00:00:45.520]  叫做阿居拉和伯記拉
[00:00:45.520 --> 00:00:47.000]  通過他們的口中
[00:00:47.000 --> 00:00:50.160]  保羅首次聽到在遙遠的羅馬
[00:00:50.160 --> 00:00:52.040]  羅馬帝國的首都裏面
[00:00:52.040 --> 00:00:54.720]  已經有一個小小的基督教會
[00:00:55.080 --> 00:01:02.620]  由那時開始保羅的心已經萌生了一個西遊記的意念
[00:01:02.620 --> 00:01:07.700]  如果你去看保羅的宣教地圖的時候
[00:01:07.700 --> 00:01:11.500]  你會發覺保羅的第一次、第二次、第三次的宣教旅程
[00:01:11.500 --> 00:01:14.300]  基本上都是在羅馬的東邊
[00:01:14.300 --> 00:01:20.220]  現在我們回到公元57年的時候
[00:01:20.220 --> 00:01:25.700]  保羅正正在完成他第三次的宣教旅程
[00:01:25.700 --> 00:01:29.300]  他現在計劃他第四次的宣教旅程
[00:01:29.300 --> 00:01:31.180]  他的計劃很簡單
[00:01:31.180 --> 00:01:33.660]  他想盡快回到耶路撒冷
[00:01:33.660 --> 00:01:38.260]  然後由耶路撒冷起程進軍羅馬
[00:01:38.260 --> 00:01:42.700]  更加他希望通過羅馬教會的支持
[00:01:42.700 --> 00:01:44.500]  他可以去到西班牙
[00:01:44.500 --> 00:01:47.740]  一個沒有人傳福音的地方
[00:01:47.740 --> 00:01:55.460]  保羅希望在西班牙那裏可以傳揚耶穌基督的福音
[00:01:55.460 --> 00:01:58.580]  但保羅慢慢想不到
[00:01:58.580 --> 00:02:00.780]  當他去到耶路撒冷的時候
[00:02:00.780 --> 00:02:03.620]  他竟然在耶路撒冷那裏被害
[00:02:03.620 --> 00:02:04.780]  他入獄
[00:02:04.780 --> 00:02:06.660]  輾轉幾年
[00:02:06.660 --> 00:02:10.820]  最後他帶著鎖鏈去到羅馬城
[00:02:10.820 --> 00:02:13.620]  按照初期教會的傳統
[00:02:13.620 --> 00:02:17.220]  保羅在羅馬大概有兩年被軟禁
[00:02:17.220 --> 00:02:19.540]  接著他有機會被放出來
[00:02:19.540 --> 00:02:21.420]  他完成了他的心願
[00:02:21.420 --> 00:02:23.500]  去到西班牙宣教
[00:02:23.500 --> 00:02:27.940]  但他最後又回到羅馬
[00:02:27.940 --> 00:02:30.340]  在那裏殉道被斬首
[00:02:30.340 --> 00:02:33.100]  保羅最後的十年
[00:02:33.100 --> 00:02:34.820]  一半的日子是被鎖
