
[00:00:00.000 --> 00:00:04.200]  好 弟兄姊妹平安 我們再一次低頭禱告
[00:00:04.200 --> 00:00:05.700]  天父啊 來到您面前的時候
[00:00:05.700 --> 00:00:08.200]  我們願意再一次聽到您的說話
[00:00:08.200 --> 00:00:10.400]  願您的說話再一次提醒我們的心靈
[00:00:10.400 --> 00:00:13.900]  主要讓我們在當中去知道
[00:00:13.900 --> 00:00:16.900]  如何行事為人來更加蒙主悅立
[00:00:16.900 --> 00:00:18.400]  更加與您親近
[00:00:18.400 --> 00:00:21.700]  願您今天藉著這段聖經 親自的
[00:00:21.700 --> 00:00:24.300]  來去蘇醒我們的心靈
[00:00:24.300 --> 00:00:27.300]  奉耶穌基督的名其靠 下門
[00:00:27.300 --> 00:00:29.700]  今天我們看到《肥臘秘書》第四章
[00:00:29.700 --> 00:00:32.000]  一邊說《肥臘秘書》的時候
[00:00:32.000 --> 00:00:34.700]  可能你們都會有一個印象
[00:00:34.700 --> 00:00:38.700]  就是《肥臘秘》是保羅坐牢的時候寫的
[00:00:38.700 --> 00:00:42.200]  既然他坐牢的時候寫的時候
[00:00:42.200 --> 00:00:45.000]  都應該有一些重擔
[00:00:45.000 --> 00:00:48.700]  或者有一些他自己經歷到的
[00:00:48.700 --> 00:00:52.700]  一些困難的 訴苦的
[00:00:52.700 --> 00:00:57.800]  一些心靈感受到的壓力
[00:00:57.800 --> 00:01:00.000]  但是你一邊看《肥臘秘書》的時候
[00:01:00.000 --> 00:01:02.300]  你就不發覺到有的
[00:01:02.300 --> 00:01:05.300]  似乎《肥臘秘書》在當中
[00:01:05.300 --> 00:01:08.100]  反映到保羅的一種心態就是
[00:01:08.100 --> 00:01:10.600]  正如在今天的題目所說
[00:01:10.600 --> 00:01:12.300]  要靠主起落
[00:01:12.300 --> 00:01:15.400]  保羅是實實在在在
[00:01:15.400 --> 00:01:17.900]  《肥臘秘書》的隻字片語當中
[00:01:17.900 --> 00:01:20.000]  都好像將這一種的心情
[00:01:20.000 --> 00:01:22.400]  這一種的情懷來表達出來
[00:01:22.400 --> 00:01:25.000]  而事實上所謂有些人
[00:01:25.000 --> 00:01:27.300]  他們去讀《肥臘秘書》的時候
[00:01:27.300 --> 00:01:29.300]  都會將這一卷的書信
[00:01:29.300 --> 00:01:31.600]  稱為起落的書信
[00:01:31.600 --> 00:01:34.800]  這個說法就一點都不是誇張的
