
[00:00:00.000 --> 00:00:03.400]  今天繼續和大家思想到上傳第十五章
[00:00:03.400 --> 00:00:10.200]  經文講到能不分裂,能同心,是需要恩典和努力
[00:00:10.200 --> 00:00:15.300]  在歷史裡面,某些段落裡面,無論社會或者教會
[00:00:15.300 --> 00:00:18.200]  都面對一個分裂的狀態危機
[00:00:18.200 --> 00:00:23.200]  因為經文講到是一個很出名的做教會的耶路撒冷的大會
[00:00:23.200 --> 00:00:26.400]  當時教會面對一個很大的分裂危機
[00:00:26.400 --> 00:00:30.800]  就是外邦人的教會和猶太人的教會會不會分裂
[00:00:30.800 --> 00:00:35.200]  當時有些猶太人教會很執著的國禮派
[00:00:35.200 --> 00:00:39.200]  說外邦人如果不受國禮,不跟猶太人的傳統
[00:00:39.200 --> 00:00:42.600]  不跟摩西很多對猶太人的律例
[00:00:42.600 --> 00:00:46.600]  他們就不是德教,就不是信徒,就不是弟兄姊妹
[00:00:46.600 --> 00:00:49.600]  產生一個很大的分裂的狀態
[00:00:49.600 --> 00:00:55.000]  很感恩當時的領袖他們很快召集了這個耶路撒冷的會議
[00:00:55.000 --> 00:00:58.800]  很順利地在真理裡面他們有合一
[00:00:58.800 --> 00:01:01.200]  愛心裡面互相的遷就
[00:01:01.200 --> 00:01:05.000]  聖經裡面有提醒就是當我們面對一些分裂的危機的時候
[00:01:05.000 --> 00:01:08.200]  能夠及早處理都是神的恩典
[00:01:08.200 --> 00:01:11.800]  我看今天經文,上次十五章一到二十一節
[00:01:11.800 --> 00:01:16.800]  我請弟兄讀單數節,姐妹讀雙數節,我先請弟兄
[00:01:16.800 --> 00:01:21.200]  有幾個人從猶太下來教訓弟兄們說
[00:01:21.200 --> 00:01:26.000]  你們若不按摩西的規例受國禮,不能得救
[00:01:26.000 --> 00:01:44.400]  於是教會送他們起行
[00:01:44.400 --> 00:01:47.400]  他們經過菲利基、撒瑪利亞
[00:01:47.400 --> 00:01:53.400]  隨著傳說外國人歸主的旨,叫眾弟兄都甚歡喜
[00:01:53.400 --> 00:02:07.800]  惟有幾個信徒是法利塞教門的人
[00:02:07.800 --> 00:02:11.400]  起來說必須給外邦人行國禮
[00:02:11.400 --> 00:02:14.400]  吩咐他們遵守摩西的律法
[00:02:18.400 --> 00:02:22.400]  辯論已經多了,彼得就起來說
[00:02:22.400 --> 00:02:27.400]  諸位弟兄,你們知道神早已在你們中間揀選了我
[00:02:27.400 --> 00:02:32.400]  叫外邦人從我口中得聽福音之道,而且相信
[00:02:32.400 --> 00:02:46.400]  又藉著信潔淨了他們的心,並不分他們我們
[00:02:47.400 --> 00:02:52.400]  我們得救乃是恩主耶穌的恩,和他們一樣
[00:02:52.400 --> 00:02:55.400]  這是我們所信的
[00:02:55.400 --> 00:03:08.400]  他們主了聖,雅各就說
[00:03:08.400 --> 00:03:11.400]  諸位弟兄,請聽我的話
[00:03:17.400 --> 00:03:20.400]  眾先知的話,也與這意思相合
[00:03:20.400 --> 00:03:35.400]  叫餘聖的人,就是凡稱為我名下的外邦人,都尋求主
[00:03:48.400 --> 00:03:53.400]  所以據我的意見,不可難為那歸復神的外邦人
[00:03:53.400 --> 00:04:11.400]  因為從古以來,摩西的書在各城有人傳講
[00:04:11.400 --> 00:04:14.400]  每逢安息日,在會堂裡誦讀
[00:04:14.400 --> 00:04:17.400]  聖經講到當時面對一個大爭戰
[00:04:17.400 --> 00:04:21.400]  這個提醒教會或社會有時都是這樣
[00:04:21.400 --> 00:04:24.400]  我們面對爭戰的時候,分裂的時候
[00:04:24.400 --> 00:04:27.400]  我們努力去避免這個分裂的危機
[00:04:27.400 --> 00:04:29.400]  或處理好這個分裂的危機
[00:04:29.400 --> 00:04:33.400]  能夠及時處理,能夠有智慧處理,都是恩典
[00:04:33.400 --> 00:04:36.400]  聖經講到福音要傳到地極
[00:04:36.400 --> 00:04:39.400]  才能具載到很多外在的碧白
[00:04:39.400 --> 00:04:42.400]  有斯提反的碧白,仕途雅各的碧白
[00:04:42.400 --> 00:04:47.400]  信道有彼得的很多經歷的碧白
[00:04:47.400 --> 00:04:50.400]  保羅等等其他門徒的經歷的碧白
[00:04:50.400 --> 00:04:53.400]  聖經講到這個艱難的現實是真實的
[00:04:53.400 --> 00:04:56.400]  上傳十四章第二二節,一起讀吧
[00:04:56.400 --> 00:05:01.400]  「堅固門徒的心,勸他們行守所信的道
[00:05:01.400 --> 00:05:06.400]  又說我們進入神的國,必須經歷許多的艱難」
[00:05:06.400 --> 00:05:11.400]  但其中最艱難的艱難就是內部的矛盾和紛爭甚至分裂
[00:05:11.400 --> 00:05:15.400]  聖經講到在耶路撒冷會議之前
[00:05:15.400 --> 00:05:18.400]  保羅向外國人宣教的努力
[00:05:18.400 --> 00:05:22.400]  正面對國禮派的很多極端立場的挑戰
