
[00:00:00.000 --> 00:00:07.000]  在稍後聽道之先我們才有一起禱告的時間
[00:00:07.000 --> 00:00:09.000]  七位主上帝感謝祢
[00:00:09.000 --> 00:00:12.000]  讓我們能夠同心仰望敬拜祢
[00:00:12.000 --> 00:00:14.000]  讓祢打開我們的心靈
[00:00:14.000 --> 00:00:16.000]  以致祢的話、祢的道
[00:00:16.000 --> 00:00:18.000]  進到我們的心裏面
[00:00:18.000 --> 00:00:21.000]  讓我們的生命好好反思、活出來
[00:00:21.000 --> 00:00:24.000]  讓以女兒口裏所宣講的
[00:00:24.000 --> 00:00:27.000]  與弟兄姊妹同感一靈
[00:00:27.000 --> 00:00:30.000]  而我們能夠去到祢面前
[00:00:30.000 --> 00:00:33.000]  真的完全擺在祢手裏面
[00:00:33.000 --> 00:00:35.000]  將我們的心向祢呈獻
[00:00:35.000 --> 00:00:37.000]  奉祢的名去禱告
[00:00:37.000 --> 00:00:39.000]  阿門
[00:00:39.000 --> 00:00:44.000]  不知道大家有沒有聽過有一個廣播
[00:00:44.000 --> 00:00:46.000]  有一個廣播是這樣說
[00:00:46.000 --> 00:00:48.000]  搭扶手電梯
[00:00:48.000 --> 00:00:50.000]  不要看著手提電話
[00:00:50.000 --> 00:00:52.000]  記住緊握扶手
[00:00:52.000 --> 00:00:55.000]  不知道有沒有人有留意這個廣播
[00:00:55.000 --> 00:00:57.000]  其實在地鐵裏面
[00:00:57.000 --> 00:00:59.000]  在某一次
[00:00:59.000 --> 00:01:02.000]  當這個廣播第一次出現的時候
[00:01:02.000 --> 00:01:04.000]  應該我不知道我之前有沒有留意還是怎樣
[00:01:04.000 --> 00:01:05.000]  但是第一次
[00:01:05.000 --> 00:01:09.000]  我在月台搭扶手電梯上去出閘的時候
[00:01:09.000 --> 00:01:11.000]  我就聽到這個廣播
[00:01:11.000 --> 00:01:12.000]  聽到的時候
[00:01:12.000 --> 00:01:15.000]  我的手正正是拿著手提電話
[00:01:15.000 --> 00:01:18.000]  於是我下意識聽到的時候
[00:01:18.000 --> 00:01:20.000]  我就望一望左右的人
[00:01:20.000 --> 00:01:24.000]  然後我立刻另一隻手也緊握扶手
[00:01:24.000 --> 00:01:28.000]  不過我又繼續看著我的手提電話
[00:01:28.000 --> 00:01:32.000]  不知道你們聽到廣播又會怎樣呢
[00:01:32.000 --> 00:01:34.000]  我那一刻其實看周圍的人
[00:01:34.000 --> 00:01:36.000]  似乎沒有人像我那麼緊張
[00:01:36.000 --> 00:01:38.000]  可能是我第一次留意到
[00:01:38.000 --> 00:01:40.000]  究竟我們來到今天
[00:01:40.000 --> 00:01:43.000]  經常聽到同樣的廣播的時候
[00:01:43.000 --> 00:01:46.000]  我們又會理會還是不理會呢
[00:01:46.000 --> 00:01:50.000]  今天我分享的經文是在撒加利亞書第十三章
[00:01:50.000 --> 00:01:53.000]  撒加利亞的希伯來文意思是
[00:01:53.000 --> 00:01:55.000]  俄羅斯紀念
[00:01:55.000 --> 00:01:57.000]  這本書提及了不少
[00:01:57.000 --> 00:02:02.000]  有關尼塞亞末世和審判的訊息
[00:02:02.000 --> 00:02:05.000]  先知書往往都是要宣告的方式
[00:02:05.000 --> 00:02:07.000]  去宣講上帝的話語
[00:02:07.000 --> 00:02:09.000]  就好像我們今天所說的
