
[00:00:00.000 --> 00:00:04.760]  研究今日經文的「肥臘比書」第二章第一到十一節之前
[00:00:04.760 --> 00:00:10.160]  容許我就「喜樂殺手」這個講道系列說幾句說話
[00:00:10.160 --> 00:00:14.400]  因為我們花了兩個多月的時間研究「肥臘比書」
[00:00:14.400 --> 00:00:17.240]  「喜樂殺手」編排到父親節
[00:00:17.240 --> 00:00:19.000]  其實只是一半
[00:00:19.000 --> 00:00:21.960]  之後我們將透過另一個系列
[00:00:21.960 --> 00:00:26.200]  「知足常樂」繼續研究「肥臘比書」其他的經文
[00:00:26.200 --> 00:00:27.960]  一直到七月底
[00:00:27.960 --> 00:00:31.920]  兩半的主題其實是高度相關的
[00:00:31.920 --> 00:00:35.000]  我在一個網頁上讀到一句說話
[00:00:35.000 --> 00:00:37.800]  他說「快樂是會消失的」
[00:00:37.800 --> 00:00:41.200]  「但知足帶來一生的喜樂」
[00:00:41.200 --> 00:00:43.000]  這是一個例子
[00:00:43.000 --> 00:00:47.800]  梁牧師指派我講「肥臘比書」第二章的經文
[00:00:47.800 --> 00:00:53.200]  其實我在復活節主日的講道已經講過差不多同一段
[00:00:53.200 --> 00:00:56.120]  復活節主日講到我的主題是
[00:00:56.120 --> 00:00:58.760]  在謙虛裡面合一
[00:00:58.760 --> 00:01:03.160]  我認為保羅寫「肥臘比書」主要的目的
[00:01:03.160 --> 00:01:07.520]  其實就是鼓勵肥臘比教會裡面的弟兄姊妹
[00:01:07.520 --> 00:01:11.520]  通過謙卑達到更多的合一
[00:01:11.520 --> 00:01:16.440]  合一既是有效同工的要求
[00:01:16.440 --> 00:01:20.960]  合一本身也是一個教會的目標
[00:01:20.960 --> 00:01:23.120]  喜樂和滿足是怎樣呢?
[00:01:23.120 --> 00:01:28.760]  喜樂和滿足其實是實現這個合一的方法
[00:01:28.760 --> 00:01:32.160]  天父給動物是有情感的
[00:01:32.160 --> 00:01:34.520]  作為一種動力
[00:01:34.520 --> 00:01:37.800]  譬如動物不吃東西就會餓死
[00:01:37.800 --> 00:01:41.000]  所以吃東西就會使動物快樂
[00:01:41.000 --> 00:01:43.240]  如果動物不繁殖又如何?
[00:01:43.240 --> 00:01:45.080]  物種就會滅亡
[00:01:45.080 --> 00:01:49.320]  所以交配的過程當中動物都會有快樂
[00:01:49.320 --> 00:01:53.360]  而對快樂的追求就是一種動機
[00:01:53.360 --> 00:01:55.000]  是一個motivation
[00:01:55.000 --> 00:01:59.680]  但神的旨意生養眾多是那個目的
[00:01:59.680 --> 00:02:05.120]  這個方法和目的或者動機和結果的區分
[00:02:05.120 --> 00:02:11.400]  我想也是明白肥臘比書這個系列的關鍵
[00:02:11.400 --> 00:02:15.600]  知足和喜樂是神推動我們的方法
[00:02:15.600 --> 00:02:19.240]  目的是為了建立合一的教會
[00:02:19.240 --> 00:02:21.320]  基督的身體
[00:02:21.320 --> 00:02:22.800]  因為會怎樣講到呢?
[00:02:22.800 --> 00:02:24.560]  你也知道梁牧師編排的
[00:02:24.560 --> 00:02:26.840]  所以我每次預備講到的時候
[00:02:26.840 --> 00:02:31.040]  都首先分析一下梁牧師個人的觀點
[00:02:31.040 --> 00:02:36.080]  我留意到梁牧師處理肥臘比書講道系列的兩部份
[00:02:36.080 --> 00:02:38.560]  其實有些稍為不同的進路
[00:02:38.560 --> 00:02:43.120]  第一個部份梁牧師指出五個喜樂殺手
[00:02:43.120 --> 00:02:45.200]  現渣的環境
[00:02:45.200 --> 00:02:46.120]  人
[00:02:46.120 --> 00:02:47.120]  事
[00:02:47.120 --> 00:02:48.800]  對未來的憂慮
[00:02:48.800 --> 00:02:50.280]  和過去的
[00:02:50.280 --> 00:02:53.800]  我想大概大家都能夠看得到
[00:02:53.800 --> 00:02:57.960]  這個是用英文文法為基礎的世界觀
[00:02:57.960 --> 00:03:01.360]  Past, Present, Future, Here She Is
[00:03:01.360 --> 00:03:06.080]  父親節的題目梁牧師定為神所喜悅的男人
[00:03:06.080 --> 00:03:10.680]  用加州的英文來翻譯就是His Man
[00:03:10.680 --> 00:03:13.440]  但在第二個部份
[00:03:13.440 --> 00:03:17.440]  轉到知足常樂的時候鏡頭又好像一轉
[00:03:17.440 --> 00:03:19.760]  從一個向外的客觀世界
[00:03:19.760 --> 00:03:22.720]  轉到向內心的主觀世界
[00:03:22.720 --> 00:03:26.320]  從一個以英語文法為主的西方
[00:03:26.320 --> 00:03:30.240]  轉到一個以好像是中文為主的東方
[00:03:30.240 --> 00:03:32.800]  有一個非常西方的世界觀
[00:03:32.800 --> 00:03:36.800]  但又有一個很東方色彩的人生觀
[00:03:36.800 --> 00:03:39.720]  大概我們當中很多人都是這樣
[00:03:39.720 --> 00:03:44.160]  但這個轉移其實也都蘊含著一個傾向
[00:03:44.160 --> 00:03:46.280]  要擋住外面的東西
[00:03:46.280 --> 00:03:48.840]  讓你裡面的東西可以出來
[00:03:48.840 --> 00:03:51.720]  外面客觀世界的東西
[00:03:51.720 --> 00:03:56.280]  過去、現在、未來、人和事
[00:03:56.280 --> 00:03:58.040]  都是喜樂殺手
[00:03:58.040 --> 00:04:00.240]  所以要提防他們入侵
[00:04:00.240 --> 00:04:03.760]  那你內心的知足常樂
[00:04:03.760 --> 00:04:07.720]  就會好像江河一樣湧流出來
[00:04:07.720 --> 00:04:10.760]  心靜自然涼
[00:04:10.760 --> 00:04:13.960]  這個對比可能也是一個不錯的方法
[00:04:13.960 --> 00:04:18.760]  去解釋使徒保羅寫這封信的時候的心態
[00:04:18.760 --> 00:04:21.960]  雖然保羅被囚禁在羅馬
[00:04:21.960 --> 00:04:25.480]  但他心裡面仍然是充滿平安喜樂
[00:04:25.480 --> 00:04:29.160]  因為他知道他現在所面對的處境
[00:04:29.160 --> 00:04:32.840]  其實是神救贖計劃的一個部分
[00:04:32.840 --> 00:04:37.720]  正如保羅在羅馬書第八章二十八節已經說過
[00:04:37.720 --> 00:04:40.440]  他知道萬事都互相效力
[00:04:40.440 --> 00:04:42.920]  叫愛神的人得益處
[00:04:42.920 --> 00:04:46.440]  就是按他的旨意被召來的
[00:04:46.440 --> 00:04:49.000]  所以環境惡劣
[00:04:49.000 --> 00:04:54.680]  他仍然能夠因為知道自己在成就神的美意
[00:04:54.680 --> 00:04:56.680]  而感到喜樂
[00:04:56.680 --> 00:04:58.360]  不過大家想想
[00:04:58.360 --> 00:05:00.440]  如果萬事都互相效力
[00:05:00.440 --> 00:05:02.600]  使愛神的人得益處
[00:05:02.600 --> 00:05:05.400]  那其實外面客觀世界的東西
[00:05:05.400 --> 00:05:08.600]  過去、現在、人和事這些東西
[00:05:08.600 --> 00:05:10.760]  我們多多少少最終
[00:05:10.760 --> 00:05:14.360]  都應該有一個比較正面的評估
[00:05:14.360 --> 00:05:17.960]  外面的世界其實不是全部都是這麼壞的
[00:05:17.960 --> 00:05:21.160]  過去可能帶來甜蜜的回憶
[00:05:21.160 --> 00:05:24.840]  現在的處境可能有些獨特的機會
[00:05:24.840 --> 00:05:28.360]  通過信仰我們可以對明天抱有盼望
[00:05:28.360 --> 00:05:30.600]  而不只是一味憂慮
[00:05:30.600 --> 00:05:33.320]  對待事物如此
[00:05:33.320 --> 00:05:39.560]  當我們執著任何事物的時候
[00:05:39.560 --> 00:05:45.080]  確實會失去他們的喜樂
[00:05:45.080 --> 00:05:48.200]  但其實事物都不是完全壞的
[00:05:48.200 --> 00:05:51.240]  我們在 silicon valley發明科技的地方
[00:05:51.240 --> 00:05:53.960]  如果凡事都是喜樂殺手
[00:05:53.960 --> 00:05:56.920]  科技只會為人類帶來痛苦
[00:05:56.920 --> 00:05:58.840]  我們在搞什麼
[00:05:58.840 --> 00:06:01.640]  人都未必一定是喜樂殺手
[00:06:01.640 --> 00:06:03.720]  如果人都是喜樂殺手
[00:06:03.720 --> 00:06:07.560]  你個人的存在就是其他人的痛苦
[00:06:07.560 --> 00:06:10.760]  你第一個應該殺的就是你自己
[00:06:10.760 --> 00:06:12.440]  反過來
[00:06:12.440 --> 00:06:16.680]  心裡流出來的東西又不一定好
[00:06:16.680 --> 00:06:18.600]  耶穌提醒門徒
[00:06:18.600 --> 00:06:20.680]  然而口裡出來的
[00:06:20.680 --> 00:06:22.440]  是出於心裡
[00:06:22.440 --> 00:06:25.560]  者財顛惡人
