
[00:00:00.000 --> 00:00:03.460]  好多年前,七年了,我不記得多久了
[00:00:03.460 --> 00:00:06.940]  有一天有一個記者,是姐妹來的,打電話給我
[00:00:06.940 --> 00:00:11.700]  她就說:牧師,有一個人你一定幫到他的了
[00:00:11.700 --> 00:00:15.200]  這樣說,難道我說不行嗎?
[00:00:15.200 --> 00:00:17.400]  哦,好啊,這樣
[00:00:17.400 --> 00:00:20.420]  我有做一些心理治療的
[00:00:20.420 --> 00:00:25.620]  她就說:好啊,你記不記得馬尼拉人質事件?
[00:00:25.620 --> 00:00:28.120]  我說:啊,不是那些吧
[00:00:28.120 --> 00:00:30.360]  當然不敢說一聲
[00:00:30.360 --> 00:00:33.360]  就有位易小玲,記不記得啊?
[00:00:33.360 --> 00:00:34.860]  我說:啊,記得
[00:00:34.860 --> 00:00:39.260]  我心想,哇,很大件的,這些很稠的
[00:00:39.260 --> 00:00:40.660]  很難搞的
[00:00:40.660 --> 00:00:43.660]  但是到那個時間你說:那不行了
[00:00:43.660 --> 00:00:47.360]  那又不行,唯有微微笑,好啊,好啊,這樣
[00:00:47.360 --> 00:00:50.360]  於是就開始見到她了
[00:00:50.360 --> 00:00:51.860]  那就是小玲
[00:00:51.860 --> 00:00:53.460]  大家見到這張照片
[00:00:53.460 --> 00:00:56.160]  這張照片是她受傷之前的
[00:00:56.160 --> 00:00:58.160]  很美麗的
[00:00:58.160 --> 00:01:01.660]  她是孖生的
[00:01:01.660 --> 00:01:06.660]  孖生兩姐妹,她叫小玲,也就是她是妹妹
[00:01:06.660 --> 00:01:08.660]  她姐姐叫大玲
[00:01:08.660 --> 00:01:10.660]  是真的
[00:01:10.660 --> 00:01:13.160]  一樣的美
[00:01:13.160 --> 00:01:15.660]  大玲,小玲
[00:01:15.660 --> 00:01:19.160]  她當時已經回來香港了
[00:01:19.160 --> 00:01:22.160]  遭遇這件事大家都大概知道了
[00:01:22.160 --> 00:01:24.660]  就跟大家很快地分享一下
[00:01:24.660 --> 00:01:27.660]  哦,好啊,那時候就開始見到她
[00:01:27.660 --> 00:01:31.160]  就開始陪着她慢慢走這條路,很漫長
[00:01:31.160 --> 00:01:33.160]  現在還沒走完
[00:01:33.160 --> 00:01:35.160]  很多時候都是我和她合作的
[00:01:35.160 --> 00:01:37.660]  她講一個簡單的見證
[00:01:37.660 --> 00:01:39.660]  我講後面那一段
[00:01:39.660 --> 00:01:41.660]  那天她不來了,我講完
[00:01:41.660 --> 00:01:43.660]  我又遲了來,當她講了
[00:01:43.660 --> 00:01:45.160]  所以我纔開始
[00:01:45.160 --> 00:01:47.160]  是一樣的,是不是?
[00:01:47.160 --> 00:01:49.160]  好了
