
[00:00:00.000 --> 00:00:03.920]  昨晚在這裡分享第一課堂道的時候
[00:00:03.920 --> 00:00:08.800]  我才發覺原來我搞錯了題目
[00:00:08.800 --> 00:00:14.120]  不過我仍然是很強作鎮定地講完課堂道
[00:00:14.120 --> 00:00:19.000]  為什麼呢?因為我印象中教會邀請我們講
[00:00:19.000 --> 00:00:23.000]  復活的現代意義
[00:00:23.000 --> 00:00:29.520]  但是原來真正的題目是耶穌復活的現代意義
[00:00:29.520 --> 00:00:33.200]  不過我相信都是萬事互相效力的
[00:00:33.200 --> 00:00:35.720]  因為今早我看回舊會網頁的時候
[00:00:35.720 --> 00:00:38.960]  我發覺其實陳牧師上星期所講的
[00:00:38.960 --> 00:00:43.200]  就是耶穌復活的現代意義
[00:00:43.200 --> 00:00:48.600]  所以這次容許我稍微改過題目就是
[00:00:48.600 --> 00:00:53.800]  耶穌論復活的現代意義
[00:00:53.800 --> 00:01:04.800]  事實上我是想講耶穌當時對復活的看法
[00:01:04.800 --> 00:01:09.400]  其實我們是很少反思的
[00:01:09.400 --> 00:01:15.200]  而其實每一個社會文化都對復活有不同的觀念和理解
[00:01:15.200 --> 00:01:19.400]  很多時候我們就帶著這些不同的觀念和理解
[00:01:19.400 --> 00:01:23.800]  把它們讀入我們的信仰裏面
[00:01:23.800 --> 00:01:27.200]  我們都是講復活
[00:01:27.200 --> 00:01:30.400]  但其實我們對復活的聯想
[00:01:30.400 --> 00:01:32.800]  對它的意義和理解
[00:01:32.800 --> 00:01:37.800]  其實我相信我們每個人都有自己的一套
[00:01:37.800 --> 00:01:41.400]  所以今天我錯在錯在地
[00:01:41.400 --> 00:01:46.600]  我希望能夠回到聖經裏面
[00:01:46.600 --> 00:01:53.200]  看一看究竟復活是有甚麼的現代意義
[00:01:53.200 --> 00:01:57.600]  我自己來思考的時候就發覺
[00:01:57.600 --> 00:02:01.800]  當我來發掘復活的原本意義的時候
[00:02:01.800 --> 00:02:06.000]  其實原本的意義是相當現代
[00:02:06.000 --> 00:02:10.800]  當然復活的觀念其實是牽涉到時間
[00:02:10.800 --> 00:02:14.800]  牽涉到永恆、永生這些觀念
[00:02:14.800 --> 00:02:20.400]  所以可能會對大家在座當中有少少抽象
[00:02:20.400 --> 00:02:23.200]  不過大家明白到多少就明白到多少
[00:02:23.200 --> 00:02:29.000]  盼望上帝的靈也幫助我們來理解
[00:02:29.000 --> 00:02:36.000]  其實我們也不是太需要來強調聖經的現代意義
[00:02:36.000 --> 00:02:41.400]  因為我們每一個人其實都是帶著自己對生命的閱歷
[00:02:41.400 --> 00:02:45.000]  和我們當下的興趣、我們的關懷
[00:02:45.000 --> 00:02:47.600]  來理解發生在我們周圍的事
[00:02:47.600 --> 00:02:50.400]  包括我們的信仰
[00:02:50.400 --> 00:02:52.600]  因此就算我們將今天的題目
[00:02:52.600 --> 00:02:57.800]  轉換為復活對古代信徒的意義
[00:02:57.800 --> 00:03:01.600]  其實我們也會自動地來追問
[00:03:01.600 --> 00:03:04.800]  原來那時候的信徒是這樣看的
[00:03:04.800 --> 00:03:07.000]  這種看法現在還行嗎?
[00:03:07.000 --> 00:03:09.000]  有沒有過時呢?
[00:03:09.000 --> 00:03:13.000]  如果將這種想法轉換成今天的想法
[00:03:13.000 --> 00:03:16.600]  又應該怎樣去理解呢?
[00:03:16.600 --> 00:03:19.600]  假如我們不是在聽道的時候釣魚
[00:03:19.600 --> 00:03:22.600]  其實類似的信息轉換
[00:03:22.600 --> 00:03:28.000]  應該是自動波地在我們的腦袋裡發生的
[00:03:28.000 --> 00:03:32.200]  回到今天的經文
[00:03:32.200 --> 00:03:42.000]  繼伐利賽人用「是否應該納粹被該殺」這個問題來挑戰耶穌之後
[00:03:42.000 --> 00:03:48.200]  接下來薩多哥人又用「復活」這個問題來為難耶穌
[00:03:48.200 --> 00:03:56.200]  考驗他對聖經的認識和邏輯推理的能力
[00:03:56.200 --> 00:04:02.800]  薩多哥人基本上是傳統保守的祭祀階級
[00:04:02.800 --> 00:04:06.800]  聖殿是他們主要宗教活動的場所
[00:04:06.800 --> 00:04:08.800]  但是在日常生活上
[00:04:08.800 --> 00:04:12.000]  他們卻是表現得相當現世主義
[00:04:12.000 --> 00:04:14.800]  也就是說其實他們都很世俗
[00:04:14.800 --> 00:04:18.400]  薩多哥人的數目比伐利賽人少得多
[00:04:18.400 --> 00:04:24.800]  在社會上的影響力也遠遠比不上伐利賽人
[00:04:24.800 --> 00:04:27.800]  他們為了維護自身的利益
[00:04:27.800 --> 00:04:33.400]  並不介意和當時的羅馬政府合作
[00:04:33.400 --> 00:04:41.000]  因此也確保了他們宗教特權階級的位置
