
[00:00:00.000 --> 00:00:18.000]  劉麗明:各位弟兄姊妹,早。劉麗明:劉麗明弟兄。
[00:00:18.000 --> 00:00:22.000]  劉麗明:我真的很高興和你一起合作。
[00:00:22.000 --> 00:00:32.000]  劉麗明:很難得的。是我多年的願望。
[00:00:32.000 --> 00:00:47.000]  劉麗明:自從他很多年前來到尖閣鎮,我就希望他能夠加入這個港台的士峰當中。
[00:00:47.000 --> 00:01:12.000]  劉麗明:所以我很高興。值得喝一口水。
[00:01:12.000 --> 00:01:26.000]  劉麗明:首先我想跟大家看一則新聞。有一對夫妻,他們分別是博士和碩士。
[00:01:26.000 --> 00:01:35.000]  劉麗明:後來竟然放棄了在大學教書,改為開店賣餅。
[00:01:35.000 --> 00:01:50.000]  劉麗明:讓人覺得他們真是浪費了很多年讀書的時間。十分可惜。
[00:01:50.000 --> 00:02:01.000]  劉麗明:但他們做了這個決定,有人說就是由於他們不願意再面對複雜的人事關係。
[00:02:01.000 --> 00:02:17.000]  劉麗明:但無論怎樣,相信各中是有著不可告人的原因的。
[00:02:17.000 --> 00:02:33.000]  劉麗明:在衡量得失之後,他們決定轉行,只是為了為勢所逼而已。
[00:02:33.000 --> 00:02:40.000]  劉麗明:苦難和逼迫是以各樣的形式在我們身邊的環境出現的。
[00:02:40.000 --> 00:02:50.000]  劉麗明:最近我看到一張令人心痛的照片。
[00:02:50.000 --> 00:02:58.000]  劉麗明:這張是清朝末年的老照片。
[00:02:58.000 --> 00:03:14.000]  劉麗明:大家特別留意右手邊的少女。這讓我想起一首老歌。
[00:03:14.000 --> 00:03:31.000]  劉麗明:歌名是《月落屋堤》。
[00:03:31.000 --> 00:03:33.000]  劉麗明:歌名是《月落屋堤》。
[00:03:33.000 --> 00:03:34.000]  劉麗明:歌名是《月落屋堤》。
[00:03:34.000 --> 00:03:35.000]  劉麗明:歌名是《月落屋堤》。
[00:03:35.000 --> 00:03:36.000]  劉麗明:歌名是《月落屋堤》。
[00:03:36.000 --> 00:03:37.000]  劉麗明:歌名是《月落屋堤》。
[00:03:37.000 --> 00:03:38.000]  劉麗明:歌名是《月落屋堤》。
[00:03:38.000 --> 00:03:39.000]  劉麗明:歌名是《月落屋堤》。
[00:03:39.000 --> 00:03:40.000]  劉麗明:歌名是《月落屋堤》。
[00:03:40.000 --> 00:03:41.000]  劉麗明:歌名是《月落屋堤》。
[00:03:41.000 --> 00:03:42.000]  劉麗明:歌名是《月落屋堤》。
